Year,CancerRate,SunspotActivity
1938,0.8,Low
1939,1.3,High
1940,1.4,High
1941,1.2,High
1942,1.7,Low
1943,1.8,Low
1944,1.6,Low
1945,1.5,Low
1946,1.5,Low
1947,2.0,Low
1948,2.5,High
1949,2.7,High
1950,2.9,High
1951,2.5,High
1952,3.1,High
1953,2.4,Low
1954,2.2,Low
1955,2.9,Low
1956,2.5,Low
1957,2.6,Low
1958,3.2,Low
1959,3.8,High
1960,4.2,High
1961,3.9,High
1962,3.7,High
1963,3.3,Low
1964,3.7,Low
1965,3.9,Low
1966,4.1,Low
1967,3.8,Low
1968,4.7,Low
1969,4.4,Low
1970,4.8,High
1971,4.8,High
1972,4.8,High
