Proportion,Pair,Length
0.44,Pair1,35
0.54,Pair1,35
0.50,Pair1,35
0.65,Pair1,35
0.53,Pair1,35
0.53,Pair1,35
0.62,Pair1,35
0.49,Pair1,35
0.46,Pair1,35
0.57,Pair1,35
0.59,Pair1,35
0.68,Pair1,35
0.73,Pair1,35
0.44,Pair1,35
0.67,Pair1,35
0.58,Pair1,35
0.52,Pair2,31
0.66,Pair2,31
0.69,Pair2,31
0.46,Pair2,31
0.80,Pair2,31
0.67,Pair2,31
0.73,Pair2,31
0.72,Pair2,31
0.55,Pair2,31
0.70,Pair2,31
0.63,Pair2,31
0.40,Pair2,31
0.41,Pair2,31
0.59,Pair2,31
0.91,Pair3,33
0.62,Pair3,33
0.10,Pair3,33
0.84,Pair3,33
0.91,Pair3,33
0.56,Pair3,33
0.84,Pair3,33
0.53,Pair3,33
0.37,Pair3,33
0.65,Pair3,33
0.48,Pair3,33
0.51,Pair3,33
0.40,Pair3,33
0.91,Pair3,33
0.75,Pair3,33
0.56,Pair3,33
0.68,Pair3,33
0.72,Pair4,34
0.58,Pair4,34
0.51,Pair4,34
0.57,Pair4,34
0.92,Pair4,34
0.55,Pair4,34
0.59,Pair4,34
0.42,Pair4,34
0.69,Pair4,34
0.78,Pair4,34
0.70,Pair4,34
0.89,Pair4,34
0.67,Pair4,34
0.77,Pair4,34
0.78,Pair5,28
0.66,Pair5,28
0.48,Pair5,28
0.77,Pair5,28
0.58,Pair5,28
0.61,Pair5,28
0.65,Pair5,28
0.63,Pair5,28
0.61,Pair5,28
0.33,Pair6,34
0.42,Pair6,34
0.36,Pair6,34
0.80,Pair6,34
0.59,Pair6,34
0.58,Pair6,34
0.64,Pair6,34
0.83,Pair6,34
0.76,Pair6,34
0.66,Pair6,34
0.56,Pair6,34
0.85,Pair6,34
0.61,Pair6,34
0.88,Pair6,34
