Time,Voltage,Group
5.79,26,Group1
1579.52,26,Group1
2323.70,26,Group1
68.85,28,Group2
108.29,28,Group2
110.29,28,Group2
426.07,28,Group2
1067.60,28,Group2
7.74,30,Group3
17.05,30,Group3
20.46,30,Group3
21.02,30,Group3
22.66,30,Group3
43.40,30,Group3
47.30,30,Group3
139.07,30,Group3
144.12,30,Group3
175.88,30,Group3
194.90,30,Group3
0.27,32,Group4
0.40,32,Group4
0.69,32,Group4
0.79,32,Group4
2.75,32,Group4
3.91,32,Group4
9.88,32,Group4
13.95,32,Group4
15.93,32,Group4
27.80,32,Group4
53.24,32,Group4
82.85,32,Group4
89.29,32,Group4
100.59,32,Group4
215.10,32,Group4
0.19,34,Group5
0.78,34,Group5
0.96,34,Group5
1.31,34,Group5
2.78,34,Group5
3.16,34,Group5
4.15,34,Group5
4.67,34,Group5
4.85,34,Group5
6.50,34,Group5
7.35,34,Group5
8.01,34,Group5
8.27,34,Group5
12.06,34,Group5
31.75,34,Group5
32.52,34,Group5
33.91,34,Group5
36.71,34,Group5
72.89,34,Group5
0.35,36,Group6
0.59,36,Group6
0.96,36,Group6
0.99,36,Group6
1.69,36,Group6
1.97,36,Group6
2.07,36,Group6
2.58,36,Group6
2.71,36,Group6
2.90,36,Group6
3.67,36,Group6
3.99,36,Group6
5.35,36,Group6
13.77,36,Group6
25.50,36,Group6
0.09,38,Group7
0.39,38,Group7
0.47,38,Group7
0.73,38,Group7
0.74,38,Group7
1.13,38,Group7
1.40,38,Group7
2.38,38,Group7
