Mass,Type,Energy
779.0,non-echolocating bats,43.70
628.0,non-echolocating bats,34.80
258.0,non-echolocating bats,23.30
315.0,non-echolocating bats,22.40
24.3,non-echolocating birds,2.46
35.0,non-echolocating birds,3.93
72.8,non-echolocating birds,9.15
120.0,non-echolocating birds,13.80
213.0,non-echolocating birds,14.60
275.0,non-echolocating birds,22.80
370.0,non-echolocating birds,26.20
384.0,non-echolocating birds,25.90
442.0,non-echolocating birds,29.50
412.0,non-echolocating birds,43.70
330.0,non-echolocating birds,34.00
480.0,non-echolocating birds,27.80
93.0,echolocating bats,8.83
8.0,echolocating bats,1.35
6.7,echolocating bats,1.12
7.7,echolocating bats,1.02
