Bsal,Sal77,Sex,Senior,Age,Educ,Exper
5040,12420,Male,96,329,15,14.00
6300,12060,Male,82,357,15,72.00
6000,15120,Male,67,315,15,35.50
6000,16320,Male,97,354,12,24.00
6000,12300,Male,66,351,12,56.00
6840,10380,Male,92,374,15,41.50
8100,13980,Male,66,369,16,54.50
6000,10140,Male,82,363,12,32.00
6000,12360,Male,88,555,12,252.00
6900,10920,Male,75,416,15,132.00
6900,10920,Male,89,481,12,175.00
5400,12660,Male,91,331,15,17.50
6000,12960,Male,66,355,15,64.00
6000,12360,Male,86,348,15,25.00
5100,8940,Female,95,640,15,165.00
4800,8580,Female,98,774,12,381.00
5280,8760,Female,98,557,8,190.00
5280,8040,Female,88,745,8,90.00
4800,9000,Female,77,505,12,63.00
4800,8820,Female,76,482,12,6.00
5400,13320,Female,86,329,15,24.00
5520,9600,Female,82,558,12,97.00
5400,8940,Female,88,338,12,26.00
5700,9000,Female,76,667,12,90.00
3900,8760,Female,98,327,12,0.00
4800,9780,Female,75,619,12,144.00
6120,9360,Female,78,624,12,208.50
5220,7860,Female,70,671,8,102.00
5100,9660,Female,66,554,8,96.00
4380,9600,Female,92,305,8,6.25
4290,9180,Female,69,280,12,5.00
5400,9540,Female,66,534,15,122.00
4380,10380,Female,92,305,12,0.00
5400,8640,Female,65,603,8,173.00
5400,11880,Female,66,302,12,26.00
4500,12540,Female,96,366,8,52.00
5400,8400,Female,70,628,12,82.00
5520,8880,Female,67,694,12,196.00
5640,10080,Female,90,368,12,55.00
4800,9240,Female,73,590,12,228.00
5400,8640,Female,66,771,8,228.00
4500,7980,Female,80,298,12,8.00
5400,11940,Female,77,325,12,38.00
5400,9420,Female,72,589,15,49.00
6300,9780,Female,66,394,12,86.50
5160,10680,Female,87,320,12,18.00
5100,11160,Female,98,571,15,115.00
4800,8340,Female,79,602,8,70.00
5400,9600,Female,98,568,12,244.00
4020,9840,Female,92,528,10,44.00
4980,8700,Female,74,718,8,318.00
5280,9780,Female,88,653,12,107.00
5700,8280,Female,65,714,15,241.00
4800,8340,Female,87,647,12,163.00
4800,13560,Female,82,338,12,11.00
5700,10260,Female,82,362,15,51.00
4380,9720,Female,93,303,12,4.50
4380,10500,Female,89,310,12,0.00
5400,10680,Male,88,359,12,38.00
5400,11640,Male,96,474,12,113.00
5100,7860,Male,84,535,12,180.00
6600,11220,Male,66,369,15,84.00
5100,8700,Male,97,637,12,315.00
6600,12240,Male,83,536,15,215.50
5700,11220,Male,94,392,15,36.00
6000,12180,Male,91,364,12,49.00
6000,11580,Male,83,521,15,108.00
6000,8940,Male,80,686,12,272.00
6000,10680,Male,87,364,15,56.00
4620,11100,Male,77,293,12,11.50
5220,10080,Male,85,344,12,29.00
6600,15360,Male,83,340,15,64.00
5400,12600,Male,78,305,12,7.00
6000,8940,Male,78,659,8,320.00
5400,9480,Male,88,690,15,359.00
6000,14400,Male,96,402,16,45.50
5700,10620,Female,88,410,15,61.00
5400,10320,Female,78,584,15,51.00
4440,9600,Female,97,341,15,75.00
6300,10860,Female,84,662,15,231.00
6000,9720,Female,69,488,12,121.00
5100,9600,Female,85,406,12,59.00
4800,11100,Female,87,349,12,11.00
5100,10020,Female,87,508,16,123.00
5700,9780,Female,74,542,12,116.50
5400,10440,Female,72,604,12,169.00
5100,10560,Female,84,458,12,36.00
4800,9240,Female,84,571,16,214.00
6000,11940,Female,86,486,15,78.50
4380,10020,Female,93,313,8,7.50
5580,7860,Female,69,600,12,132.50
4620,9420,Female,96,385,12,52.00
5220,8340,Female,70,468,12,127.00
