Company,Treat,Score
C1,Pygmalion,80.0
C1,Control,63.2
C1,Control,69.2
C2,Pygmalion,83.9
C2,Control,63.1
C2,Control,81.5
C3,Pygmalion,68.2
C3,Control,76.2
C4,Pygmalion,76.5
C4,Control,59.5
C4,Control,73.5
C5,Pygmalion,87.8
C5,Control,73.9
C5,Control,78.5
C6,Pygmalion,89.8
C6,Control,78.9
C6,Control,84.7
C7,Pygmalion,76.1
C7,Control,60.6
C7,Control,69.6
C8,Pygmalion,71.5
C8,Control,67.8
C8,Control,73.2
C9,Pygmalion,69.5
C9,Control,72.3
C9,Control,73.9
C10,Pygmalion,83.7
C10,Control,63.7
C10,Control,77.7
