Minutes,Chimp,Sign,Order
12,Booee,listen,8
15,Booee,drink,4
14,Booee,shoe,2
10,Booee,key,7
10,Booee,more,5
80,Booee,food,10
80,Booee,fruit,3
78,Booee,hat,1
115,Booee,look,6
129,Booee,string,9
10,Cindy,listen,8
25,Cindy,drink,4
18,Cindy,shoe,2
25,Cindy,key,7
15,Cindy,more,5
55,Cindy,food,10
20,Cindy,fruit,3
99,Cindy,hat,1
54,Cindy,look,6
476,Cindy,string,9
2,Bruno,listen,8
36,Bruno,drink,4
60,Bruno,shoe,2
40,Bruno,key,7
225,Bruno,more,5
14,Bruno,food,10
177,Bruno,fruit,3
178,Bruno,hat,1
345,Bruno,look,6
287,Bruno,string,9
15,Thelma,listen,8
18,Thelma,drink,4
20,Thelma,shoe,2
40,Thelma,key,7
24,Thelma,more,5
190,Thelma,food,10
195,Thelma,fruit,3
297,Thelma,hat,1
420,Thelma,look,6
372,Thelma,string,9
