Stress ,SO2,O3,Forrest,William
Well-watered,0.00,0.02,4376,5561
Well-watered,0.00,0.05,4544,5947
Well-watered,0.00,0.07,2806,4273
Well-watered,0.00,0.08,3339,3470
Well-watered,0.00,0.10,3320,3080
Well-watered,0.02,0.02,3747,5092
Well-watered,0.02,0.05,4570,4752
Well-watered,0.02,0.07,4635,4232
Well-watered,0.02,0.08,3613,2867
Well-watered,0.02,0.10,3259,3106
Well-watered,0.06,0.02,4179,4736
Well-watered,0.06,0.05,5077,3672
Well-watered,0.06,0.07,3401,3386
Well-watered,0.06,0.08,3371,2854
Well-watered,0.06,0.10,2158,2557
Stressed,0.00,0.02,4977,4520
Stressed,0.00,0.05,3780,3047
Stressed,0.00,0.07,3804,3526
Stressed,0.00,0.08,3941,3357
Stressed,0.00,0.10,2863,2663
Stressed,0.02,0.02,5573,4869
Stressed,0.02,0.05,3555,3774
Stressed,0.02,0.07,3340,2955
Stressed,0.02,0.08,3243,3513
Stressed,0.02,0.10,2802,2838
Stressed,0.06,0.02,4589,4056
Stressed,0.06,0.05,3250,2758
Stressed,0.06,0.07,3045,3094
Stressed,0.06,0.08,2827,2398
Stressed,0.06,0.10,2979,2101
