Year,Temperature
1850,-0.371
1851,-0.222
1852,-0.178
1853,-0.224
1854,-0.113
1855,-0.238
1856,-0.403
1857,-0.399
1858,-0.42
1859,-0.273
1860,-0.37
1861,-0.299
1862,-0.606
1863,-0.217
1864,-0.492
1865,-0.233
1866,-0.245
1867,-0.29
1868,-0.148
1869,-0.16
1870,-0.185
1871,-0.343
1872,-0.229
1873,-0.323
1874,-0.292
1875,-0.49
1876,-0.335
1877,-0.053
1878,0.13
1879,-0.241
1880,-0.255
1881,-0.3
1882,-0.281
1883,-0.375
1884,-0.445
1885,-0.412
1886,-0.299
1887,-0.297
1888,-0.292
1889,-0.185
1890,-0.372
1891,-0.345
1892,-0.478
1893,-0.543
1894,-0.39
1895,-0.416
1896,-0.203
1897,-0.213
1898,-0.295
1899,-0.252
1900,-0.141
1901,-0.203
1902,-0.395
1903,-0.422
1904,-0.513
1905,-0.39
1906,-0.284
1907,-0.53
1908,-0.499
1909,-0.499
1910,-0.481
1911,-0.47
1912,-0.529
1913,-0.512
1914,-0.312
1915,-0.23
1916,-0.44
1917,-0.523
1918,-0.415
1919,-0.423
1920,-0.352
1921,-0.203
1922,-0.333
1923,-0.301
1924,-0.282
1925,-0.174
1926,-0.087
1927,-0.163
1928,-0.178
1929,-0.322
1930,-0.043
1931,-0.013
1932,-0.056
1933,-0.223
1934,-0.058
1935,-0.088
1936,-0.034
1937,0.085
1938,0.143
1939,0.113
1940,0.006
1941,0.068
1942,0.005
1943,0.068
1944,0.147
1945,-0.032
1946,-0.042
1947,-0.108
1948,-0.057
1949,-0.101
1950,-0.239
1951,-0.041
1952,-0.023
1953,0.098
1954,-0.132
1955,-0.129
1956,-0.295
1957,-0.034
1958,0.083
1959,-0.009
1960,-0.035
1961,0.039
1962,0.08
1963,0.118
1964,-0.208
1965,-0.184
1966,-0.055
1967,-0.028
1968,-0.086
1969,-0.072
1970,-0.072
1971,-0.189
1972,-0.207
1973,0.026
1974,-0.244
1975,-0.136
1976,-0.285
1977,0.003
1978,-0.049
1979,0.026
1980,0.059
1981,0.197
1982,-0.011
1983,0.157
1984,-0.086
1985,-0.134
1986,0.015
1987,0.155
1988,0.202
1989,0.146
1990,0.339
1991,0.24
1992,0.053
1993,0.085
1994,0.232
1995,0.385
1996,0.129
1997,0.41
1998,0.597
1999,0.387
2000,0.364
2001,0.483
2002,0.534
2003,0.561
2004,0.588
2005,0.62
2006,0.563
2007,0.577
2008,0.481
2009,0.517
2010,0.607
