State,Representative,Party,Pro05,Anti05,Pro06,Anti06,Pro07,Anti07,PctPro
Alabama,Bonner,R,2,16,3,9,2,18,14.00
Alabama,Everett,R,0,18,1,11,2,18,6.00
Alabama,Rogers,R,1,17,2,10,3,17,12.00
Alabama,Aderholt,R,0,18,0,12,2,18,4.00
Alabama,Cramer,D,5,13,4,7,14,6,46.94
Alabama,Bachus,R,0,18,1,11,1,19,4.00
Alabama,Davis,D,10,8,6,6,16,4,64.00
Alaska,Young,R,0,18,0,12,2,18,4.00
Arizona,Renzi,R,0,18,1,11,2,18,6.00
Arizona,Franks,R,1,17,0,9,1,19,4.26
Arizona,Shadegg,R,1,17,0,9,1,19,4.26
Arizona,Pastor,D,17,1,11,1,18,2,92.00
Arizona,Hayworth,R,1,17,0,9,,,3.70
Arizona,Mitchell,D,,,,,20,0,100.00
Arizona,Flake,R,3,14,1,7,3,17,15.56
Arizona,Grijalva,D,17,1,12,0,18,2,94.00
Arizona,Kolbe,R,1,16,0,9,,,3.85
Arizona,Giffords,D,,,,,19,1,95.00
Arkansas,Berry,D,8,10,3,9,14,6,50.00
Arkansas,Snyder,D,14,4,11,0,17,3,85.71
Arkansas,Boozman,R,0,18,1,11,2,18,6.00
Arkansas,Ross,D,9,9,3,9,12,8,48.00
California,Thompson,D,17,1,11,1,18,2,92.00
California,Herger,R,0,18,0,12,0,20,0.00
California,Lungren,R,0,18,1,11,1,19,4.00
California,Doolittle,R,0,18,0,12,1,19,2.00
California,Matsui,D,16,1,12,0,19,1,95.92
California,Woolsey,D,18,0,12,0,19,1,98.00
California,Miller,D,18,0,12,0,19,1,98.00
California,Pelosi,D,17,0,12,0,,,100.00
California,Lee,D,16,1,12,0,19,1,95.92
California,Tauscher,D,17,1,12,0,20,0,98.00
California,Pombo,R,1,17,2,9,,,10.34
California,McNerney,D,,,,,18,2,90.00
California,Lantos,D,17,1,11,0,16,4,89.80
California,Stark,D,18,0,12,0,20,0,100.00
California,Eshoo,D,17,0,12,0,18,2,95.92
California,Honda,D,17,0,12,0,18,2,95.92
California,Lofgren,D,18,0,11,0,20,0,100.00
California,Farr,D,18,0,12,0,18,2,96.00
California,Cardoza,D,11,7,7,5,13,7,62.00
California,Radanovich,R,1,16,0,11,0,20,2.08
California,Costa,D,11,7,5,6,15,5,63.27
California,Nunes,R,0,18,0,12,0,20,0.00
California,"Thomas, W.",R,0,18,1,11,,,3.33
California,"McCarthy, K.",,,,,,0,20,0.00
California,Capps,D,17,0,12,0,19,1,97.96
California,Gallegly,R,1,16,1,11,3,17,10.20
California,McKeon,R,1,17,1,11,2,18,8.00
California,Dreier,R,1,17,2,10,3,17,12.00
California,Sherman,D,18,0,12,0,19,1,98.00
California,Berman,D,17,1,12,0,17,3,92.00
California,Schiff,D,17,1,12,0,19,1,96.00
California,Waxman,D,18,0,12,0,19,1,98.00
California,Becerra,D,17,1,12,0,17,3,92.00
California,Solis,D,17,1,12,0,19,1,96.00
California,Watson,D,18,0,12,0,18,2,96.00
California,Roybal-Allard,D,16,1,12,0,17,3,91.84
California,Waters,D,17,1,12,0,20,0,98.00
