State,Senator,Party,Pro2005,Anti2005,Pro2006,Anti2006,Pro2007,Anti2007,PctPro
Alabama,Session,R,1,18,0,7,2,13,7.32
Alabama,Shelby,R,1,19,0,7,1,14,4.76
Alaska,Murkowski,R,2,17,1,6,6,9,21.95
Alaska,Stevens,R,1,19,1,6,4,11,14.29
Arizona,Kyle,R,1,19,2,5,2,13,11.90
Arizona,McCain,R,9,11,2,4,0,15,26.83
Arkansas,Lincoln,D,13,7,3,4,10,5,61.90
Arkansas,Pryor,D,12,8,3,4,9,6,57.14
California,Boxer,D,18,1,7,0,12,3,90.24
California,Fenstein,D,18,2,7,0,13,2,90.48
Colorado,Allard,R,1,18,2,5,3,12,14.63
Colorado,Salazar,D,16,4,5,2,11,4,76.19
Connecticut,Dodd,D,18,1,7,0,9,6,82.93
Connecticut,Lieberman,I,14,2,5,0,14,1,91.67
Delaware,Biden,D,18,2,7,0,10,5,83.33
Delaware,Carper,D,16,4,5,2,14,1,83.33
Florida,Martinez,R,2,18,0,7,2,13,9.52
Florida,Nelson,D,18,2,3,4,15,0,85.71
Georgia,Chambliss,R,0,20,0,7,1,14,2.38
Georgia,Isakson,R,1,19,0,7,1,14,4.76
Hawaii,Akaka,D,15,5,7,0,13,2,83.33
Hawaii,Inouye,D,13,5,5,2,12,3,75.00
Idaho,Craig,R,1,19,0,6,2,13,7.32
Idaho,Crapo,R,1,19,0,7,2,13,7.14
Illinois,Durbin,D,19,1,7,0,14,1,95.24
Illinois,Obama,D,19,1,7,0,10,5,85.71
Indiana,Bayh,D,17,3,7,0,11,4,83.33
Indiana,Lugar,R,4,15,1,6,8,7,31.71
Iowa,Grassley,R,2,18,1,6,5,10,19.05
Iowa,Harkin,D,19,1,5,2,13,2,88.10
Kansas,Brownback,R,2,18,2,5,1,14,11.90
Kansas,Roberts,R,0,20,0,7,0,15,0.00
Kentucky,Bunning,R,0,20,0,5,1,14,2.50
Kentucky,McConnell,R,0,20,0,7,1,14,2.38
Lousiana,Landrieu,D,10,10,3,3,8,7,51.22
Lousiana,Vitter,R,2,18,0,7,0,15,4.76
Maine,Collins,R,14,6,5,2,15,0,80.95
Maine,Snowe,R,14,6,6,1,12,3,76.19
Maryland,Mikulskji,D,17,3,7,0,14,1,90.48
Maryland,Sarbanes,D,20,0,7,0,,,100.00
Maryland,Cardin,D,,,,,14,1,93.33
Massachusetts,Kennedy,D,19,0,7,0,14,1,97.56
Massachusetts,Kerry,D,19,1,5,0,14,1,95.00
Michigan,Levin,D,16,4,4,2,10,5,73.17
