Lifetime,Group
18,Control
36,Control
50,Control
52,Control
86,Control
87,Control
89,Control
91,Control
102,Control
108,Control
114,Control
114,Control
115,Control
118,Control
119,Control
120,Control
149,Control
160,Control
165,Control
166,Control
167,Control
167,Control
173,Control
178,Control
189,Control
209,Control
212,Control
216,Control
273,Control
278,Control
279,Control
292,Control
341,Control
355,Control
367,Control
380,Control
382,Control
421,Control
421,Control
432,Control
446,Control
455,Control
463,Control
474,Control
505,Control
545,Control
546,Control
569,Control
576,Control
590,Control
603,Control
607,Control
608,Control
621,Control
634,Control
637,Control
638,Control
641,Control
650,Control
663,Control
685,Control
688,Control
725,Control
735,Control
76,Bacilli
93,Bacilli
97,Bacilli
107,Bacilli
108,Bacilli
113,Bacilli
114,Bacilli
119,Bacilli
136,Bacilli
138,Bacilli
139,Bacilli
152,Bacilli
154,Bacilli
154,Bacilli
160,Bacilli
164,Bacilli
164,Bacilli
166,Bacilli
168,Bacilli
178,Bacilli
179,Bacilli
181,Bacilli
181,Bacilli
183,Bacilli
185,Bacilli
194,Bacilli
198,Bacilli
212,Bacilli
213,Bacilli
216,Bacilli
220,Bacilli
225,Bacilli
225,Bacilli
244,Bacilli
253,Bacilli
256,Bacilli
259,Bacilli
265,Bacilli
268,Bacilli
270,Bacilli
283,Bacilli
289,Bacilli
291,Bacilli
311,Bacilli
315,Bacilli
326,Bacilli
326,Bacilli
361,Bacilli
373,Bacilli
373,Bacilli
376,Bacilli
397,Bacilli
398,Bacilli
406,Bacilli
459,Bacilli
466,Bacilli
592,Bacilli
598,Bacilli
