Humerus,Status
0.687,Survived
0.703,Survived
0.709,Survived
0.715,Survived
0.728,Survived
0.721,Survived
0.729,Survived
0.723,Survived
0.728,Survived
0.723,Survived
0.726,Survived
0.728,Survived
0.736,Survived
0.733,Survived
0.730,Survived
0.733,Survived
0.730,Survived
0.739,Survived
0.735,Survived
0.741,Survived
0.741,Survived
0.749,Survived
0.741,Survived
0.743,Survived
0.741,Survived
0.752,Survived
0.752,Survived
0.751,Survived
0.756,Survived
0.755,Survived
0.766,Survived
0.767,Survived
0.769,Survived
0.770,Survived
0.780,Survived
0.659,Perished
0.689,Perished
0.703,Perished
0.702,Perished
0.709,Perished
0.713,Perished
0.720,Perished
0.729,Perished
0.726,Perished
0.726,Perished
0.720,Perished
0.737,Perished
0.739,Perished
0.731,Perished
0.738,Perished
0.736,Perished
0.738,Perished
0.744,Perished
0.745,Perished
0.743,Perished
0.754,Perished
0.752,Perished
0.752,Perished
0.765,Perished
