Gender,Arith,Word,Parag,Math,AFQT
male,19,27,14,14,70.3
female,23,34,11,20,60.4
male,30,35,14,25,98.3
female,30,35,13,21,84.7
female,13,30,11,12,44.5
female,8,15,6,4,4.0
female,10,17,6,7,11.8
male,4,17,6,6,8.9
male,12,33,13,11,44.7
male,3,11,5,6,2.8
female,30,33,15,24,98.5
female,10,16,3,7,13.6
female,10,16,11,6,16.6
female,28,34,14,18,88.7
male,8,2,5,7,5.9
female,16,21,10,12,31.5
male,26,35,14,22,90.8
male,14,23,9,5,25.6
female,24,30,14,19,88.4
male,25,29,14,23,91.4
female,30,35,14,25,99.3
female,9,25,13,5,35.0
female,22,29,13,22,76.4
female,26,34,11,17,70.7
female,13,15,12,11,36.4
female,9,27,7,12,40.4
female,3,20,7,7,12.6
female,15,29,9,8,25.0
female,9,22,10,8,21.7
female,17,33,15,18,80.2
female,29,34,15,22,94.2
female,11,24,11,8,29.1
female,8,8,6,1,2.5
female,21,33,15,21,78.4
female,10,7,3,5,2.7
female,16,34,13,14,71.2
female,26,34,12,21,85.1
female,17,16,10,13,40.0
female,13,14,5,10,18.5
male,8,19,7,5,8.3
male,23,25,7,17,57.8
female,10,6,6,9,13.4
female,9,11,5,1,4.1
female,26,34,14,21,89.5
male,17,27,12,7,43.8
female,22,26,13,21,75.2
male,9,25,7,8,13.1
male,4,12,5,3,1.5
female,5,22,6,5,6.7
male,4,5,5,6,2.1
female,8,23,11,6,14.1
male,10,27,12,3,18.2
male,7,17,3,4,4.8
male,5,10,2,10,8.4
female,22,34,15,17,91.5
male,28,26,13,19,62.5
female,17,27,14,12,56.3
female,18,26,10,9,41.0
male,12,33,8,12,34.2
female,14,25,11,7,34.5
female,14,31,10,14,53.3
female,26,30,11,19,62.8
female,21,32,13,11,63.6
female,19,23,9,7,33.1
female,18,28,14,11,69.1
female,10,14,6,9,17.8
male,10,11,7,7,10.8
female,12,26,15,6,44.2
female,15,19,11,9,33.6
female,28,29,14,18,77.3
male,11,29,13,9,44.7
female,23,31,12,16,61.1
female,10,12,3,8,8.5
female,15,30,13,10,58.3
female,15,27,9,7,26.6
female,9,22,11,9,18.2
female,16,31,11,12,56.7
female,6,12,8,6,5.7
female,25,35,14,17,79.8
female,20,29,12,10,62.4
female,24,34,15,13,85.0
female,18,23,10,12,29.9
female,25,33,13,13,62.7
female,11,26,9,9,27.4
female,20,22,13,14,61.7
female,20,34,14,13,63.9
female,21,29,12,15,58.4
female,14,32,12,8,50.7
female,9,29,11,10,44.9
female,7,13,5,2,1.3
female,15,26,11,11,40.7
female,24,35,14,19,87.7
female,30,26,14,22,89.3
female,12,29,12,10,51.6
female,14,28,12,11,37.7
female,30,32,12,20,68.9
female,21,27,14,20,69.2
male,0,0,0,0,0.0
male,15,30,10,8,33.6
male,26,28,14,17,77.6
female,13,26,12,10,39.0
female,16,22,6,8,26.8
female,15,31,12,10,44.3
female,24,34,14,17,73.8
female,16,30,15,7,55.2
male,14,32,10,11,33.7
male,8,9,6,7,6.4
female,13,34,13,6,50.4
female,11,16,7,6,17.1
female,14,16,9,9,28.4
female,10,16,8,2,8.2
female,20,27,14,20,75.0
female,25,32,13,22,80.7
male,12,15,8,9,16.2
female,15,14,6,7,23.2
male,8,8,4,8,6.6
female,7,23,5,6,14.4
male,16,32,13,16,67.0
male,28,28,12,24,73.3
female,21,32,14,17,63.9
female,19,29,14,9,55.0
female,15,32,13,6,42.2
female,7,14,6,5,7.4
female,8,15,6,6,6.8
female,22,32,14,20,77.2
female,7,12,4,5,2.5
female,21,28,13,16,59.1
female,17,35,15,16,79.7
female,24,34,14,24,91.2
female,8,10,8,9,13.1
female,7,9,3,6,2.1
female,8,29,8,10,21.3
female,14,33,12,9,50.8
male,10,8,5,10,15.4
female,26,32,15,18,84.6
male,12,30,11,12,48.2
female,9,18,9,11,30.7
female,18,34,13,19,81.8
male,26,29,14,16,70.1
male,21,29,13,17,72.3
male,13,31,11,10,42.7
female,13,16,12,10,32.4
female,19,29,13,17,58.5
female,23,33,13,14,76.7
female,21,27,13,15,58.2
female,8,13,4,5,4.9
female,19,31,15,22,81.3
female,11,21,11,10,29.7
male,27,35,13,25,93.4
male,16,24,9,7,33.4
female,22,30,14,8,52.9
female,18,33,11,19,54.6
female,17,25,11,9,37.1
female,16,24,11,10,35.2
female,23,31,14,10,76.5
female,6,9,4,5,1.3
female,8,12,6,7,6.1
female,9,13,6,3,8.8
female,19,23,13,19,68.5
female,15,23,4,12,32.8
