PollenRemoved,DurationOfVisit,BeeType
0.07,2,Queen
0.10,5,Queen
0.11,7,Queen
0.12,11,Queen
0.15,12,Queen
0.19,11,Queen
0.28,9,Queen
0.31,9,Queen
0.30,16,Queen
0.34,17,Queen
0.35,12,Queen
0.39,14,Queen
0.38,23,Queen
0.40,35,Queen
0.42,21,Queen
0.40,10,Queen
0.41,9,Queen
0.42,7,Queen
0.48,11,Queen
0.48,13,Queen
0.47,14,Queen
0.49,16,Queen
0.50,14,Queen
0.51,17,Queen
0.53,22,Queen
0.58,13,Queen
0.59,13,Queen
0.65,12,Queen
0.60,19,Queen
0.60,23,Queen
0.69,21,Queen
0.70,27,Queen
0.70,28,Queen
0.51,58,Queen
0.70,15,Queen
0.28,3,Worker
0.37,12,Worker
0.52,10,Worker
0.65,17,Worker
0.76,24,Worker
0.89,33,Worker
0.74,44,Worker
0.70,46,Worker
0.79,48,Worker
0.78,51,Worker
0.74,64,Worker
0.77,78,Worker
