Subject,Educ,Income2005
6,16,65000
13,16,8000
20,>16,64000
21,16,253043
22,16,45300
46,>16,42000
58,>16,55500
63,16,108000
69,>16,120000
73,>16,186135
78,16,14657
89,16,62000
106,16,105000
107,16,43000
119,16,12000
120,16,150000
121,>16,41000
129,16,80000
137,16,175829
138,16,8000
140,>16,65000
141,>16,44768
158,>16,35100
162,>16,76000
184,16,6000
186,>16,65000
190,>16,92000
191,>16,118000
192,16,26000
193,16,105000
195,>16,348204
198,>16,130000
201,16,16000
210,16,50000
218,16,261763
219,>16,102000
220,>16,105000
247,>16,79000
269,16,154541
281,>16,99000
282,16,14000
317,16,31500
321,16,69000
327,16,28000
342,>16,96000
346,16,120000
350,>16,100000
357,16,80000
358,16,110000
359,16,60000
360,>16,34000
367,16,58000
369,16,12000
370,16,20000
376,>16,47000
399,>16,62500
400,16,75000
409,16,180733
422,>16,55000
439,16,77000
444,16,1500
445,16,40000
456,>16,50000
457,16,53000
458,>16,65000
459,>16,10000
461,16,85000
467,16,20000
479,16,86000
480,>16,60000
481,>16,388725
482,>16,122000
496,16,25000
501,>16,25000
506,16,43000
520,16,73000
521,>16,80000
553,16,10000
554,>16,1100
556,>16,147000
557,>16,1200
558,>16,36000
561,>16,42000
562,>16,55000
608,16,27000
609,16,32000
612,16,46136
645,16,163172
649,>16,110000
650,16,58000
653,>16,96000
663,16,85000
664,>16,43000
665,16,30000
671,16,10000
683,>16,52000
686,>16,57000
725,>16,74000
751,16,55000
752,>16,120000
776,>16,115000
777,16,85000
778,>16,30000
792,16,30000
793,16,30000
796,16,58000
804,>16,16000
807,16,70000
810,16,115000
812,16,10500
813,>16,33000
816,16,29000
817,16,117000
820,16,85000
821,>16,34000
825,>16,73000
827,>16,169541
829,>16,66000
847,16,67500
872,16,176354
874,>16,90000
879,>16,52900
881,16,8000
882,16,42000
884,>16,52000
885,16,37000
890,>16,183306
896,16,15000
898,16,40000
902,>16,64320
906,>16,90000
907,>16,7000
908,16,37000
912,16,34000
916,16,20000
920,16,120000
944,>16,54000
945,16,37300
961,16,140000
974,>16,55000
976,>16,51000
999,16,27000
1003,16,70000
1019,>16,29000
1020,>16,84000
1046,>16,63
1049,>16,51000
1051,>16,67000
1052,>16,183467
1053,16,394058
1072,>16,65000
1078,16,61000
1082,16,70000
1086,>16,67500
1093,16,35000
1098,>16,108000
1101,>16,50000
1105,>16,61000
1106,16,35000
1122,16,37000
1138,16,58000
1139,16,60000
1143,16,180124
1144,16,248713
1157,16,63000
1176,16,77000
1182,>16,48000
1184,16,95000
1185,>16,268384
1186,16,140000
1187,>16,39000
1200,16,9000
1208,>16,120000
1240,>16,52000
1252,>16,16000
1255,>16,87000
1268,16,90000
1276,16,46000
1286,16,32000
1293,16,36000
1311,16,130000
1323,>16,42000
1325,16,80000
1344,>16,72000
1347,16,157280
1359,>16,40000
1362,>16,70000
1367,16,16000
1368,16,39000
1374,16,15700
1394,16,62000
1395,>16,63000
1429,16,30000
1432,16,42000
1433,>16,50000
1470,>16,35000
1477,16,70000
1479,>16,100000
1481,16,71000
1501,>16,60000
1502,16,12000
1503,>16,58000
1509,>16,25000
1510,16,26000
1522,16,51300
1538,>16,45000
1552,16,9200
1564,16,3400
1569,16,63000
1574,16,47000
1587,16,27300
1601,16,368302
1603,>16,20000
1619,>16,65000
1621,>16,35942
1622,16,60000
1626,16,73000
1631,16,85000
1632,>16,100035
1633,>16,100000
1670,16,105000
1719,>16,60000
1730,>16,52000
1733,16,115000
1735,>16,3000
1740,16,19000
1746,>16,116000
1763,16,22000
1766,16,12000
1787,>16,52000
1795,>16,108888
1803,>16,36000
1804,>16,12000
1808,16,125000
1841,>16,85000
1844,>16,188404
1846,>16,192896
1858,>16,68000
1875,>16,130000
1880,>16,30000
1885,16,35000
1896,>16,28000
1906,>16,25000
1914,>16,48000
1916,>16,74481
1924,16,65000
1930,16,45000
1950,16,22000
1951,>16,42000
1952,>16,85000
1953,>16,24000
1954,16,4000
1967,16,40000
1976,16,36000
1999,>16,46000
2005,16,78000
2010,>16,12000
2027,>16,9000
2029,>16,135000
2030,>16,5500
2034,16,52000
2037,>16,2700
2038,>16,162919
2042,>16,6000
2049,16,33000
2056,16,135000
2061,16,50000
2062,>16,110000
2068,16,35000
2083,16,26000
2096,16,92000
2113,>16,100000
2123,>16,33600
2124,16,115000
2126,>16,42000
2136,>16,34500
2144,16,57000
2159,16,70000
2164,>16,69000
2167,16,48000
2168,16,57600
2178,16,44000
2200,>16,65000
2202,16,35000
2218,16,70000
2220,16,82000
2222,16,46000
2230,16,40000
2237,>16,64000
2243,16,30000
2285,>16,55000
2286,16,26000
2291,16,60200
2299,16,47000
2301,16,71500
2302,>16,112000
2323,16,100000
2324,16,102000
2328,16,31000
2329,16,40000
2339,>16,235236
2360,>16,18500
2372,16,65000
2438,>16,90000
2442,>16,79000
2444,16,50000
2461,>16,61000
2494,16,72000
2526,>16,80000
2544,16,98000
2545,16,103000
2549,>16,38000
2550,16,36660
2551,16,39500
2552,16,33500
2557,16,96000
2558,>16,61000
2565,16,44000
2569,>16,24000
2570,16,15300
2572,16,70500
2588,>16,70000
2589,>16,125000
2590,16,60000
2603,>16,41000
2606,16,51000
2607,16,35000
2622,>16,33000
2626,>16,38000
2628,>16,8000
2630,>16,70000
2633,16,92000
2636,>16,40500
2637,16,48000
2642,>16,68000
2646,>16,90000
2649,>16,37000
2684,>16,40000
2685,>16,58000
2695,>16,80000
2701,16,88000
2702,16,91500
2703,16,125000
2714,16,45000
2723,16,62000
2724,>16,167252
2730,16,10000
2770,16,57000
2771,16,10000
2800,>16,35000
2804,16,52000
2809,>16,15000
2813,16,75000
2823,>16,50000
2838,16,69500
2840,>16,88000
2845,>16,70000
2847,>16,48000
2848,16,19285
2851,>16,357310
2861,>16,124000
2868,16,74000
2870,>16,126000
2871,>16,80000
2894,16,166924
2895,16,194031
2896,>16,162733
2899,16,30000
2900,>16,500
2902,>16,33000
2906,>16,85000
2910,>16,35000
2928,16,10088
2929,>16,46000
2930,16,32000
2936,>16,40000
2941,>16,180621
2946,16,62000
2948,16,12500
2949,16,20000
2950,16,93000
2957,>16,35000
2959,>16,110000
2961,>16,68000
2962,16,140000
2980,>16,170
2984,16,359118
2985,16,100000
2988,16,100000
2991,16,45000
3016,16,85000
3019,>16,85000
3033,>16,150000
3062,16,282588
3084,16,183223
3085,16,25000
3109,>16,58000
3111,>16,43000
3112,>16,105000
3137,>16,120000
3141,16,80000
3142,>16,106000
3143,16,53000
3145,16,5000
3146,>16,62000
3150,16,138000
3153,16,151083
3154,16,10000
3157,16,60000
3159,16,40000
3168,>16,115000
3170,>16,268323
3171,>16,152840
3173,>16,125000
3198,>16,53600
3205,16,90000
3208,16,135000
3224,>16,130000
3238,>16,28000
3239,>16,30000
3240,>16,46000
3243,16,50000
3244,>16,24000
3256,>16,80000
3257,>16,75000
3263,16,89000
3266,16,250
3278,>16,147
3289,16,140000
3290,>16,150000
3303,16,18000
3309,>16,54000
3337,>16,89000
3338,16,2000
3341,>16,39000
3352,16,1200
3357,>16,150490
3360,16,32000
3361,>16,703637
3376,>16,73000
3378,16,8220
3379,>16,99000
3387,16,45000
3390,>16,80000
3391,>16,30824
3393,>16,25000
3394,>16,85000
3406,>16,38500
3410,16,65000
3422,>16,2000
3423,16,27000
3429,16,200
3431,>16,171428
3433,16,4000
3463,16,57000
3464,16,96000
3466,16,60000
3506,16,18000
3515,>16,97000
3530,16,62000
3535,>16,82376
3551,16,65000
3558,>16,96000
3581,16,129000
3582,>16,150000
3583,>16,100000
3585,16,159168
3588,>16,60000
3601,16,40000
3608,16,69000
3614,>16,10180
3617,16,89000
3619,>16,32500
3623,16,35000
3625,16,26000
3628,>16,189210
3641,>16,51000
3643,>16,38000
3651,16,65000
3664,>16,68000
3669,16,10000
3676,16,74000
3677,16,60000
3686,16,69000
3690,>16,138000
3709,16,30000
3745,16,32089
3757,>16,95000
3771,>16,32253
3775,16,53000
3792,>16,88000
3800,>16,8000
3803,>16,69000
3804,>16,40000
3805,16,95000
3809,16,100000
3812,16,100000
3815,16,263445
3836,>16,110000
3854,>16,169884
3855,>16,16500
3860,>16,55000
3861,16,25000
3863,>16,157957
3865,>16,176431
3866,>16,35000
3868,>16,43450
3872,16,30000
3873,>16,50000
3874,16,519340
3875,16,92000
3884,16,74000
3886,>16,101000
3889,16,15000
3890,>16,150000
3892,16,102000
3894,>16,62000
3895,>16,20000
3897,>16,90000
3898,16,110000
3903,>16,5200
3904,>16,51000
3910,16,40000
3911,>16,29000
3916,>16,97000
3922,16,22000
3952,16,50000
3964,>16,39500
3966,>16,155485
3967,16,125000
3972,>16,28500
3980,16,444624
4010,>16,50000
4019,>16,99000
4023,16,65000
4030,16,15000
4045,16,50000
4053,>16,50000
4055,>16,206869
4056,16,50000
4057,16,35000
4092,>16,42000
4093,>16,65000
4106,16,62000
4107,>16,52000
4108,16,23900
4124,>16,61000
4147,16,32624
4164,16,20000
4171,16,90000
4172,16,34900
4191,>16,85300
4225,16,20000
4226,>16,85605
4227,>16,47000
4257,16,34000
4280,16,49000
4285,16,40000
4289,>16,162660
4290,>16,75419
4296,16,40000
4298,>16,91000
4299,16,42000
4302,>16,53000
4306,>16,32000
4350,16,26000
4352,16,30000
4353,16,120000
4355,16,22000
4372,>16,102500
4382,16,18000
4392,16,37000
4407,16,185662
4408,>16,92000
4410,16,63000
4413,16,30000
4424,>16,93000
4425,>16,22000
4426,16,211052
4428,>16,42000
4429,>16,49938
4448,16,95000
4466,16,80000
4470,>16,75000
4471,>16,140000
4480,16,202617
4508,16,72000
4517,16,146000
4531,16,113000
4532,16,73000
4540,16,57000
4548,16,100000
4565,16,98000
4570,>16,72000
4576,>16,16000
4590,>16,58000
4592,>16,48000
4606,16,15000
4607,>16,55000
4609,>16,194757
4626,>16,130000
4632,16,45000
4634,>16,355767
4635,>16,70000
4652,16,60000
4662,16,52000
4668,16,209400
4683,>16,10000
4686,>16,84000
4692,>16,29000
4695,16,91500
4698,16,108000
4742,16,30000
4753,16,33000
4754,>16,67000
4756,>16,163271
4758,>16,60000
4760,>16,34000
4767,>16,40000
4793,16,115000
4795,16,70000
4798,>16,90000
4799,>16,40500
4812,16,80000
4820,16,25000
4826,>16,57000
4828,16,66768
4829,16,126000
4830,16,344856
4831,>16,54500
4834,16,80000
4842,>16,37000
4843,16,45000
4870,>16,6000
4871,16,34000
4872,>16,56000
4873,16,55000
4892,16,72000
4894,16,81000
4896,16,90000
4907,>16,188255
4919,>16,52000
4921,>16,92500
4927,16,159193
4939,16,41000
4944,16,75000
4954,>16,78000
4975,>16,60000
4998,>16,69600
5001,>16,30000
5003,>16,228453
5012,>16,215765
5020,>16,39000
5021,>16,44000
5023,>16,39000
5028,>16,153447
5029,16,120000
5054,>16,34000
5091,>16,56400
5095,>16,20000
5096,>16,30000
5099,16,40000
5107,>16,152683
5108,16,33000
5140,16,10800
5143,>16,62000
5166,16,75000
5168,>16,23000
5170,>16,55000
5185,>16,57000
5188,16,46000
5193,16,56000
5197,>16,123000
5212,>16,20000
5222,>16,80000
5226,16,85000
5244,16,60000
5245,>16,200977
5250,16,55000
5264,16,65000
5287,16,3200
5289,16,40264
5299,>16,45000
5310,>16,59800
5325,>16,600
5326,16,35000
5334,16,75000
5341,16,52000
5342,16,95000
5351,>16,53000
5352,16,110000
5372,16,12000
5373,16,35000
5374,16,38400
5381,16,46000
5388,16,18000
5389,>16,53000
5391,>16,40000
5393,16,59850
5394,>16,42000
5395,>16,35000
5398,16,135000
5406,16,32000
5410,16,57000
5416,16,15000
5418,16,60000
5419,>16,81000
5420,16,125000
5430,16,37000
5439,16,110000
5474,16,62000
5485,16,47000
5489,>16,91000
5504,16,95000
5513,16,25000
5543,>16,133000
5565,16,36000
5590,16,42000
5591,16,65000
5592,>16,33000
5594,>16,79000
5599,16,82000
5618,16,43000
5621,>16,44000
5623,>16,96000
5624,>16,36000
5655,>16,90000
5666,16,80000
5667,>16,198032
5675,16,67500
5676,>16,15000
5690,>16,70000
5701,>16,114000
5710,>16,53000
11758,>16,70000
11779,>16,1500
11791,16,123000
11796,16,24000
11809,16,39000
11820,16,50000
11835,16,14000
11848,16,24500
11854,16,87000
11867,16,28000
11868,16,102831
11870,16,11000
11881,16,15000
11889,>16,40000
11894,16,30330
11898,16,58500
11902,>16,48000
11905,16,60000
11916,>16,38000
11918,>16,85000
11920,16,338101
11929,>16,82000
11936,16,125000
11937,>16,43000
11955,16,42000
11972,>16,110500
11990,>16,70000
12006,16,17000
12010,>16,53000
12014,16,85000
12016,16,150000
12023,>16,65000
12034,16,161182
12044,>16,45000
12045,>16,49000
12064,>16,158730
12068,16,49000
12088,16,37000
12089,>16,40000
12092,16,30000
12102,16,100000
12106,>16,120000
12110,16,91000
12116,16,90000
12119,>16,45000
12129,16,39500
