College,Type,InState,OutOfState
Albany State University,Public,5434,17048
Appalachian State University,Public,5175,16487
Argosy University: Nashville,Private,19596,19596
Brescia University,Private,18140,18140
Central Connecticut State University,Public,8055,18679
Christopher Newport University,Public,10084,19306
City University of New York: Lehman College,Public,4978,12828
City University of New York: Medgar Evers College,Public,5132,13352
College of Idaho,Private,22315,22315
Colorado School of Mines,Public,14454,29139
Delta State University,Public,5288,13688
Dordt College,Private,24300,24300
Drake University,Private,28382,28382
Fitchburg State University,Public,7800,13880
Flagler College,Private,14510,14510
Florida Atlantic University,Public,4794,18132
Fort Lewis College,Public,5592,17616
Hiram College,Private,28950,28950
Indiana Universitiy East,Public,6069,16305
ITT Technical Institute: Sylmar,Private,97716,97716
Kaplan University: Des Moines,Private,15372,15372
Lewis and Clark College,Private,38500,38500
Magdalen College,Private,17975,17975
Maryville College,Private,29924,29924
Millersville University of Pennsylvania,Public,7700,16406
Moody Bible Institute,Private,8796,8796
Mount St. Mary's College,Private,31626,31626
Nevada State College,Public,3583,13401
New England Institute of Art,Private,23190,23190
Northern Kentucky University,Public,7128,13896
Oregon State University,Public,7115,20435
Parsons The New School for Design,Private,39350,39350
Penn State Berks,Public,13250,19828
Peru State College,Public,4966,4966
Piedmont College,Private,19000,19000
Pikeville College,Private,16250,16250
Pittsburgh State University,Public,4848,13588
Simmons College,Private,33356,33356
South Dakota State University,Public,6444,7941
St. John Vianney College Seminary,Private,17000,17000
St. Louis Christian College,Private,15700,15700
Swarthmore College,Private,41150,41150
Tabor College,Private,21740,21740
Tulane University,Private,43434,43434
University of Baltimore,Public,7494,17446
University of Illinois: Springfield,Public,10408,19558
University of Maine at Fort Kent,Public,7575,17535
University of Texas at San Antonio,Public,8873,18173
Virginia State University,Public,6570,15136
Wesleyan University,Private,43974,43974
