Protein,Treatment,Day,TrtDayGroup
154,CPFA50,Day1,Group1
177,CPFA50,Day1,Group1
174,CPFA50,Day1,Group1
164,CPFA150,Day2,Group2
192,CPFA150,Day2,Group2
159,CPFA150,Day2,Group2
157,CPFA300,Day3,Group3
159,CPFA300,Day3,Group3
124,CPFA300,Day3,Group3
160,CPFA450,Day4,Group4
152,CPFA450,Day4,Group4
141,CPFA450,Day4,Group4
147,CPFA600,Day5,Group5
152,CPFA600,Day5,Group5
158,CPFA600,Day5,Group5
157,Control,Day1,Group6
165,Control,Day1,Group6
150,Control,Day1,Group6
186,Control,Day2,Group7
206,Control,Day2,Group7
195,Control,Day2,Group7
192,Control,Day3,Group8
202,Control,Day3,Group8
216,Control,Day3,Group8
190,Control,Day4,Group9
187,Control,Day4,Group9
160,Control,Day4,Group9
191,Control,Day5,Group10
188,Control,Day5,Group10
199,Control,Day5,Group10
