Oxygen,Bone
11.10,Bone1
11.22,Bone1
11.29,Bone1
11.49,Bone1
11.32,Bone2
11.40,Bone2
11.71,Bone2
11.60,Bone3
11.78,Bone3
12.05,Bone3
10.61,Bone4
10.88,Bone4
11.12,Bone4
11.24,Bone4
11.43,Bone4
10.92,Bone5
11.20,Bone5
11.30,Bone5
11.62,Bone5
11.70,Bone5
11.70,Bone6
11.79,Bone6
11.91,Bone6
12.15,Bone6
11.33,Bone7
11.41,Bone7
11.62,Bone7
12.15,Bone7
12.30,Bone7
11.32,Bone8
11.65,Bone8
11.96,Bone8
12.15,Bone8
11.54,Bone9
11.89,Bone9
12.04,Bone9
10.93,Bone10
11.01,Bone10
11.08,Bone10
11.12,Bone10
11.28,Bone10
11.37,Bone10
11.35,Bone11
11.43,Bone11
11.50,Bone11
11.57,Bone11
11.92,Bone11
11.95,Bone12
12.01,Bone12
12.25,Bone12
12.30,Bone12
12.39,Bone12
