Subject,IQquartile,Income2005
2,1stQuartile,5500
6,4thQuartile,65000
7,2ndQuartile,19000
8,2ndQuartile,36000
9,3rdQuartile,65000
13,3rdQuartile,8000
16,2ndQuartile,71000
17,4thQuartile,43000
18,4thQuartile,120000
20,3rdQuartile,64000
21,4thQuartile,253043
22,4thQuartile,45300
29,1stQuartile,85000
34,1stQuartile,150432
37,2ndQuartile,37000
38,1stQuartile,70000
39,1stQuartile,67000
41,3rdQuartile,120000
42,1stQuartile,45000
44,2ndQuartile,7200
46,4thQuartile,42000
47,3rdQuartile,66309
49,3rdQuartile,34000
57,1stQuartile,12000
58,4thQuartile,55500
61,4thQuartile,63000
62,2ndQuartile,30000
63,4thQuartile,108000
69,4thQuartile,120000
73,4thQuartile,186135
78,4thQuartile,14657
86,1stQuartile,14000
87,1stQuartile,17000
89,4thQuartile,62000
97,3rdQuartile,49000
105,4thQuartile,40000
106,4thQuartile,105000
107,3rdQuartile,43000
117,4thQuartile,83000
119,1stQuartile,12000
120,4thQuartile,150000
121,4thQuartile,41000
126,3rdQuartile,85000
129,4thQuartile,80000
133,3rdQuartile,52000
137,4thQuartile,175829
138,4thQuartile,8000
139,4thQuartile,120000
140,3rdQuartile,65000
141,4thQuartile,44768
143,3rdQuartile,52000
145,3rdQuartile,10000
146,4thQuartile,50000
147,1stQuartile,12000
148,3rdQuartile,21800
149,2ndQuartile,95000
152,4thQuartile,85000
156,1stQuartile,14000
158,4thQuartile,35100
160,3rdQuartile,65000
162,4thQuartile,76000
165,2ndQuartile,50000
166,3rdQuartile,82000
174,2ndQuartile,48000
179,1stQuartile,29000
184,3rdQuartile,6000
185,3rdQuartile,34000
186,4thQuartile,65000
188,1stQuartile,15000
190,3rdQuartile,92000
191,4thQuartile,118000
192,4thQuartile,26000
193,2ndQuartile,105000
195,4thQuartile,348204
197,1stQuartile,17000
198,3rdQuartile,130000
199,1stQuartile,38000
200,1stQuartile,35000
201,4thQuartile,16000
202,3rdQuartile,55000
207,1stQuartile,32000
210,3rdQuartile,50000
218,4thQuartile,261763
219,3rdQuartile,102000
220,4thQuartile,105000
228,1stQuartile,1600
230,2ndQuartile,55000
232,2ndQuartile,45000
233,1stQuartile,39000
234,2ndQuartile,140000
235,3rdQuartile,98000
236,3rdQuartile,30000
