Gender,Family,Height,Father,Mother
male,1,73.2,78.5,67.0
female,1,69.2,78.5,67.0
female,1,69.0,78.5,67.0
female,1,69.0,78.5,67.0
male,2,73.5,75.5,66.5
male,2,72.5,75.5,66.5
female,2,65.5,75.5,66.5
female,2,65.5,75.5,66.5
male,3,71.0,75.0,64.0
female,3,68.0,75.0,64.0
male,4,70.5,75.0,64.0
male,4,68.5,75.0,64.0
female,4,67.0,75.0,64.0
female,4,64.5,75.0,64.0
female,4,63.0,75.0,64.0
male,5,72.0,75.0,58.5
male,5,69.0,75.0,58.5
male,5,68.0,75.0,58.5
female,5,66.5,75.0,58.5
female,5,62.5,75.0,58.5
female,5,62.5,75.0,58.5
female,6,69.5,74.0,68.0
male,7,76.5,74.0,68.0
male,7,74.0,74.0,68.0
male,7,73.0,74.0,68.0
male,7,73.0,74.0,68.0
female,7,70.5,74.0,68.0
female,7,64.0,74.0,68.0
female,8,70.5,74.0,66.5
female,8,68.0,74.0,66.5
female,8,66.0,74.0,66.5
female,9,66.0,74.5,66.0
female,10,65.5,74.0,65.5
male,11,74.0,74.0,62.0
male,11,70.0,74.0,62.0
female,11,68.0,74.0,62.0
female,11,67.0,74.0,62.0
female,11,67.0,74.0,62.0
female,11,66.0,74.0,62.0
female,11,63.5,74.0,62.0
female,11,63.0,74.0,62.0
female,12,65.0,74.0,61.0
male,13,71.0,73.0,67.0
female,13,62.0,73.0,67.0
male,14,68.0,73.0,67.0
male,14,67.0,73.0,67.0
male,15,71.0,73.0,66.5
male,15,70.5,73.0,66.5
female,15,66.7,73.0,66.5
male,16,72.0,73.0,65.0
male,16,70.5,73.0,65.0
male,16,70.2,73.0,65.0
male,16,70.2,73.0,65.0
male,16,69.2,73.0,65.0
female,16,68.7,73.0,65.0
female,16,66.5,73.0,65.0
female,16,64.5,73.0,65.0
female,16,63.5,73.0,65.0
male,17,74.0,73.0,64.5
male,17,73.0,73.0,64.5
male,17,71.5,73.0,64.5
male,17,62.5,73.0,64.5
female,17,66.5,73.0,64.5
female,17,62.3,73.0,64.5
female,18,66.0,73.0,64.0
female,18,64.5,73.0,64.0
female,18,64.0,73.0,64.0
female,19,62.7,73.2,63.0
male,20,73.2,72.7,69.0
male,20,73.0,72.7,69.0
male,20,72.7,72.7,69.0
female,20,70.0,72.7,69.0
female,20,69.0,72.7,69.0
female,20,68.5,72.7,69.0
female,20,68.0,72.7,69.0
female,20,66.0,72.7,69.0
male,21,73.0,72.0,68.0
female,21,68.5,72.0,68.0
female,21,68.0,72.0,68.0
male,22,73.0,72.0,67.0
male,22,71.0,72.0,67.0
female,22,67.0,72.0,67.0
male,23,74.2,72.0,65.0
male,23,70.5,72.0,65.0
male,23,69.5,72.0,65.0
female,23,66.0,72.0,65.0
female,23,65.5,72.0,65.0
female,23,65.0,72.0,65.0
female,23,65.0,72.0,65.0
female,24,65.5,72.0,65.5
female,25,66.0,72.0,64.0
female,25,63.0,72.0,64.0
male,26,70.5,72.0,63.0
male,26,70.5,72.0,63.0
male,26,69.0,72.0,63.0
female,26,65.0,72.0,63.0
female,26,63.0,72.0,63.0
male,27,69.0,72.0,63.0
male,27,67.0,72.0,63.0
female,27,63.0,72.0,63.0
male,28,73.0,72.0,63.0
male,28,67.0,72.0,63.0
female,28,70.5,72.0,63.0
female,28,70.0,72.0,63.0
female,28,66.5,72.0,63.0
female,28,63.0,72.0,63.0
female,29,67.5,72.5,63.5
female,29,67.2,72.5,63.5
female,29,66.7,72.5,63.5
female,30,64.0,72.0,62.0
male,31,71.0,72.5,62.0
male,31,70.0,72.5,62.0
male,31,70.0,72.5,62.0
female,31,66.0,72.5,62.0
female,31,65.0,72.5,62.0
female,31,65.0,72.5,62.0
male,32,74.0,72.0,62.0
male,32,72.0,72.0,62.0
male,32,69.0,72.0,62.0
