Year,District,DemAbsenteeVotes,RepubAbsenteeVotes,DemMachineVotes,RepubMachineVotes,DemPctOfAbsenteeVotes,DemPctOfMachineVotes,Disputed
82,D2,551,205,47767,21340,72.9,69.1,no
82,D4,594,312,44437,28533,65.6,60.9,no
82,D8,338,115,55662,13214,74.6,80.8,no
84,D1,1357,764,58327,38883,64,60,no
84,D3,716,144,78270,6473,83.3,92.4,no
84,D5,1207,1436,54812,55829,45.7,49.5,no
84,D7,929,258,77136,13730,78.3,84.9,no
86,D2,609,316,39034,23363,65.8,62.6,no
86,D4,666,306,52817,16541,68.5,76.2,no
86,D8,477,171,48315,11605,73.6,80.6,no
88,D1,1101,700,56362,34514,61.1,62,no
88,D3,448,70,69801,3939,86.5,94.7,no
88,D5,781,1610,43527,56721,32.7,43.4,no
88,D7,644,250,68702,12602,72,84.5,no
90,D2,660,509,27543,26843,56.5,50.6,no
90,D4,482,831,39193,27664,36.7,58.6,no
90,D8,308,148,34598,8551,67.5,80.2,no
92,D1,1923,594,65943,21518,76.4,75.4,no
92,D3,695,327,58480,12968,68,81.8,no
92,D5,841,1275,41267,46967,39.7,46.8,no
92,D7,814,423,65516,14310,65.8,82.1,no
93,D2,1396,371,19127,19691,79,49.3,yes
