Age,Rate
0.1,53
0.2,38
0.3,58
0.3,52
0.3,42
0.4,62
0.4,59
0.4,58
0.4,58
0.4,51
0.4,43
0.4,45
0.4,47
0.5,75
0.5,63
0.5,58
0.5,54
0.5,38
0.5,42
0.5,43
0.5,44
0.5,49
0.6,58
0.6,50
0.6,52
0.6,36
0.6,44
0.6,47
0.7,58
0.7,50
0.7,41
0.7,42
0.7,49
0.8,58
0.8,53
0.8,41
0.8,44
0.9,58
0.9,54
0.9,50
0.9,40
0.9,45
1.0,58
1.0,50
1.0,50
1.0,50
1.0,34
1.0,38
1.0,40
1.0,45
1.0,46
1.0,48
1.0,49
1.0,50
1.1,58
1.1,50
1.1,35
1.1,40
1.1,42
1.1,43
1.1,47
1.2,58
1.2,54
1.2,55
1.2,55
1.2,30
1.2,36
1.2,42
1.2,45
1.2,50
1.3,58
1.3,56
1.3,56
1.3,57
1.3,50
1.3,34
1.3,37
1.3,45
1.4,40
1.4,50
1.5,58
1.5,55
1.5,49
1.5,27
1.5,39
1.5,40
1.6,39
1.6,45
1.7,38
1.7,43
1.8,72
1.8,40
1.8,50
1.9,78
1.9,69
1.9,50
1.9,38
1.9,41
1.9,43
2.0,61
2.0,58
2.0,50
2.0,42
2.1,45
2.1,48
2.1,49
2.2,40
2.2,41
2.2,42
2.3,37
2.3,50
2.4,45
2.5,70
2.5,41
2.5,42
2.6,60
2.6,62
2.6,38
2.6,41
2.7,38
2.7,41
2.7,50
2.8,43
2.8,48
2.9,50
2.9,54
2.9,56
2.9,37
2.9,40
2.9,29
3.0,55
3.0,55
3.0,55
3.0,28
3.0,32
3.0,38
3.0,39
3.0,40
3.1,73
3.1,56
3.1,40
3.1,41
3.1,44
3.2,56
3.2,56
3.2,57
3.2,27
3.3,32
3.3,41
3.3,45
3.4,31
3.5,44
3.5,47
3.8,51
3.8,55
3.8,41
3.9,35
3.9,49
4.0,56
4.0,52
4.0,53
4.0,56
4.0,40
4.1,32
4.1,35
4.1,41
4.2,41
4.2,48
4.4,38
4.4,41
4.4,49
4.5,69
4.5,55
4.5,58
4.5,36
4.5,37
4.6,38
4.7,38
4.7,39
4.9,66
4.9,40
5.0,32
5.0,34
5.0,35
5.1,41
5.1,43
5.2,35
5.2,38
5.2,41
5.2,42
5.3,36
5.5,54
5.5,40
5.5,48
5.6,46
5.7,34
5.7,40
5.7,41
5.7,44
5.8,60
5.8,52
5.8,33
5.9,61
5.9,41
5.9,43
5.9,45
5.9,48
6.0,65
6.0,51
6.0,33
6.0,38
6.0,39
6.0,40
6.0,49
6.1,60
6.1,58
6.1,29
6.1,31
6.1,44
6.2,28
6.2,31
6.2,35
6.2,38
6.3,52
6.3,57
6.3,40
6.3,41
6.4,48
6.6,27
6.6,45
6.7,44
6.8,30
6.8,34
6.9,31
6.9,39
6.9,48
7.0,34
7.0,38
7.0,47
7.1,50
7.1,41
7.1,50
7.2,35
7.2,40
7.2,42
7.3,56
7.3,40
7.3,49
7.4,42
7.5,52
7.5,35
7.5,52
7.7,35
7.8,47
7.8,50
7.9,50
7.9,35
8.0,32
8.0,33
8.1,48
8.2,45
8.2,48
8.3,35
8.4,29
8.4,32
8.5,58
8.5,31
8.5,35
8.5,40
8.5,57
8.6,43
8.7,28
8.7,35
8.9,36
9.0,37
9.0,32
9.1,35
9.2,21
9.2,32
9.2,41
9.2,42
9.3,36
9.4,23
9.4,32
9.5,52
9.5,36
9.5,41
9.5,53
9.6,39
9.7,32
9.7,41
9.8,46
9.9,29
9.9,31
9.9,32
9.9,34
10.1,45
10.1,37
10.2,41
10.2,35
10.3,40
10.4,42
10.4,40
10.4,39
10.4,32
10.4,27
10.5,41
10.5,37
10.5,38
10.6,40
10.6,38
10.7,37
10.7,37
10.8,37
10.8,36
10.9,49
10.9,42
10.9,41
10.9,36
10.9,35
10.9,30
11.0,49
11.0,41
11.0,42
11.0,30
11.1,29
11.2,28
11.4,39
11.6,28
11.7,60
11.7,30
11.8,60
11.8,60
11.8,24
11.8,29
11.8,30
11.9,27
11.9,30
12.0,44
12.1,48
12.1,42
12.1,34
12.2,31
12.2,39
12.3,41
12.3,38
12.4,33
12.4,34
12.5,39
12.6,28
12.8,34
12.9,30
12.9,31
12.9,41
13.1,32
13.1,43
13.3,43
13.5,33
13.5,40
13.6,35
13.8,38
13.8,40
13.9,25
14.0,31
14.1,31
14.2,33
14.4,28
14.5,25
14.5,28
14.5,29
14.5,30
14.5,33
14.8,30
14.8,28
14.8,31
14.8,34
14.9,40
14.9,31
15.0,41
15.2,48
15.4,35
15.5,28
15.6,28
15.6,35
15.7,23
15.8,40
15.9,31
15.9,30
16.2,29
16.4,32
16.5,38
16.6,35
16.7,31
16.7,43
16.8,28
16.9,40
17.0,28
17.0,30
17.0,31
17.0,38
17.0,40
17.2,35
17.2,39
17.4,35
17.7,19
17.7,29
17.8,24
17.8,31
17.8,32
17.9,31
17.9,34
18.0,34
18.1,31
18.2,39
18.3,32
18.5,40
18.5,30
18.5,29
18.5,28
18.5,27
18.6,28
18.6,37
18.7,27
18.7,28
18.7,37
18.8,37
18.8,32
18.9,28
18.9,29
19.0,28
19.0,32
19.2,34
19.3,25
19.4,29
19.6,30
19.7,22
19.9,21
20.1,24
20.1,31
20.1,37
20.1,38
20.2,29
20.3,25
20.3,30
20.4,41
20.5,32
20.8,35
20.9,31
20.9,39
21.0,39
21.0,29
21.2,25
21.3,39
21.4,25
21.4,27
21.5,27
21.5,34
21.5,34
21.5,37
21.5,45
21.8,31
21.9,32
22.0,33
22.0,39
22.2,29
22.2,30
22.5,23
22.5,28
22.5,31
22.5,32
22.5,34
22.7,29
23.0,26
23.0,32
23.2,35
23.3,31
