CommonName,Species,Mass,Metab,Life
Echidna,Tachiglossus aculeatus,2.50E+00,3.02E+02,14
Long-beaked echidna,Zaglossus bruijni,1.03E+01,5.94E+02,20
Platypus,Ornithorhynchus anatinus,1.30E+00,2.29E+02,9
Opossum,Lutreolina crassicaudata,8.12E-01,1.96E+02,5
South American opossum,Didelphis marsupialis,1.33E+00,2.99E+02,6
Virginia opossum,Didelphis virginiana,3.26E+00,5.19E+02,8
Australian marsupial,Antechinus macdonnellensis,1.41E-02,9.00E+00,2
Marsupial  ,Antechinomus stuartii,3.65E-03,1.76E+01,2.5
Marsupial,Antechinomus laniger,8.50E-03,5.17E+00,2
Marsupial rat,Dasyuroides byrnei,8.90E-02,3.74E+01,3
Bandicoot,Isodon macroonurus,1.00E+00,2.01E+02,8
Long-nosed bandicoot,Perameles nasuta,6.45E-01,1.53E+02,7
Fat-tailed dunnart,Sminthopsis crassicaudata,1.50E-02,9.64E+00,2
Australian marsupial,Planigale maculata,1.30E-02,1.37E+01,1.5
Tasmanian devil,Sacrophilus harrisii,5.05E+00,6.28E+02,10
Brushtail possum,Trichosurus vulpecula,1.98E+00,3.06E+02,8
Kangaroo,Macropus robustus,4.69E+00,6.94E+02,11
Red kangaroo,Macropus rufus,4.00E+01,4.00E+03,15
Tammar wallaby,Macropus eugenii,4.80E+00,6.71E+02,11
Sloth,Bradypus variegatus,3.79E+00,3.31E+02,19
Armadillo,Dasypus novemcinctus,3.32E+00,3.84E+02,10
Pangolin,Manis tricuspis,2.73E+00,4.40E+02,8
Scaly anteater,Manis javanica,4.22E+00,5.29E+02,11
Short-tailed shrew,Blarina brevicauda,2.10E-02,2.53E+01,1.2
Hamster,Cricetus cricetus,3.62E-01,1.12E+02,4
Spiny pocket mouse,Liomys salvini,4.38E-02,2.25E+01,2.5
Mexican mouse,Liomys irroratus,4.81E-02,2.60E+01,2.5
Mouse,Microtus minutus,9.80E-03,1.80E+01,0.8
Mouse,Microtus mexicanus,2.80E-02,2.20E+01,1.5
Golden mouse,Ochrotomys nuttalli,1.95E-02,2.38E+01,1.5
Mouse,Mus musculus,2.10E-02,2.09E+01,1.5
Woodrat,Neotoma cirenea,3.21E-01,1.21E+02,3.5
Woodrat,Neotoma lepida,1.39E-01,4.82E+01,3.5
Woodrat,Neotoma fuscipes,1.87E-01,7.13E+01,3.5
Woodrat,Neotoma albigula,1.72E-01,6.14E+01,3.5
Musk rat,Ondatra zibethicus,8.42E-01,3.33E+02,3.5
Pocket mouse,Perognathus longimembris,1.15E-02,1.14E+01,1.5
Mouse,Perognahtus hispidus,3.95E-02,2.38E+01,2
Rodent,Peromyscus eremicus,2.15E-02,1.54E+01,1.5
Rodent,Peromyscus californicus,4.55E-02,2.26E+01,2.5
