Subject,AFQT,Educ,Income2005
2,6.841,12,5500
6,99.393,16,65000
7,47.412,12,19000
8,44.022,14,36000
9,59.683,14,65000
13,72.313,16,8000
16,50.283,13,71000
17,89.669,13,43000
18,95.977,13,120000
20,67.021,17,64000
21,88.416,16,253043
22,89.167,16,45300
29,25.905,12,85000
34,6.069,13,150432
37,56.29,12,37000
38,12.788,12,70000
39,26.851,12,67000
41,57.095,15,120000
42,22.326,12,45000
44,37.061,12,7200
46,78.095,19,42000
47,75.473,12,66309
49,71.226,14,34000
57,30.83,12,12000
58,91.625,17,55500
61,99.15,14,63000
62,36.384,13,30000
63,87.934,16,108000
69,86.703,18,120000
73,81.527,18,186135
78,85.347,16,14657
86,7.198,9,14000
87,12.463,12,17000
89,84.98,16,62000
97,59.411,14,49000
105,81.787,12,40000
106,87.651,16,105000
107,65.347,16,43000
117,98.349,15,83000
119,27.671,16,12000
120,97.847,16,150000
121,92.618,17,41000
126,67.259,14,85000
129,92.817,16,80000
133,57.983,12,52000
137,87.283,16,175829
138,88.326,16,8000
139,79.832,15,120000
140,72.878,17,65000
141,85.861,18,44768
143,59.838,14,52000
145,62.607,12,10000
146,86.932,12,50000
147,22.466,14,12000
148,74.997,12,21800
149,39.973,12,95000
152,93.332,12,85000
156,4.975,11,14000
158,85.206,17,35100
160,77.44,14,65000
162,98.253,18,76000
165,46.506,12,50000
166,58.432,13,82000
174,47.279,13,48000
179,30.455,12,29000
184,59.078,16,6000
185,77.155,12,34000
186,81.515,18,65000
188,11.983,10,15000
190,73.636,18,92000
191,89.27,19,118000
192,80.48,16,26000
193,45.527,16,105000
195,87.917,18,348204
197,17.107,12,17000
198,64.239,18,130000
199,19.225,12,38000
200,27.551,12,35000
201,86.603,16,16000
202,73.184,14,55000
207,25.802,12,32000
210,59.04,16,50000
218,81.447,16,261763
219,60.012,20,102000
220,89.381,20,105000
228,2.739,9,1600
230,34.084,15,55000
232,55.78,14,45000
233,31.472,12,39000
234,35.461,12,140000
235,61.313,15,98000
236,71.673,13,30000
239,13.294,10,9000
240,50.483,12,38000
242,30.481,12,75000
243,62.957,12,94600
244,73.828,12,5000
245,81.929,14,25000
247,52.544,20,79000
248,8.261,14,2000
253,34.745,11,20000
256,56.308,13,3000
257,58.214,12,22000
259,56.348,12,14000
260,83.227,14,65000
269,83.698,16,154541
273,64.372,15,61500
274,88.343,13,45000
275,72.963,14,52000
279,59.272,12,64500
281,72.769,18,99000
282,85.4,16,14000
283,15.136,12,53000
284,44.708,12,90000
285,15.448,10,35000
290,11.136,10,19000
294,62.191,12,12000
299,12.439,11,25000
306,27.277,14,40000
310,18.491,12,70000
313,30.794,11,37000
317,78.739,16,31500
321,76.525,16,69000
323,65.825,12,80000
324,10.373,9,23000
327,88.257,16,28000
335,62.746,15,10000
341,46.696,14,125000
342,95.123,17,96000
346,43.221,16,120000
348,36.155,12,164307
350,47.18,17,100000
351,19.021,12,39000
354,65.997,12,9600
355,55.481,13,120000
356,41.794,11,50000
357,68.746,16,80000
358,28.374,16,110000
359,37.74,16,60000
360,80.272,19,34000
362,19.625,12,48000
367,76.624,16,58000
369,91.042,16,12000
370,89.893,16,20000
373,11.771,12,9000
375,11.374,12,17500
376,83.17,18,47000
377,32.899,12,10000
381,49.149,12,105000
385,39.687,12,41500
386,63.197,12,43000
388,78.241,15,70000
391,23.959,12,35000
392,93.142,12,60000
393,76.768,13,68000
399,66.314,18,62500
400,100,16,75000
401,24.833,12,11500
405,16.239,13,26000
408,85.102,12,68000
409,90.513,16,180733
410,68.615,12,31085
411,18.169,12,16000
414,73.351,14,21000
418,60.767,13,28000
422,99.379,19,55000
426,27.838,12,82000
433,1.622,12,21528
434,65.734,12,59000
437,71.472,12,22000
438,79.95,13,36000
439,75.485,16,77000
442,64.195,13,15000
443,97.365,14,47000
444,80.238,16,1500
445,93.639,16,40000
446,25.328,12,32000
449,47.638,12,14000
453,72.199,13,40300
456,48.986,18,50000
457,78.555,16,53000
458,86.548,18,65000
459,85.905,20,10000
460,31.254,13,21400
461,90.491,16,85000
464,79.33,14,78000
465,85.844,12,12000
467,95.508,16,20000
470,11.35,12,46000
479,76.189,16,86000
480,51.896,18,60000
481,93.653,19,388725
482,77.991,19,122000
484,13.303,12,30000
485,8.229,12,12000
486,50.498,12,196424
489,59.586,14,85000
491,13.761,12,20000
495,69.07,14,29821
496,92.866,16,25000
499,39.163,13,36000
500,64.295,14,53000
501,78.966,19,25000
502,71.792,12,90000
503,56.773,12,23000
505,26.498,12,28000
506,43.741,16,43000
520,26.381,16,73000
521,37.473,17,80000
527,61.184,13,50000
533,55.185,15,5000
535,33.208,12,20000
540,16.138,12,60000
543,21.108,12,98000
547,45.744,11,69000
548,72.071,12,15000
550,81.039,12,22000
553,99.154,16,10000
554,91.427,19,1100
556,86.423,18,147000
557,99.324,17,1200
558,83.317,17,36000
560,62.344,14,78500
561,76.633,20,42000
562,64.432,20,55000
564,33.668,14,5000
565,35.041,13,55000
583,73.326,13,36000
585,25.699,9,25000
594,53.342,12,80000
597,2.826,11,500
604,62.762,15,40000
606,72.782,13,35000
608,88.693,16,27000
609,45.803,16,32000
612,48.877,16,46136
613,35.747,12,95000
616,9.141,12,25000
622,52.674,15,36500
