Year,Winner  ,Starters  ,NetToWinner  ,Time,Speed,Track,Conditions
1896,Ben Brush ,8,4850,127.75,35.23,Dusty,Fast
1897,Typhoon II ,6,4850,132.50,33.96,Heavy,Slow
1898,Plaudit ,4,4850,129.00,34.88,Good,Fast
1899,Manuel ,5,4850,132.00,34.09,Fast,Fast
1900,Lieut. Gibson ,7,4850,126.25,35.64,Fast,Fast
1901,His Eminence  ,5,4850,127.75,35.23,Fast,Fast
1902,Alan-a-Dale ,4,4850,128.75,34.95,Fast,Fast
1903,Judge Himes ,6,4850,129.00,34.88,Fast,Fast
1904,Elwood ,5,4850,128.50,35.02,Fast,Fast
1905,Agile ,3,4850,130.75,34.42,Heavy,Slow
1906,Sir Huon ,6,4850,128.80,34.94,Fast,Fast
1907,Pink Star ,6,4850,132.60,33.94,Heavy,Slow
1908,Stone Street ,8,4850,135.20,33.28,Heavy,Slow
1909,Wintergreen ,10,4850,128.20,35.10,Slow,Slow
1910,Donau ,7,4850,126.40,35.60,Fast,Fast
1911,Meridian ,7,4850,125.00,36.00,Fast,Fast
1912,Worth ,7,4850,129.40,34.78,Muddy,Slow
1913,Donerail ,8,5475,124.80,36.06,Fast,Fast
1914,Old Rosebud ,7,9125,123.40,36.47,Fast,Fast
1915,Regret ,16,11450,125.40,35.89,Fast,Fast
1916,George Smith ,9,9750,124.00,36.29,Fast,Fast
1917,*Omar Khayyam ,15,16600,124.60,36.12,Fast,Fast
1918,Exterminator ,8,14700,130.80,34.40,Muddy,Slow
1919,Sir Barton ,12,20825,129.80,34.67,Heavy,Slow
1920,Paul Jones ,17,30375,129.00,34.88,Slow,Slow
1921,Behave Yourself ,12,38450,124.20,36.23,Fast,Fast
1922,Morvich ,10,46775,124.60,36.12,Fast,Fast
1923,Zev ,21,53600,125.40,35.89,Fast,Fast
1924,Black Gold ,19,52775,125.20,35.94,Fast,Fast
1925,Flying Ebony ,20,52950,127.60,35.27,Sloppy,Slow
1926,Bubbling Over  ,13,50075,128.80,34.94,Fast,Fast
1927,Whiskery ,15,51000,126.00,35.71,Slow,Slow
1928,Reigh Count ,22,55375,130.40,34.51,Heavy,Slow
1929,Clyde Van Dusen ,21,53950,130.80,34.40,Muddy,Slow
1930,Gallant Fox ,15,50725,127.60,35.27,Good,Fast
1931,Twenty Grand ,12,48725,121.80,36.95,Fast,Fast
1932,Burgoo King ,20,52350,125.20,35.94,Fast,Fast
1933,Brokers Tip ,13,48925,126.80,35.49,Good,Fast
1934,Cavalcade ,13,28175,124.00,36.29,Fast,Fast
1935,Omaha ,18,39525,125.00,36.00,Good,Fast
1936,Bold Venture ,14,37725,123.60,36.41,Fast,Fast
