Subject,Gender,AFQT,Educ,Income2005
2,female,6.841,12,5500
6,male,99.393,16,65000
7,male,47.412,12,19000
8,female,44.022,14,36000
9,male,59.683,14,65000
13,male,72.313,16,8000
16,female,50.283,13,71000
17,male,89.669,13,43000
18,male,95.977,13,120000
20,female,67.021,17,64000
21,female,88.416,16,253043
22,female,89.167,16,45300
29,female,25.905,12,85000
34,male,6.069,13,150432
37,female,56.290,12,37000
38,female,12.788,12,70000
39,male,26.851,12,67000
41,male,57.095,15,120000
42,male,22.326,12,45000
44,female,37.061,12,7200
46,female,78.095,19,42000
47,male,75.473,12,66309
49,female,71.226,14,34000
57,female,30.830,12,12000
58,female,91.625,17,55500
61,female,99.150,14,63000
62,female,36.384,13,30000
63,male,87.934,16,108000
69,male,86.703,18,120000
73,male,81.527,18,186135
78,female,85.347,16,14657
86,female,7.198,9,14000
87,male,12.463,12,17000
89,female,84.980,16,62000
97,female,59.411,14,49000
105,female,81.787,12,40000
106,male,87.651,16,105000
107,male,65.347,16,43000
117,male,98.349,15,83000
119,male,27.671,16,12000
120,male,97.847,16,150000
121,female,92.618,17,41000
126,male,67.259,14,85000
129,male,92.817,16,80000
133,female,57.983,12,52000
137,female,87.283,16,175829
138,female,88.326,16,8000
139,male,79.832,15,120000
140,female,72.878,17,65000
141,female,85.861,18,44768
143,female,59.838,14,52000
145,male,62.607,12,10000
146,male,86.932,12,50000
147,female,22.466,14,12000
148,male,74.997,12,21800
149,female,39.973,12,95000
152,female,93.332,12,85000
156,male,4.975,11,14000
158,female,85.206,17,35100
160,female,77.440,14,65000
162,male,98.253,18,76000
165,female,46.506,12,50000
166,male,58.432,13,82000
174,female,47.279,13,48000
179,female,30.455,12,29000
184,female,59.078,16,6000
185,male,77.155,12,34000
186,female,81.515,18,65000
188,female,11.983,10,15000
190,female,73.636,18,92000
191,male,89.270,19,118000
192,female,80.480,16,26000
193,male,45.527,16,105000
195,male,87.917,18,348204
197,female,17.107,12,17000
198,male,64.239,18,130000
199,male,19.225,12,38000
200,female,27.551,12,35000
201,male,86.603,16,16000
202,male,73.184,14,55000
207,male,25.802,12,32000
210,male,59.040,16,50000
218,male,81.447,16,261763
219,female,60.012,20,102000
220,female,89.381,20,105000
228,female,2.739,9,1600
230,male,34.084,15,55000
232,male,55.780,14,45000
233,male,31.472,12,39000
234,male,35.461,12,140000
235,male,61.313,15,98000
236,female,71.673,13,30000
239,female,13.294,10,9000
240,female,50.483,12,38000
242,female,30.481,12,75000
243,male,62.957,12,94600
244,female,73.828,12,5000
245,female,81.929,14,25000
247,male,52.544,20,79000
248,male,8.261,14,2000
253,male,34.745,11,20000
256,female,56.308,13,3000
257,male,58.214,12,22000
259,male,56.348,12,14000
260,male,83.227,14,65000
269,male,83.698,16,154541
273,male,64.372,15,61500
274,male,88.343,13,45000
275,female,72.963,14,52000
279,male,59.272,12,64500
281,male,72.769,18,99000
282,female,85.400,16,14000
283,male,15.136,12,53000
284,male,44.708,12,90000
285,female,15.448,10,35000
290,female,11.136,10,19000
294,female,62.191,12,12000
299,male,12.439,11,25000
306,male,27.277,14,40000
310,male,18.491,12,70000
313,male,30.794,11,37000
317,male,78.739,16,31500
321,female,76.525,16,69000
323,male,65.825,12,80000
324,male,10.373,9,23000
327,female,88.257,16,28000
335,female,62.746,15,10000
341,female,46.696,14,125000
342,male,95.123,17,96000
346,male,43.221,16,120000
348,male,36.155,12,164307
350,male,47.180,17,100000
351,male,19.021,12,39000
354,female,65.997,12,9600
355,male,55.481,13,120000
356,male,41.794,11,50000
357,male,68.746,16,80000
358,male,28.374,16,110000
359,female,37.740,16,60000
360,female,80.272,19,34000
362,male,19.625,12,48000
367,female,76.624,16,58000
369,female,91.042,16,12000
370,female,89.893,16,20000
373,female,11.771,12,9000
375,male,11.374,12,17500
376,male,83.170,18,47000
377,male,32.899,12,10000
381,male,49.149,12,105000
385,female,39.687,12,41500
386,female,63.197,12,43000
388,female,78.241,15,70000
391,female,23.959,12,35000
392,male,93.142,12,60000
393,male,76.768,13,68000
399,female,66.314,18,62500
400,female,100.000,16,75000
401,female,24.833,12,11500
405,female,16.239,13,26000
408,male,85.102,12,68000
409,male,90.513,16,180733
410,male,68.615,12,31085
411,male,18.169,12,16000
414,female,73.351,14,21000
418,female,60.767,13,28000
422,male,99.379,19,55000
426,male,27.838,12,82000
433,male,1.622,12,21528
434,male,65.734,12,59000
437,female,71.472,12,22000
438,female,79.950,13,36000
439,female,75.485,16,77000
442,female,64.195,13,15000
443,male,97.365,14,47000
444,female,80.238,16,1500
445,male,93.639,16,40000
446,female,25.328,12,32000
449,female,47.638,12,14000
453,male,72.199,13,40300
456,male,48.986,18,50000
457,male,78.555,16,53000
458,female,86.548,18,65000
459,female,85.905,20,10000
460,female,31.254,13,21400
461,male,90.491,16,85000
464,male,79.330,14,78000
465,female,85.844,12,12000
467,female,95.508,16,20000
470,male,11.350,12,46000
479,male,76.189,16,86000
480,male,51.896,18,60000
481,male,93.653,19,388725
482,male,77.991,19,122000
484,male,13.303,12,30000
485,female,8.229,12,12000
486,male,50.498,12,196424
489,male,59.586,14,85000
491,female,13.761,12,20000
495,female,69.070,14,29821
496,female,92.866,16,25000
499,female,39.163,13,36000
500,female,64.295,14,53000
501,female,78.966,19,25000
502,male,71.792,12,90000
503,female,56.773,12,23000
505,male,26.498,12,28000
506,female,43.741,16,43000
520,male,26.381,16,73000
521,male,37.473,17,80000
527,female,61.184,13,50000
533,female,55.185,15,5000
535,male,33.208,12,20000
540,male,16.138,12,60000
543,male,21.108,12,98000
547,male,45.744,11,69000
548,female,72.071,12,15000
550,female,81.039,12,22000
553,male,99.154,16,10000
554,male,91.427,19,1100
556,male,86.423,18,147000
557,female,99.324,17,1200
558,female,83.317,17,36000
560,male,62.344,14,78500
561,female,76.633,20,42000
562,male,64.432,20,55000
564,male,33.668,14,5000
565,male,35.041,13,55000
583,male,73.326,13,36000
585,female,25.699,9,25000
594,male,53.342,12,80000
597,male,2.826,11,500
604,female,62.762,15,40000
606,male,72.782,13,35000
608,female,88.693,16,27000
609,female,45.803,16,32000
612,female,48.877,16,46136
613,male,35.747,12,95000
616,male,9.141,12,25000
622,female,52.674,15,36500
631,male,22.379,11,18000
632,female,1.310,12,4000
636,female,34.526,12,40000
639,male,60.396,12,35000
640,female,77.715,12,42000
645,male,86.137,16,163172
646,female,1.790,12,12500
647,male,43.472,12,61000
649,male,85.540,17,110000
650,female,77.736,16,58000
653,male,90.095,18,96000
659,male,39.786,14,75000
662,female,70.500,12,22000
663,male,76.234,16,85000
664,female,47.912,17,43000
665,female,59.991,16,30000
667,male,70.912,14,58000
669,male,79.232,12,29000
671,male,79.303,16,10000
674,male,2.926,12,50000
675,male,3.663,11,8400
679,male,8.563,12,20000
681,male,6.381,12,5000
683,female,45.808,18,52000
684,male,29.001,12,72000
686,male,79.313,18,57000
688,female,41.580,14,23000
692,female,36.055,13,45000
697,male,14.729,12,50000
701,male,10.566,9,9800
703,female,40.970,12,3000
704,female,46.092,13,56000
707,male,31.469,14,48000
709,male,26.594,12,41167
711,male,38.582,12,40000
712,female,80.637,13,41000
713,female,14.274,12,11000
714,male,26.688,11,20000
717,male,30.429,12,40000
719,male,6.818,12,48000
720,female,36.158,12,35000
721,female,24.725,13,22000
722,male,38.013,11,57500
723,female,26.792,12,25000
724,female,78.513,15,20000
725,male,97.319,20,74000
728,male,20.133,12,30000
730,male,70.604,15,100000
731,male,46.018,12,40000
732,male,51.017,12,35000
733,female,27.489,13,28820
745,female,31.508,12,41000
746,female,65.278,13,35500
747,male,70.368,12,50300
748,female,23.929,13,34000
751,male,28.746,16,55000
752,female,80.463,19,120000
755,female,54.906,12,37000
756,female,20.084,12,26000
757,female,31.118,14,35000
758,female,11.905,12,20000
761,female,55.614,15,25000
762,male,48.786,12,12000
763,male,34.180,12,23000
764,female,31.809,14,21000
769,male,34.236,12,3000
772,male,52.482,12,74000
774,male,53.534,14,35000
776,male,97.088,17,115000
777,male,79.850,16,85000
778,male,89.794,17,30000
779,female,60.353,14,26000
784,male,49.537,13,30000
789,female,42.361,12,15000
792,female,28.537,16,30000
793,male,61.347,16,30000
796,male,94.119,16,58000
797,male,68.375,12,72000
799,male,34.051,12,53000
800,male,32.078,14,54000
801,female,25.324,14,19327
802,male,17.362,12,30000
804,female,40.982,19,16000
806,male,13.465,12,35000
807,male,76.332,16,70000
810,female,91.719,16,115000
811,female,63.642,15,16000
812,female,86.990,16,10500
813,male,85.915,20,33000
814,female,19.541,12,16000
815,male,66.540,12,23400
816,female,39.343,16,29000
817,male,81.325,16,117000
818,male,35.569,13,85000
820,female,49.039,16,85000
821,female,99.180,18,34000
825,male,89.264,17,73000
827,male,92.042,20,169541
829,female,38.888,19,66000
832,male,38.997,12,20000
835,female,25.338,13,25000
839,female,4.208,15,30000
843,female,34.453,12,3000
847,male,22.976,16,67500
849,female,36.881,12,20000
850,male,82.620,13,85000
851,male,55.782,12,48000
854,female,50.954,12,22000
856,female,83.737,13,25000
859,male,23.250,12,46000
860,male,69.283,12,37500
861,female,49.173,12,29000
862,female,41.383,11,25000
863,male,38.088,12,125000
866,female,27.315,12,36000
872,male,71.872,16,176354
874,male,94.976,19,90000
875,female,25.657,12,40000
878,female,68.575,12,50000
879,female,79.765,20,52900
881,male,80.898,16,8000
882,male,64.498,16,42000
883,female,75.516,15,30000
884,female,98.089,18,52000
885,male,81.330,16,37000
888,male,21.826,12,50000
889,female,45.056,15,24000
890,male,82.756,19,183306
891,male,42.935,12,36000
896,female,98.804,16,15000
898,female,79.576,16,40000
899,male,83.208,15,31000
902,male,82.490,17,64320
906,female,93.511,19,90000
907,male,93.432,19,7000
908,male,82.465,16,37000
909,female,61.363,15,31330
912,female,91.404,16,34000
914,female,75.363,12,71500
915,female,92.122,14,57000
916,male,82.189,16,20000
920,male,86.877,16,120000
921,male,7.983,14,65000
922,male,55.885,12,90000
929,male,75.258,12,42000
932,female,26.769,12,30000
935,female,34.620,12,9800
936,female,58.404,15,15000
937,male,84.974,14,75000
938,male,21.712,12,38500
941,male,44.224,13,80000
942,female,55.978,12,43000
944,male,97.299,18,54000
945,male,51.523,16,37300
947,male,77.263,13,64000
949,female,64.067,12,70000
950,female,91.630,12,30000
951,male,52.109,12,72000
952,female,63.710,12,23600
955,male,45.546,12,40000
956,male,55.543,13,15000
958,male,41.439,12,35000
959,male,96.442,14,170247
960,male,88.979,15,150000
961,male,88.914,16,140000
962,female,67.250,14,45500
963,female,51.978,12,65000
964,female,28.308,12,48000
966,female,18.824,12,44000
967,female,17.834,12,56000
968,male,43.365,12,65000
969,female,44.379,12,31000
970,male,57.553,12,110000
971,female,53.275,12,3000
972,female,57.315,12,38000
973,male,65.073,12,42000
974,female,66.668,20,55000
976,female,62.466,18,51000
990,male,60.136,12,39000
996,male,30.891,12,60000
997,male,78.723,12,46000
999,female,67.602,16,27000
1003,male,61.145,16,70000
1004,female,27.973,14,56000
1007,male,47.450,12,125000
1011,male,34.339,12,45000
1013,male,91.199,14,25000
1019,female,100.000,17,29000
1020,female,98.236,17,84000
1029,female,26.365,12,17000
1034,female,12.727,7,23000
1038,female,64.065,14,24000
1039,female,71.230,15,44000
1042,male,28.954,12,26000
1043,male,3.732,12,16000
1044,male,4.871,12,25000
1046,male,70.337,19,63
1048,female,3.156,12,13000
1049,female,84.635,18,51000
1051,male,87.785,18,67000
1052,male,89.341,18,183467
1053,male,73.413,16,394058
1056,female,15.555,12,24000
1058,male,34.012,14,47000
1060,male,33.045,12,12000
1062,male,58.977,12,115000
1063,female,45.580,12,20518
1065,female,70.030,12,20160
1068,male,0.958,9,12000
1071,female,8.758,12,12649
1072,male,35.780,18,65000
1076,female,43.456,14,40000
1078,female,88.023,16,61000
1080,female,68.497,12,7500
1081,male,76.163,14,38262
1082,female,71.597,16,70000
1085,male,65.317,12,36000
1086,female,77.119,18,67500
1089,male,1.672,9,35000
1090,female,12.621,9,1300
1091,male,51.083,10,24000
1092,male,59.139,12,15000
1093,female,50.614,16,35000
1096,male,15.428,12,48000
1097,male,97.926,14,59000
1098,male,98.356,20,108000
1101,female,89.998,19,50000
1102,male,44.711,15,429
1104,female,55.829,15,90000
1105,female,65.903,18,61000
1106,female,87.203,16,35000
1111,female,44.401,12,44000
1114,female,31.751,12,50000
1116,female,31.890,14,30000
1118,female,22.955,12,80000
1122,male,99.147,16,37000
1130,female,50.405,12,5000
1134,male,65.998,11,53000
1138,male,58.192,16,58000
1139,female,72.569,16,60000
1141,female,17.614,12,30000
1143,male,83.528,16,180124
1144,male,79.836,16,248713
1147,female,58.247,12,6500
1148,male,2.509,11,31000
1153,male,4.843,10,2300
1155,female,25.334,14,52000
1156,male,39.245,12,25000
1157,female,70.820,16,63000
1158,female,27.018,14,31000
1159,female,45.679,15,30000
1160,female,34.867,14,20000
1163,female,20.274,14,25000
1166,female,42.776,13,20609
1169,male,53.364,12,130000
1176,male,62.064,16,77000
1179,female,74.366,12,35000
