Region,MetropolitanStatus,Exper,Educ,Race,WeeklyEarnings
South,NotMetropolitanArea,8,12,NotBlack,859.71
Midwest,MetropolitanArea,30,12,NotBlack,786.73
West,MetropolitanArea,31,14,NotBlack,1424.5
West,MetropolitanArea,17,16,NotBlack,959.16
West,MetropolitanArea,6,12,NotBlack,154.32
Midwest,MetropolitanArea,24,17,Black,282.19
Northeast,MetropolitanArea,14,12,NotBlack,444.44
Northeast,MetropolitanArea,28,12,NotBlack,451.09
South,MetropolitanArea,40,12,NotBlack,490.27
South,MetropolitanArea,7,16,NotBlack,493.83
Northeast,MetropolitanArea,3,15,NotBlack,427.35
Midwest,MetropolitanArea,5,12,NotBlack,379.87
Northeast,MetropolitanArea,17,17,NotBlack,1369.9
South,MetropolitanArea,24,12,NotBlack,227.92
Northeast,MetropolitanArea,11,16,NotBlack,712.25
West,MetropolitanArea,9,18,NotBlack,1187.08
Midwest,MetropolitanArea,0,16,NotBlack,427.35
South,MetropolitanArea,13,12,NotBlack,474.83
South,NotMetropolitanArea,10,12,NotBlack,385.8
Northeast,MetropolitanArea,8,12,NotBlack,522.32
Northeast,MetropolitanArea,42,12,NotBlack,493.83
Northeast,MetropolitanArea,24,14,NotBlack,864.2
South,MetropolitanArea,11,12,Black,394.01
Midwest,MetropolitanArea,9,15,NotBlack,427.35
Midwest,NotMetropolitanArea,43,12,NotBlack,213.68
South,NotMetropolitanArea,4,14,NotBlack,356.13
South,NotMetropolitanArea,15,14,NotBlack,356.13
Northeast,MetropolitanArea,40,18,NotBlack,1590.69
Midwest,MetropolitanArea,10,14,NotBlack,783.48
West,MetropolitanArea,43,10,NotBlack,897.87
South,NotMetropolitanArea,5,12,NotBlack,356.13
Northeast,MetropolitanArea,14,16,NotBlack,505.7
South,NotMetropolitanArea,4,16,NotBlack,593.54
Midwest,NotMetropolitanArea,12,12,NotBlack,688.51
Midwest,MetropolitanArea,3,13,NotBlack,356.13
Northeast,MetropolitanArea,2,16,Black,237.42
Northeast,MetropolitanArea,23,12,NotBlack,688.51
