Region,MetropolitanStatus,Age,EducationCategory,EducationCode,Race,WeeklyEarnings
West,Not Metropolitan,64,SomeCollegeButNoDegree,40,White,1418.84
Midwest,Metropolitan,51,AssocDegAcadem,42,White,1000
South,Metropolitan,25,NinthGrade,35,White,420
West,Not Metropolitan,46,MastersDegree,44,White,1980
Northeast,Metropolitan,31,BachelorsDegree,43,White,1750
Midwest,Metropolitan,45,SomeCollegeButNoDegree,40,White,1250
Northeast,Metropolitan,58,BachelorsDegree,43,White,2692.3
South,Metropolitan,44,TenthGrade,36,White,400
Midwest,Metropolitan,19,HighSchoolDiploma,39,White,660
Midwest,Metropolitan,38,SomeCollegeButNoDegree,40,White,300
South,Metropolitan,29,SomeCollegeButNoDegree,40,White,420
Midwest,Not Metropolitan,61,HighSchoolDiploma,39,White,960
South,Metropolitan,35,BachelorsDegree,43,White,692.3
Northeast,Not Metropolitan,45,SomeCollegeButNoDegree,40,White,2884.61
South,Metropolitan,33,BachelorsDegree,43,White,670
Midwest,Not Metropolitan,44,AssocDegOccupVocat,41,White,1333.33
South,Metropolitan,29,SomeCollegeButNoDegree,40,White,800
Midwest,Metropolitan,50,DoctorateDegree,46,White,2303.84
Northeast,Metropolitan,39,BachelorsDegree,43,White,2884.61
West,Metropolitan,45,TwelthButNoDiploma,38,White,847.6
South,Not Metropolitan,46,HighSchoolDiploma,39,White,1226
West,Metropolitan,34,SomeCollegeButNoDegree,40,White,500
South,Metropolitan,37,BachelorsDegree,43,White,865.38
Midwest,Metropolitan,23,BachelorsDegree,43,White,705
South,Metropolitan,59,BachelorsDegree,43,White,336
Northeast,Metropolitan,61,MastersDegree,44,White,700
South,Metropolitan,40,LessThanFirstGrade,31,White,161.53
South,Metropolitan,29,SomeCollegeButNoDegree,40,White,750
Midwest,Metropolitan,41,HighSchoolDiploma,39,White,1353.6
West,Not Metropolitan,60,HighSchoolDiploma,39,White,1269.23
Midwest,Not Metropolitan,58,MastersDegree,44,White,1846
Midwest,Metropolitan,32,SomeCollegeButNoDegree,40,White,646
South,Not Metropolitan,27,BachelorsDegree,43,White,653
West,Not Metropolitan,56,EleventhGrade,37,White,319
West,Metropolitan,26,SomeCollegeButNoDegree,40,White,376.25
South,Metropolitan,26,HighSchoolDiploma,39,White,800
