CommonName,Genus,Species,Group,BodyMass,ClutchVolume
Mallard,Anas ,platyrhynchos ,Mat,1.14E+00,5.42E+05
Greylag Goose,Anser ,anser,Mat,3.31E+00,7.97E+05
Mute Swan,Cygnus,olor ,Mat,1.07E+01,1.75E+06
Common Eider,Somateria ,mollissima ,Mat,2.07E+00,4.75E+05
Southern Screamer,Chauna ,torquata,BiP,4.40E+00,5.13E+05
Alpine Swift,Tachymarptis ,melba ,BiP,1.03E-01,1.24E+04
Crested Treeswift,Hemiprocne,coronata,BiP,2.90E-02,3.61E+03
Rufous Hummingbird,Selasphorus ,rufus,Mat,3.50E-03,9.21E+02
Eurasian Nightjar,Caprimulgus ,europaeus,BiP,6.70E-02,1.56E+04
Jungle Nightjar,Caprimulgus ,indicus ,BiP,9.18E-02,1.48E+04
Large-tailed Nightjar,Caprimulgus ,macrurus,BiP,6.62E-02,1.44E+04
Lesser Nighthawk,Chordeiles ,acutipennis ,Mat,4.85E-02,1.08E+04
Pennant-winged Nightjar,Macrodipteryx ,vexillarius,Mat,7.24E-02,9.64E+03
Common Potoo,Nyctibius ,griseus,BiP,1.73E-01,1.63E+04
Tawny Frogmouth,Podargus,strigoides,BiP,3.10E-01,5.11E+04
Oilbird,Steatornis,caripensis ,BiP,4.08E-01,5.95E+04
Southern Cassowary,Casuarius ,casuarius,Pat,4.51E+01,3.22E+06
Emu,Dromaius ,novaehollandiae ,Pat,3.42E+01,5.14E+06
Razorbill,Alca,torda,BiP,7.26E-01,8.22E+04
Dovekie,Alle ,alle ,BiP,1.81E-01,2.69E+04
Black Guillemot,Cepphus ,grylle ,BiP,3.78E-01,9.23E+04
Rhinocerous Auklet,Cerorhinca,monocerata,BiP,4.83E-01,7.55E+04
Atlantic Puffin,Fratercula ,arctica,Mat,6.52E-01,5.62E+04
Ancient Murrelet,Synthliboramphus,antiquus,BiP,2.07E-01,7.04E+04
Common Murre,Uria ,aalge,BiP,9.92E-01,1.01E+05
Eurasian Thick-knee,Burhinus ,oedicnemus ,BiP,4.59E-01,9.32E+04
Common Ringed Plover,Charadrius ,hiaticula ,BiP,6.41E-02,4.58E+04
Snowy Plover,Charadrius ,alexandrinus ,BiP,4.23E-02,2.76E+04
Eurasian Dotterel,Charadrius ,morinellus ,Pat,1.20E-01,5.89E+04
Eurasian Golden-Plover,Pluvialis,apricaria ,BiP,2.14E-01,1.16E+05
Northern Lapwing,Vanellus ,vanellus,BiP,2.19E-01,1.02E+05
Snowy Sheathbill,Chionis ,alba,BiP,6.77E-01,9.86E+04
Cream-colored Courser,Cursorius ,cursor,Mat,1.38E-01,2.19E+04
Collared Pratincole,Glareola,pratincola ,BiP,8.49E-02,2.78E+04
Egyptian Plover,Pluvianus,aegyptius,BiP,8.20E-02,2.22E+04
Double-banded Courser,Rhinoptilus,africanus ,BiP,8.75E-02,8.81E+03
Eurasian Oystercatcher,Haematopus,ostralegus,BiP,5.26E-01,1.61E+05
Ibisbill,Ibidorhyncha ,struthersii ,BiP,2.94E-01,1.35E+05
Pheasant-tailed Jacana,Hydrophasianus ,chirurgus,Pat,1.64E-01,5.79E+04
