Subject,Arith,Word,Parag,Math,AFQT,Income2005
2,8,15,6,6,6.841,5500
6,30,35,15,23,99.393,65000
7,14,27,8,11,47.412,19000
8,13,35,12,4,44.022,36000
9,21,28,10,13,59.683,65000
13,30,29,13,24,72.313,8000
16,17,30,12,17,50.283,71000
17,29,33,13,21,89.669,43000
18,30,35,14,23,95.977,120000
20,17,28,14,20,67.021,64000
21,29,33,13,25,88.416,253043
22,27,31,14,22,89.167,45300
29,12,9,11,9,25.905,85000
34,8,20,8,3,6.069,150432
37,21,31,13,12,56.29,37000
38,9,17,9,5,12.788,70000
39,16,23,10,8,26.851,67000
41,15,29,11,18,57.095,120000
42,12,17,7,8,22.326,45000
44,17,25,11,9,37.061,7200
46,14,28,15,21,78.095,42000
47,26,33,13,16,75.473,66309
49,26,28,14,14,71.226,34000
57,15,28,11,8,30.83,12000
58,26,35,15,18,91.625,55500
61,28,35,15,25,99.15,63000
62,12,25,10,10,36.384,30000
63,28,35,13,21,87.934,108000
69,27,29,13,21,86.703,120000
73,18,34,13,18,81.527,186135
78,25,35,14,21,85.347,14657
86,4,7,5,9,7.198,14000
87,9,5,5,8,12.463,17000
89,24,34,15,17,84.98,62000
97,17,33,14,15,59.411,49000
105,28,32,14,20,81.787,40000
106,30,35,12,23,87.651,105000
107,19,31,11,16,65.347,43000
117,29,35,15,22,98.349,83000
119,7,31,13,7,27.671,12000
120,30,34,13,25,97.847,150000
121,21,34,14,23,92.618,41000
126,25,30,14,16,67.259,85000
129,28,33,14,23,92.817,80000
133,14,26,13,13,57.983,52000
137,28,31,13,24,87.283,175829
138,24,30,14,23,88.326,8000
139,24,31,14,11,79.832,120000
140,19,34,14,18,72.878,65000
141,21,34,14,21,85.861,44768
143,20,33,11,15,59.838,52000
145,16,31,12,13,62.607,10000
146,29,32,12,21,86.932,50000
147,10,23,10,9,22.466,12000
148,24,30,13,14,74.997,21800
149,14,22,10,10,39.973,95000
152,30,33,14,22,93.332,85000
156,11,13,2,5,4.975,14000
158,22,35,14,22,85.206,35100
160,28,31,13,19,77.44,65000
162,29,35,14,24,98.253,76000
165,16,25,13,12,46.506,50000
166,21,28,11,16,58.432,82000
174,17,29,12,17,47.279,48000
179,16,28,10,11,30.455,29000
184,21,28,13,16,59.078,6000
185,15,28,13,12,77.155,34000
186,25,31,15,18,81.515,65000
188,7,22,11,4,11.983,15000
190,20,31,13,21,73.636,92000
191,19,31,15,20,89.27,118000
192,20,31,12,22,80.48,26000
193,19,29,11,21,45.527,105000
195,28,33,14,22,87.917,348204
197,11,16,6,9,17.107,17000
198,23,27,9,21,64.239,130000
199,6,27,7,10,19.225,38000
200,12,17,13,10,27.551,35000
201,29,35,13,23,86.603,16000
202,25,31,12,20,73.184,55000
207,17,12,5,9,25.802,32000
210,16,25,12,20,59.04,50000
218,28,34,13,24,81.447,261763
219,22,28,13,16,60.012,102000
220,27,31,14,25,89.381,105000
228,10,7,3,5,2.739,1600
230,9,25,11,10,34.084,55000
232,15,32,12,15,55.78,45000
233,13,18,6,11,31.472,39000
234,16,18,12,9,35.461,140000
235,22,26,10,22,61.313,98000
236,18,30,14,17,71.673,30000
239,6,14,4,12,13.294,9000
240,18,29,9,12,50.483,38000
242,10,27,10,12,30.481,75000
243,26,32,11,18,62.957,94600
244,24,34,14,17,73.828,5000
245,29,30,13,23,81.929,25000
247,24,30,11,18,52.544,79000
248,8,19,7,5,8.261,2000
253,15,23,3,10,34.745,20000
256,17,27,14,12,56.308,3000
257,16,24,12,12,58.214,22000
259,26,30,12,16,56.348,14000
260,26,34,12,24,83.227,65000
269,26,32,14,23,83.698,154541
273,23,33,10,18,64.372,61500
274,29,32,14,19,88.343,45000
275,21,30,13,15,72.963,52000
279,14,34,11,11,59.272,64500
281,29,29,11,23,72.769,99000
282,25,27,14,24,85.4,14000
283,11,24,8,6,15.136,53000
284,16,30,12,9,44.708,90000
285,7,13,9,10,15.448,35000
290,9,11,7,6,11.136,19000
294,12,33,14,12,62.191,12000
299,8,18,7,4,12.439,25000
306,11,20,13,7,27.277,40000
310,18,19,5,5,18.491,70000
313,12,26,8,8,30.794,37000
317,25,35,12,21,78.739,31500
321,24,32,14,21,76.525,69000
323,24,25,13,21,65.825,80000
324,11,11,4,7,10.373,23000
327,28,35,13,22,88.257,28000
335,20,27,14,18,62.746,10000
341,15,32,12,14,46.696,125000
342,29,34,14,24,95.123,96000
346,15,25,12,10,43.221,120000
348,20,29,11,15,36.155,164307
350,15,25,12,16,47.18,100000
351,9,26,8,7,19.021,39000
354,23,34,12,15,65.997,9600
355,16,27,10,13,55.481,120000
356,17,30,11,7,41.794,50000
357,14,34,14,13,68.746,80000
358,14,25,11,8,28.374,110000
359,9,26,13,8,37.74,60000
360,27,30,14,25,80.272,34000
362,16,23,6,9,19.625,48000
367,25,33,13,20,76.624,58000
369,29,33,14,24,91.042,12000
370,28,35,13,22,89.893,20000
373,9,21,10,5,11.771,9000
375,13,10,7,7,11.374,17500
376,30,32,14,12,83.17,47000
377,15,32,6,7,32.899,10000
381,24,28,11,14,49.149,105000
385,12,28,10,10,39.687,41500
386,12,33,13,12,63.197,43000
388,20,35,13,15,78.241,70000
391,9,24,5,9,23.959,35000
392,29,33,15,20,93.142,60000
393,27,31,9,24,76.768,68000
399,25,31,14,18,66.314,62500
400,29,35,15,25,100,75000
401,12,21,11,7,24.833,11500
405,9,23,10,6,16.239,26000
408,30,32,15,13,85.102,68000
409,27,35,14,22,90.513,180733
410,19,34,12,14,68.615,31085
411,10,20,7,7,18.169,16000
414,18,32,11,19,73.351,21000
418,20,26,12,10,60.767,28000
422,30,35,14,25,99.379,55000
426,16,30,8,7,27.838,82000
433,4,11,7,3,1.622,21528
434,16,29,14,11,65.734,59000
437,19,29,15,17,71.472,22000
438,28,29,12,22,79.95,36000
439,24,31,14,20,75.485,77000
442,13,32,14,15,64.195,15000
443,30,34,14,23,97.365,47000
444,17,33,15,18,80.238,1500
445,20,32,14,21,93.639,40000
446,11,25,11,8,25.328,32000
449,19,30,13,9,47.638,14000
