City,Mort,Precip,Educ,NonWhite,NOX,SO2
"San Jose, CA",790.73,13,12.2,3.0,32,3
"Wichita, KS",823.76,28,12.1,7.5,2,1
"San Diego, CA",839.71,10,12.1,5.9,66,20
"Lancaster, PA",844.05,43,9.5,2.9,7,32
"Minneapolis, MN",857.62,25,12.1,2.0,11,26
"Dallas, TX",860.10,35,11.8,14.8,1,1
"Miami, FL",861.44,60,11.5,13.5,1,1
"Los Angeles, CA",861.83,11,12.1,7.8,319,130
"Grand Rapids, MI",871.34,31,10.9,5.1,3,10
"Denver, CO",871.77,15,12.2,4.7,8,28
"Rochester, NY",874.28,32,11.1,5.0,4,18
"Hartford, CT",887.47,43,11.5,7.2,3,10
"Fort Worth, TX",891.71,31,11.4,11.5,1,1
"Portland, OR",893.99,37,12.0,3.6,21,44
"Worcester, MA",895.70,45,11.1,1.0,3,8
"Seattle, WA",899.26,35,12.2,5.7,7,20
"Bridgeport, CT",899.53,45,10.6,5.3,4,4
"Springfield, MA",904.16,45,11.1,3.4,4,20
"San Francisco, CA",911.70,18,12.2,13.7,171,86
"York, PA",911.82,42,9.0,4.8,8,49
"Utica, NY",912.20,40,10.3,2.5,2,11
"Canton, OH",912.35,36,10.7,6.7,7,20
"Kansas City, MO",919.73,35,12.0,12.6,4,4
"Akron, OH",921.87,36,11.4,8.8,15,59
"New Haven, CT",923.23,46,11.3,8.8,3,8
"Milwaukee, WI",929.15,30,11.1,5.8,23,125
"Boston, MA",934.70,43,12.1,3.5,32,62
"Dayton, OH",936.23,36,11.4,12.4,4,16
"Providence, RI",938.50,42,10.1,2.2,4,18
"Flint, MI",941.18,30,10.8,13.1,4,11
"Reading, PA",946.18,41,9.6,2.7,11,89
"Syracuse, NY",950.67,38,11.4,3.8,5,25
"Houston, TX",952.53,46,11.4,21.0,5,1
"Saint Louis, MO",953.56,34,9.7,17.2,15,68
"Youngstown, OH",954.44,38,10.7,11.7,13,39
"Columbus, OH",958.84,37,11.9,13.1,9,15
"Detroit, MI",959.22,31,10.8,15.8,35,124
"Nashville, TN",961.01,45,10.1,21.0,14,78
"Allentown, PA",962.35,44,9.8,0.8,6,33
"Washington, DC",967.80,41,12.3,25.9,28,102
"Indianapolis, IN",968.66,39,11.4,15.6,7,33
"Cincinnati, OH",970.47,40,10.2,13.0,26,146
"Greeensboro, NC",971.12,42,10.4,22.7,3,5
"Toledo, OH",972.46,31,10.7,9.5,7,25
"Atlanta, GA",982.29,47,11.1,27.1,8,24
"Cleveland, OH",985.95,35,11.1,14.7,21,64
"Louisville, KY",989.27,30,9.9,13.1,37,193
"Pittsburgh, PA",991.29,36,10.6,8.1,59,263
"New York, NY",994.65,42,10.7,11.3,26,108
"Albany, NY",997.88,35,11.0,3.5,10,39
"Buffalo, NY",1001.90,36,10.5,8.1,12,37
"Wilmington, DE",1003.50,45,11.3,12.1,11,42
"Memphis, TN",1006.49,50,10.4,36.7,18,34
"Philadelphia, PA",1015.02,42,10.5,17.5,32,161
"Chattanooga, TN",1017.61,52,9.6,22.2,8,27
"Chicago, IL",1024.89,33,10.9,16.3,63,278
"Richmond, VA",1025.50,44,11.0,28.6,9,48
"Birmingham, AL",1030.38,53,10.2,38.5,32,72
"Baltimore, MD",1071.29,43,9.6,24.4,38,206
"New Orleans, LA",1113.06,54,9.7,31.4,17,1
