Species,BodyMass,MaxDist,Type
Didelphis virginianus,2.415,5.15,O
Phascogale tapotafa,0.172,6.80,C
Trichosurus vulpecula,2.930,12.80,C
Sorex araneus,0.004,0.87,C
Scapanus townsendii,0.148,0.86,O
Ursus americanus,104.450,225.00,O
Ursus arctos,331.000,134.00,O
Procyon lotor,7.800,265.50,O
Martes americana,1.040,61.00,C
Martes pennanti,2.900,23.00,C
Mustela erminea,0.067,5.60,C
Mustela vison,1.169,45.10,C
Lutra canadensis,9.070,42.00,C
Gulo gulo,14.400,300.00,C
Taxidea taxus,6.975,110.00,C
Meles meles,10.850,8.30,O
Mephitis mephitis,2.909,8.30,O
Canis latrans,14.060,232.20,C
Canis lupus,41.380,432.00,C
Vulpes vulpes,5.200,394.00,C
Urocyon cinereoargenteus,4.000,83.68,C
Felis concolor,53.050,274.00,C
Lynx lynx,10.149,9.70,C
Lynx rufus,8.900,182.00,C
Castor canadensis,24.300,40.60,H
Marmota flaviventris,5.448,1.40,H
Marmota monax,3.499,0.77,H
Spermophilus richardsonii,0.405,0.98,H
Spermophilus beecheyi,0.475,1.44,H
Spermophilus beldingi,0.400,0.33,H
Spermophilus leucopus,0.192,0.52,H
Spermophilus tridecemliniatus,0.140,0.24,H
Sciurus niger,0.790,3.37,H
Tamiasciurus hudsonicus,0.202,0.60,H
Thomomys bottae,0.150,0.30,C
Perognathus formosa,0.023,0.85,H
Dipodomys merriami,0.043,0.25,H
Dipodomys microps,0.065,0.43,H
Dipodomys spectabilis,0.115,2.00,H
Neotoma cinerea,0.360,2.20,H
Clethrionomys glareolus,0.023,0.40,H
Onychomys torridus,26.800,0.33,H
Microtus agrestis,0.023,0.19,H
Microtus arvalis,0.022,0.20,H
Microtus ochrogaster,0.031,0.14,H
Microtus oeconomus,0.032,1.00,H
Microtus pennsylvanicus,0.040,0.25,H
Microtus townsendi,0.032,0.07,H
Microtus xanthognathus,135.000,0.30,H
Peromyscus californicus,0.018,0.79,H
Peromyscus longicaudus,0.008,0.24,H
Peromyscus maniculatus,0.015,1.01,O
Apodemus sylvaticus,0.020,0.50,H
Ondatra zibethicus,1.048,3.37,H
Lepus americanus,1.430,20.10,H
Lepus europea,4.500,9.00,H
Lepus timidus,2.750,200.00,H
Lepus californicus,2.200,45.00,H
Sylvilagus bachmani,0.841,0.35,H
Sylvilagus floridanus,1.150,3.90,H
Odocoileus hemionus columbianus,64.638,15.20,H
Odocoileus hemionus hemionus,67.125,8.22,H
Alces alces,481.830,118.00,H
Cervus canadensis,270.000,18.50,H
