Species,Weight,Ingestion,Organic,Bivalve
Hydrobia neglecta,0.2,0.57,18,no
Hydrobia ventrosa,0.2,0.86,17,no
Tubifex tubifex,0.27,0.43,29.7,no
Hyalella azteca,0.32,0.43,50,no
Potamopyrgus jenkinsi,0.46,2.7,14.4,no
Hydrobia ulvae,0.9,0.67,13,no
Nereis succinea,5.8,20.2,6.8,no
Pteronarcys scotti,8.4,1.49,93,no
Orchestia grillus,12.4,4.4,88,no
Arenicola grubii,20.4,240,2.2,no
Thoracophelia mucronata,40,230,1,no
Ilyoplax pusilla,53,300,4.2,no
Uca pugnax,63.3,19.9,51,no
Scopimera globosa,65,50,23.6,no
Pectinaria gouldii,80,1667,0.7,no
Abarenicola pacifica,380,3400,1.2,no
Abarenicola claparedi,380,9400,0.4,no
Arenicola marina,930,4700,0.64,no
Macrophthalmus japonicus,2050,4680,2.1,no
Macoma balthica (bivalve),5.1,4.49,20,yes
Portlandia arctica (bivalve),19.9,3.54,8.8,yes
Scrobicularia plana (bivalve),380,43,3.4,yes
