CITY,Mortality,Precip,Humidity,JanTemp,JulyTemp,Over65,House,Educ,Sound,Density,NonWhite,WhiteCol,Poor,HC,NOX,SO2
"San Jose, CA",790.73,13,71,49,68,7.0,3.36,12.2,90.7,2702,3.0,51.9,9.7,105,32,3
"Wichita, KS",823.76,28,54,32,81,7.0,3.27,12.1,81.0,3665,7.5,51.6,13.2,4,2,1
"San Diego, CA",839.71,10,61,55,70,7.3,3.11,12.1,88.9,3033,5.9,51.0,14.0,144,66,20
"Lancaster, PA",844.05,43,54,32,74,10.1,3.38,9.5,79.2,3214,2.9,43.7,12.0,11,7,32
"Minneapolis, MN",857.62,25,58,12,73,9.2,3.28,12.1,83.1,2095,2.0,51.9,9.8,20,11,26
"Dallas, TX",860.10,35,54,46,85,7.1,3.22,11.8,79.9,1441,14.8,51.2,16.1,1,1,1
"Miami, FL",861.44,60,60,67,82,10.0,2.98,11.5,88.6,4657,13.5,47.3,22.4,3,1,1
"Los Angeles, CA",861.83,11,47,53,68,9.2,2.99,12.1,90.6,4700,7.8,48.9,12.3,648,319,130
"Grand Rapids, MI",871.34,31,61,24,72,9.0,3.37,10.9,82.8,3226,5.1,45.2,12.3,5,3,10
"Denver, CO",871.77,15,38,30,73,8.2,3.15,12.2,84.2,4824,4.7,53.1,12.7,17,8,28
"Rochester, NY",874.28,32,60,25,72,10.9,3.21,11.1,82.5,4355,5.0,46.4,10.8,7,4,18
"Hartford, CT",887.47,43,56,27,72,9.0,3.25,11.5,87.1,2909,7.2,51.6,9.5,7,3,10
"Fort Worth, TX",891.71,31,53,45,85,7.3,3.22,11.4,80.7,1844,11.5,48.1,18.5,1,1,1
"Portland, OR",893.99,37,73,38,67,11.3,2.99,12.0,81.5,3387,3.6,50.3,13.5,56,21,44
"Worcester, MA",895.70,45,56,24,70,11.8,3.25,11.1,79.8,3678,1.0,44.8,14.0,7,3,8
"Seattle, WA",899.26,35,72,40,64,9.6,3.02,12.2,82.5,3626,5.7,54.3,10.1,20,7,20
"Bridgeport, CT",899.53,45,56,30,73,9.3,3.29,10.6,86.0,2140,5.3,40.4,10.5,6,4,4
"Springfield, MA",904.16,45,56,28,74,10.6,3.21,11.1,82.6,1883,3.4,41.9,12.3,5,4,20
"San Francisco, CA",911.70,18,71,48,63,9.2,2.92,12.2,87.7,4253,13.7,51.2,12.0,311,171,86
"York, PA",911.82,42,54,33,76,9.7,3.22,9.0,76.2,9699,4.8,42.2,14.5,8,8,49
"Utica, NY",912.20,40,60,23,71,11.3,3.28,10.3,73.8,1671,2.5,47.4,13.5,5,2,11
"Canton, OH",912.35,36,59,27,72,9.5,3.36,10.7,79.3,4213,6.7,41.0,13.2,12,7,20
"Kansas City, MO",919.73,35,55,31,81,9.2,3.10,12.0,78.3,3262,12.6,48.6,13.9,7,4,4
"Akron, OH",921.87,36,59,27,71,8.1,3.34,11.4,81.5,3243,8.8,42.6,11.7,21,15,59
"New Haven, CT",923.23,46,58,30,72,10.2,3.16,11.3,83.2,3327,8.8,45.3,12.2,4,3,8
"Milwaukee, WI",929.15,30,64,20,69,8.8,3.26,11.1,85.4,2934,5.8,44.0,9.4,33,23,125
"Boston, MA",934.70,43,56,30,74,10.9,3.23,12.1,83.9,4679,3.5,49.2,11.3,21,32,62
"Dayton, OH",936.23,36,58,30,75,7.5,3.35,11.4,81.9,4029,12.4,44.0,12.0,6,4,16
"Providence, RI",938.50,42,56,29,72,10.7,3.19,10.1,79.5,3508,2.2,38.8,15.7,6,4,18
"Flint, MI",941.18,30,61,24,72,6.5,3.53,10.8,79.5,3694,13.1,33.8,12.4,11,4,11
"Reading, PA",946.18,41,54,33,77,11.2,3.08,9.6,79.9,4843,2.7,38.6,14.1,11,11,89
"Syracuse, NY",950.67,38,61,24,72,9.8,3.34,11.4,78.0,4923,3.8,50.5,11.1,8,5,25
"Houston, TX",952.53,46,59,55,84,5.6,3.35,11.4,79.7,2647,21.0,46.9,17.9,6,5,1
"Saint Louis, MO",953.56,34,57,32,79,9.3,3.23,9.7,76.8,5160,17.2,45.1,15.3,31,15,68
"Youngstown, OH",954.44,38,58,28,72,8.9,3.48,10.7,79.8,3451,11.7,37.5,13.0,14,13,39
"Columbus, OH",958.84,37,58,31,75,8.0,3.26,11.9,78.4,4259,13.1,49.6,13.9,23,9,15
"Detroit, MI",959.22,31,59,27,74,7.2,3.44,10.8,87.0,4834,15.8,43.5,13.6,52,35,124
"Nashville, TN",961.01,45,56,40,80,8.3,3.32,10.1,70.3,2682,21.0,46.1,24.1,17,14,78
"Allentown, PA",962.35,44,54,29,74,10.4,3.21,9.8,81.6,4260,0.8,39.4,12.4,6,6,33
"Washington, DC",967.80,41,52,37,78,6.2,3.25,12.3,89.5,5308,25.9,59.7,10.3,65,28,102
"Indianapolis, IN",968.66,39,60,29,75,8.7,3.23,11.4,78.6,4412,15.6,46.6,13.2,13,7,33
"Cincinnati, OH",970.47,40,57,34,77,9.2,3.21,10.2,77.0,4101,13.0,45.7,15.1,26,26,146
"Greeensboro, NC",971.12,42,53,40,77,6.1,3.45,10.4,71.8,2269,22.7,41.4,19.5,8,3,5
"Toledo, OH",972.46,31,59,26,73,9.3,3.22,10.7,81.3,3249,9.5,43.9,13.6,11,7,25
"Atlanta, GA",982.29,47,56,45,79,6.5,3.41,11.1,77.5,3125,27.1,50.2,20.6,18,8,24
"Cleveland, OH",985.95,35,60,28,71,8.8,3.29,11.1,86.3,3042,14.7,44.6,11.4,31,21,64
"Louisville, KY",989.27,30,57,35,71,8.3,3.37,9.9,77.4,4474,13.1,42.6,17.7,38,37,193
"Pittsburgh, PA",991.29,36,56,29,72,9.5,3.32,10.6,77.6,3437,8.1,45.5,13.8,45,59,263
"New York, NY",994.65,42,58,33,77,9.7,3.03,10.7,83.5,7462,11.3,48.7,12.4,41,26,108
"Albany, NY",997.88,35,57,23,72,11.1,3.14,11.0,78.8,4281,3.5,50.7,14.4,8,10,39
"Buffalo, NY",1001.90,36,61,24,70,9.0,3.31,10.5,83.2,6582,8.1,42.5,12.6,18,12,37
"Wilmington, DE",1003.50,45,56,33,76,7.7,3.39,11.3,82.2,3152,12.1,47.3,10.9,14,11,42
"Memphis, TN",1006.49,50,59,42,82,7.3,3.49,10.4,72.5,3497,36.7,43.3,26.4,15,18,34
"Philadelphia, PA",1015.02,42,54,32,76,9.1,3.32,10.5,87.5,6092,17.5,45.3,13.2,29,32,161
"Chattanooga, TN",1017.61,52,56,42,79,7.7,3.39,9.6,69.2,2302,22.2,41.3,24.2,18,8,27
"Chicago, IL",1024.89,33,58,26,76,8.6,3.20,10.9,83.4,6122,16.3,44.9,10.7,88,63,278
"Richmond, VA",1025.50,44,53,39,78,8.2,3.32,11.0,79.9,3768,28.6,49.5,17.5,12,9,48
"Birmingham, AL",1030.38,53,54,45,80,7.7,3.45,10.2,66.8,3235,38.5,43.1,25.5,30,32,72
"Baltimore, MD",1071.29,43,55,35,77,7.6,3.44,9.6,84.6,6441,24.4,43.7,14.3,43,38,206
