Year,Region,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total,Rating,Score
1970,baja,0.27,0.00,0.00,0.00,0.00,0.04,0.12,0.43,POOR,0
1971,baja,1.35,0.00,0.00,0.12,0.00,0.04,0.00,1.51,POOR,0
1972,baja,0.00,0.01,0.01,0.04,0.00,0.00,0.00,0.06,POOR,0
1974,baja,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.04,POOR,0
1975,baja,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.04,POOR,0
1976,baja,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,POOR,0
1977,baja,0.55,0.00,0.40,0.00,0.26,0.26,0.37,1.84,POOR,0
1978,baja,0.00,2.55,0.00,0.49,0.27,0.87,0.05,4.23,GOOD,2
1979,baja,0.04,0.40,1.02,0.95,0.86,0.20,0.08,3.55,GOOD,2
1980,baja,0.02,0.00,0.00,0.04,0.12,0.40,0.00,0.58,POOR,0
1981,baja,0.00,0.00,0.00,0.00,0.96,0.00,0.45,1.41,POOR,0
1982,baja,0.04,0.00,0.08,0.00,0.00,0.00,0.00,0.12,POOR,0
1983,baja,0.96,0.00,0.08,1.60,0.17,0.53,1.07,4.41,GOOD,2
1984,baja,1.35,4.02,0.25,0.44,0.52,0.00,0.00,6.58,GREAT,3
1985,baja,1.61,0.00,0.72,1.85,1.05,0.17,0.04,5.44,GREAT,3
1986,baja,0.00,0.16,0.57,0.00,0.04,0.06,0.08,0.91,POOR,0
1988,baja,0.00,0.76,0.00,0.80,0.45,0.04,0.21,2.26,FAIR,1
1989,baja,0.00,0.52,0.00,0.30,0.63,0.00,0.00,1.45,POOR,0
1998,baja,5.50,0.00,0.00,3.00,0.00,2.50,0.00,11.00,GREAT,3
1964,colorado,0.06,2.47,0.91,0.00,0.00,0.14,0.00,3.58,GOOD,2
1965,colorado,0.00,0.24,0.22,0.09,0.56,0.38,0.04,1.53,POOR,0
1966,colorado,0.00,0.00,0.58,1.67,0.41,0.17,0.06,2.89,POOR,0
1967,colorado,0.04,0.03,0.00,0.02,0.25,0.00,0.07,0.41,POOR,0
1968,colorado,1.97,0.00,1.45,0.65,0.00,0.27,0.33,4.67,GOOD,2
1969,colorado,0.00,0.00,0.00,0.06,0.00,0.56,0.82,1.44,POOR,0
1970,colorado,0.23,0.01,1.66,0.67,0.00,0.56,0.82,3.95,FAIR,1
1972,colorado,1.27,0.00,0.00,0.15,0.00,0.00,0.00,1.42,POOR,0
1973,colorado,0.00,2.49,0.19,0.06,0.03,0.50,0.95,4.22,GOOD,2
1974,colorado,0.00,0.00,0.05,0.00,0.64,0.00,0.12,0.81,POOR,0
1975,colorado,0.10,0.13,0.00,0.14,0.00,0.01,0.21,0.59,POOR,0
1976,colorado,0.15,0.00,0.03,0.44,0.03,1.22,0.02,1.89,POOR,0
1977,colorado,0.31,0.35,0.39,0.64,0.03,0.01,0.04,1.77,POOR,0
1978,colorado,0.46,0.24,0.00,0.58,1.38,0.78,0.18,3.62,SPECTACULAR,4
1979,colorado,0.00,0.58,0.37,0.70,2.12,0.02,0.17,3.96,GOOD,2
1980,colorado,0.00,0.00,0.00,0.08,0.54,0.73,0.39,1.74,POOR,0
1981,colorado,0.00,0.00,0.00,0.09,0.20,0.10,0.69,1.08,POOR,0
1982,colorado,0.04,0.00,0.11,0.00,0.27,0.14,1.18,1.74,POOR,0
1983,colorado,0.16,0.00,0.46,2.09,0.52,0.54,0.19,3.96,GOOD,2
1984,colorado,0.23,0.21,0.00,0.95,0.14,0.00,0.00,1.53,POOR,0
1985,colorado,0.21,0.00,0.53,1.57,0.07,0.14,0.04,2.56,FAIR,1
1986,colorado,1.23,0.40,0.53,0.19,0.07,0.28,0.14,2.84,FAIR,1
1987,colorado,0.35,0.01,0.11,0.23,0.08,0.32,0.00,0.10,POOR,0
1988,colorado,0.04,1.62,0.27,0.62,0.34,0.03,0.03,2.95,FAIR,1
1989,colorado,0.00,0.44,0.00,0.00,0.60,0.00,0.13,1.17,POOR,0
