County,Buchanan2000,Gore2000,Bush2000,Nader2000,Browne2000,Total2000,Clinton96,Dole96,Perot96,Buchanan96p,ReformReg,TotalReg
Alachua,262,"47,300","34,062","3,215",658,"85,235","40,144","25,303","8,072","2,151",91,"120,867"
Baker,73,"2,392","5,610",53,17,"8,072","2,273","3,684",667,73,4,"12,352"
Bay,248,"18,850","38,637",828,171,"58,486","17,020","28,290","5,922","1,816",55,"92,749"
Bradford,65,"3,072","5,413",84,28,"8,597","3,356","4,038",819,155,3,"13,547"
Brevard,570,"97,318","115,185","4,470",643,"217,616","80,416","87,980","25,249","7,927",148,"283,680"
Broward,789,"386,518","177,279","7,099","1,212","572,108","320,736","142,834","38,964","10,966",332,"887,764"
Calhoun,90,"2,155","2,873",39,10,"5,077","1,794","1,717",630,41,2,"7,234"
Charlotte,182,"29,641","35,419","1,461",127,"66,648","27,121","27,836","7,783","2,982",41,"98,898"
Citrus,270,"25,501","29,744","1,378",194,"56,817","22,042","20,114","7,244","2,293",44,"81,378"
Clay,186,"14,630","41,745",562,204,"57,141","13,246","30,332","3,281","2,351",40,"86,861"
Collier,122,"29,905","60,426","1,400",185,"91,916","23,182","42,590","6,320","2,722",118,"123,572"
Columbia,89,"7,047","10,964",258,127,"18,396","6,691","7,588","1,970",657,35,"31,131"
Dade,561,"328,702","289,456","5,355",759,"624,272","317,378","209,634","24,722","6,349",217,"896,912"
De Soto,36,"3,322","4,256",157,23,"7,758","3,219","3,272",965,189,7,"15,731"
Dixie,29,"1,825","2,698",75,32,"4,630","1,731","1,398",652,55,0,"10,511"
Duval,650,"107,680","152,082","2,752",954,"263,468","112,258","126,857","13,844","7,051",150,"423,967"
Escambia,504,"40,958","73,029","1,729",297,"116,013","37,768","60,839","8,587","4,977",130,"171,004"
Flagler,83,"13,891","12,608",435,60,"26,994","9,583","8,232","2,185",629,30,"33,466"
Franklin,33,"2,042","2,448",85,17,"4,592","2,095","1,563",878,32,0,"7,578"
Gadsden,39,"9,565","4,750",139,24,"14,478","9,405","3,813",938,138,11,"26,253"
Gilchrist,29,"1,910","3,300",97,52,"5,359","1,985","1,939",841,106,6,"6,878"
Glades,9,"1,420","1,840",56,12,"3,328","1,530","1,361",521,58,2,"6,326"
Gulf,71,"2,389","3,546",86,21,"6,042","2,480","2,424","1,054",105,3,"9,923"
Hamilton,24,"1,718","2,153",39,11,"3,921","1,734","1,518",406,37,3,"6,939"
Hardee,30,"2,341","3,764",75,17,"6,197","2,417","2,926",851,97,4,"10,886"
Hendry,22,"3,239","4,743",103,11,"8,096","3,882","3,855","1,135",183,10,"16,268"
