Subject,Imagazine,Inewspaper,Ilibrary,MotherEd,FatherEd,FamilyIncome78,Race,Gender,Educ,Science,Arith,Word,Parag,Numer,Coding,Auto,Math,Mechanic,Elec,AFQT,Income2005,Esteem1,Esteem2,Esteem3,Esteem4,Esteem5,Esteem6,Esteem7,Esteem8,Esteem9,Esteem10
2,1,1,1,5,8,20000,3,female,12,6,8,15,6,29,52,9,6,10,5,6.841,5500,1,1,4,1,3,3,1,3,3,3
6,0,1,1,12,12,35000,3,male,16,23,30,35,15,45,68,21,23,21,19,99.393,65000,2,1,4,2,4,2,2,4,3,4
7,1,1,1,12,12,8502,3,male,12,14,14,27,8,32,35,13,11,9,11,47.412,19000,2,1,3,2,3,2,2,2,3,3
8,1,1,1,9,6,7227,3,female,14,18,13,35,12,24,48,11,4,12,12,44.022,36000,1,1,3,2,3,2,3,3,3,3
9,1,1,1,12,10,17000,3,male,14,17,21,28,10,40,46,13,13,13,15,59.683,65000,1,1,4,1,1,1,1,4,4,4
13,1,1,1,12,16,20000,3,male,16,16,30,29,13,36,30,21,24,19,16,72.313,8000,1,1,4,1,4,1,1,4,4,4
16,1,1,1,12,12,48000,3,female,13,13,17,30,12,49,58,11,17,11,10,50.283,71000,2,2,3,2,3,2,3,3,3,3
17,1,1,1,12,15,15000,3,male,13,19,29,33,13,35,58,18,21,19,16,89.669,43000,2,2,3,2,3,2,2,3,3,3
18,1,1,1,12,16,4510,3,male,13,22,30,35,14,48,61,21,23,16,17,95.977,120000,2,2,3,2,3,2,2,3,3,3
20,1,1,1,12,18,50000,3,female,17,21,17,28,14,39,54,18,20,20,13,67.021,64000,1,1,3,1,3,2,1,3,3,3
21,1,1,1,12,18,40000,3,female,16,15,29,33,13,49,64,19,25,21,8,88.416,253043,1,1,4,1,4,1,1,4,4,3
22,1,1,1,12,12,18000,3,female,16,19,27,31,14,42,45,12,22,20,14,89.167,45300,2,2,2,3,3,3,2,3,2,2
29,0,1,1,0,4,24200,3,female,12,5,12,9,11,39,59,9,9,9,4,25.905,85000,1,1,4,1,4,1,1,4,4,4
34,1,1,1,13,12,21000,3,male,13,12,8,20,8,24,42,22,3,11,10,6.069,150432,1,1,3,1,3,2,2,1,3,3
37,0,1,1,12,12,37000,3,female,12,16,21,31,13,32,53,11,12,16,13,56.29,37000,1,1,4,1,4,1,2,4,3,3
38,1,1,1,12,12,37000,3,female,12,10,9,17,9,30,50,11,5,13,5,12.788,70000,2,2,3,2,4,1,2,4,2,3
39,1,1,1,12,12,22000,3,male,12,16,16,23,10,35,16,16,8,16,14,26.851,67000,1,1,3,3,3,1,2,4,4,4
41,1,1,1,10,12,5500,3,male,15,20,15,29,11,36,55,16,18,12,13,57.095,120000,1,1,4,1,4,1,1,4,4,4
42,1,1,1,14,12,21000,3,male,12,15,12,17,7,36,38,13,8,12,8,22.326,45000,2,2,3,2,3,2,2,3,3,3
44,1,1,1,12,12,30000,3,female,12,13,17,25,11,36,52,12,9,12,11,37.061,7200,1,1,4,1,4,1,1,4,4,4
46,1,1,1,12,12,28000,3,female,19,15,14,28,15,48,73,11,21,15,14,78.095,42000,1,2,4,2,4,2,2,4,4,4
47,1,1,1,12,16,32388,3,male,12,22,26,33,13,35,51,25,16,21,17,75.473,66309,1,1,3,1,3,2,2,3,3,3
49,1,1,1,12,12,23900,3,female,14,17,26,28,14,50,80,10,14,14,9,71.226,34000,1,1,4,1,4,2,2,2,2,4
57,1,1,1,12,12,23289,3,female,12,14,15,28,11,29,53,9,8,15,12,30.83,12000,1,1,3,1,3,1,1,3,3,4
