Region,MetropolitanStatus,Age,Sex,MaritalStatus,EdCode,Education,JobClass,WeeklyEarnings
West,Not Metropolitan,50,Female,Not Married,39,HighSchoolDiploma,FedGov,420
South,Metropolitan,46,Male,Married,43,BachelorsDegree,FedGov,923.07
South,Metropolitan,30,Male,Not Married,40,SomeCollegeButNoDegree,FedGov,810
West,Metropolitan,64,Male,Married,39,HighSchoolDiploma,FedGov,673
West,Not Metropolitan,55,Male,Married,43,BachelorsDegree,FedGov,700
West,Metropolitan,40,Female,Married,33,FifthorSixthGrade,FedGov,1012.5
South,Metropolitan,35,Female,Not Married,45,ProfSchoolDegree,FedGov,2000
West,Metropolitan,50,Male,Married,39,HighSchoolDiploma,FedGov,1038.46
South,Metropolitan,47,Female,Not Married,39,HighSchoolDiploma,FedGov,1750
Northeast,Metropolitan,39,Female,Married,43,BachelorsDegree,FedGov,1000
South,Metropolitan,52,Male,Married,40,SomeCollegeButNoDegree,FedGov,880
Midwest,Metropolitan,65,Female,Not Married,40,SomeCollegeButNoDegree,FedGov,1057.69
Northeast,Metropolitan,53,Male,Not Married,43,BachelorsDegree,FedGov,2557.69
Midwest,Metropolitan,58,Female,Not Married,39,HighSchoolDiploma,FedGov,1600
Midwest,Metropolitan,49,Male,Married,39,HighSchoolDiploma,FedGov,1019.23
West,Metropolitan,34,Male,Married,39,HighSchoolDiploma,FedGov,1192.3
West,Metropolitan,47,Male,Married,42,AssocDegAcadem,FedGov,560
Midwest,Not Metropolitan,57,Male,Not Married,40,SomeCollegeButNoDegree,FedGov,620
South,Metropolitan,61,Male,Married,40,SomeCollegeButNoDegree,FedGov,1080
South,Metropolitan,47,Female,Not Married,46,DoctorateDegree,FedGov,2307.69
South,Metropolitan,44,Female,Married,43,BachelorsDegree,FedGov,2019.23
West,Metropolitan,73,Male,Not Married,45,ProfSchoolDegree,FedGov,2307.69
West,Metropolitan,51,Male,Married,40,SomeCollegeButNoDegree,FedGov,1634.61
South,Metropolitan,29,Male,Not Married,44,MastersDegree,FedGov,961.53
West,Metropolitan,49,Male,Married,39,HighSchoolDiploma,FedGov,1000
South,Metropolitan,48,Female,Married,43,BachelorsDegree,FedGov,1900
Midwest,Metropolitan,55,Male,Married,39,HighSchoolDiploma,FedGov,1040
Midwest,Not Metropolitan,40,Female,Not Married,40,SomeCollegeButNoDegree,FedGov,440
West,Metropolitan,54,Female,Not Married,43,BachelorsDegree,FedGov,800
Midwest,Metropolitan,21,Male,Not Married,40,SomeCollegeButNoDegree,FedGov,420
West,Metropolitan,34,Male,Married,39,HighSchoolDiploma,FedGov,320
West,Metropolitan,30,Male,Married,44,MastersDegree,FedGov,2115.38
Midwest,Metropolitan,49,Female,Not Married,42,AssocDegAcadem,FedGov,1280.17
South,Metropolitan,25,Male,Married,39,HighSchoolDiploma,FedGov,1096.15
West,Not Metropolitan,48,Female,Married,43,BachelorsDegree,FedGov,1153.84
West,Metropolitan,46,Male,Not Married,39,HighSchoolDiploma,FedGov,1436.4
Midwest,Metropolitan,49,Female,Not Married,36,TenthGrade,FedGov,436.15
West,Metropolitan,54,Female,Married,39,HighSchoolDiploma,FedGov,290
West,Metropolitan,40,Male,Married,44,MastersDegree,FedGov,1538
South,Metropolitan,62,Male,Married,42,AssocDegAcadem,FedGov,1080
South,Metropolitan,36,Male,Married,39,HighSchoolDiploma,FedGov,1000
South,Metropolitan,44,Male,Married,39,HighSchoolDiploma,FedGov,430
South,Metropolitan,58,Male,Not Married,43,BachelorsDegree,FedGov,903.84
South,Metropolitan,52,Male,Married,39,HighSchoolDiploma,FedGov,923
Northeast,Metropolitan,42,Male,Married,44,MastersDegree,FedGov,1850
West,Metropolitan,54,Female,Married,43,BachelorsDegree,FedGov,1960
Midwest,Metropolitan,52,Male,Married,43,BachelorsDegree,FedGov,2038
Northeast,Metropolitan,65,Male,Married,39,HighSchoolDiploma,FedGov,2000
South,Metropolitan,29,Male,Married,43,BachelorsDegree,FedGov,2115
South,Metropolitan,39,Female,Not Married,39,HighSchoolDiploma,FedGov,960
West,Metropolitan,26,Female,Not Married,43,BachelorsDegree,FedGov,452.3
West,Metropolitan,54,Male,Not Married,40,SomeCollegeButNoDegree,FedGov,1538.46
South,Metropolitan,37,Female,Not Married,39,HighSchoolDiploma,FedGov,423.15
Midwest,Metropolitan,30,Male,Married,46,DoctorateDegree,FedGov,1384.61
Northeast,Metropolitan,59,Male,Not Married,39,HighSchoolDiploma,FedGov,1057.69
