IQ,Adoptive,Biological
136,High,High
99,High,High
121,High,High
133,High,High
125,High,High
131,High,High
103,High,High
115,High,High
116,High,High
117,High,High
94,High,Low
103,High,Low
99,High,Low
125,High,Low
111,High,Low
93,High,Low
101,High,Low
94,High,Low
125,High,Low
91,High,Low
98,Low,High
99,Low,High
91,Low,High
124,Low,High
100,Low,High
116,Low,High
113,Low,High
119,Low,High
92,Low,Low
91,Low,Low
98,Low,Low
83,Low,Low
99,Low,Low
68,Low,Low
76,Low,Low
115,Low,Low
86,Low,Low
116,Low,Low
