Student,Grade,Class,Treatment,Gain
1,1,1a,control,-4
2,1,1a,control,0
3,1,1a,control,-19
4,1,1a,control,24
5,1,1a,control,19
6,1,1a,control,10
7,1,1a,control,5
8,1,1a,control,10
9,1,1a,control,29
10,1,1a,control,13
11,1,1a,control,-9
12,1,1a,control,-8
13,1,1a,control,20
14,1,1a,control,-1
15,1,1a,control,12
16,1,1a,control,21
17,1,1a,control,-7
18,1,1a,pygmalion,18
19,1,1b,control,14
20,1,1b,control,13
21,1,1b,control,20
22,1,1b,control,11
23,1,1b,control,16
24,1,1b,control,15
25,1,1b,control,27
26,1,1b,control,23
27,1,1b,control,36
28,1,1b,control,-33
29,1,1b,control,34
30,1,1b,control,13
31,1,1b,control,11
32,1,1b,control,-19
33,1,1b,control,21
34,1,1b,pygmalion,40
35,1,1b,pygmalion,15
36,1,1b,pygmalion,17
37,1,1b,pygmalion,20
38,1,1c,control,6
39,1,1c,control,25
40,1,1c,control,30
41,1,1c,control,22
42,1,1c,control,-28
43,1,1c,control,15
44,1,1c,control,26
45,1,1c,control,-1
46,1,1c,control,-2
47,1,1c,control,43
48,1,1c,control,23
49,1,1c,control,22
50,1,1c,control,25
51,1,1c,control,16
52,1,1c,control,10
53,1,1c,control,29
54,1,1c,pygmalion,44
55,1,1c,pygmalion,38
56,2,2a,control,-5
57,2,2a,control,15
58,2,2a,control,-6
59,2,2a,control,5
60,2,2a,control,9
61,2,2a,control,31
62,2,2a,control,-11
63,2,2a,control,7
64,2,2a,control,16
65,2,2a,control,-3
66,2,2a,control,2
67,2,2a,control,7
68,2,2a,control,15
69,2,2a,control,-6
70,2,2a,control,2
71,2,2a,control,0
72,2,2a,control,9
73,2,2a,control,-11
74,2,2a,control,3
75,2,2a,pygmalion,24
76,2,2a,pygmalion,-10
77,2,2a,pygmalion,54
78,2,2a,pygmalion,11
79,2,2a,pygmalion,14
80,2,2a,pygmalion,42
81,2,2b,control,6
82,2,2b,control,-2
83,2,2b,control,8
84,2,2b,control,20
85,2,2b,control,10
86,2,2b,control,-1
87,2,2b,control,-1
88,2,2b,control,0
89,2,2b,control,10
90,2,2b,control,18
91,2,2b,control,22
92,2,2b,control,24
93,2,2b,control,18
94,2,2b,control,6
95,2,2b,pygmalion,16
96,2,2b,pygmalion,-7
97,2,2b,pygmalion,12
98,2,2c,control,5
99,2,2c,control,10
100,2,2c,control,8
101,2,2c,control,-4
102,2,2c,control,2
103,2,2c,control,1
104,2,2c,control,1
105,2,2c,control,-6
106,2,2c,control,26
107,2,2c,control,14
108,2,2c,control,13
109,2,2c,control,20
110,2,2c,control,10
111,2,2c,control,10
112,2,2c,pygmalion,15
113,2,2c,pygmalion,17
114,2,2c,pygmalion,10
115,3,3a,control,22
116,3,3a,control,4
117,3,3a,control,5
118,3,3a,control,34
119,3,3a,control,20
120,3,3a,control,14
121,3,3a,control,24
122,3,3a,control,25
123,3,3a,control,15
124,3,3a,control,7
125,3,3a,control,6
126,3,3a,control,-4
127,3,3a,pygmalion,7
128,3,3a,pygmalion,16
129,3,3a,pygmalion,16
130,3,3a,pygmalion,-5
131,3,3a,pygmalion,14
132,3,3a,pygmalion,8
133,3,3a,pygmalion,14
134,3,3a,pygmalion,10
135,3,3b,control,-6
136,3,3b,control,15
137,3,3b,control,0
138,3,3b,control,2
139,3,3b,control,-8
140,3,3b,control,-11
141,3,3b,control,7
142,3,3b,control,3
143,3,3b,control,-3
144,3,3b,control,-10
145,3,3b,control,-12
146,3,3b,control,21
147,3,3b,control,-15
148,3,3b,control,8
149,3,3b,control,8
150,3,3b,pygmalion,23
151,3,3c,control,-6
152,3,3c,control,6
153,3,3c,control,4
154,3,3c,control,9
155,3,3c,control,12
156,3,3c,control,4
157,3,3c,control,-3
158,3,3c,control,-8
159,3,3c,control,12
160,3,3c,control,-10
161,3,3c,control,17
162,3,3c,control,-10
163,3,3c,control,5
164,3,3c,pygmalion,-5
165,3,3c,pygmalion,4
166,3,3c,pygmalion,-4
167,3,3c,pygmalion,-13
168,3,3c,pygmalion,-1
169,4,4a,control,12
170,4,4a,control,21
171,4,4a,control,-1
172,4,4a,control,6
173,4,4a,control,20
174,4,4a,control,-15
175,4,4a,control,-8
176,4,4a,control,2
177,4,4a,control,21
178,4,4a,control,-4
179,4,4a,control,20
180,4,4a,control,-1
181,4,4a,control,1
182,4,4a,control,-5
183,4,4a,control,8
184,4,4a,control,47
185,4,4a,control,-10
186,4,4a,control,17
187,4,4a,pygmalion,18
188,4,4a,pygmalion,13
189,4,4a,pygmalion,-7
190,4,4a,pygmalion,-6
191,4,4a,pygmalion,18
192,4,4b,control,7
193,4,4b,control,18
194,4,4b,control,-11
195,4,4b,control,-12
196,4,4b,control,21
197,4,4b,control,4
198,4,4b,control,2
199,4,4b,control,1
200,4,4b,control,2
201,4,4b,control,-18
202,4,4b,control,10
203,4,4b,control,-18
204,4,4b,control,0
205,4,4b,control,-10
206,4,4b,control,5
207,4,4b,control,-8
208,4,4b,pygmalion,10
209,4,4b,pygmalion,-10
210,4,4b,pygmalion,-2
211,4,4c,control,-19
212,4,4c,control,7
213,4,4c,control,-9
214,4,4c,control,-1
215,4,4c,control,-8
216,4,4c,control,21
217,4,4c,control,7
218,4,4c,control,-2
219,4,4c,control,12
220,4,4c,control,0
221,4,4c,control,10
222,4,4c,control,-4
223,4,4c,control,-8
224,4,4c,control,-15
225,4,4c,control,-5
226,4,4c,pygmalion,0
227,4,4c,pygmalion,17
228,4,4c,pygmalion,9
229,4,4c,pygmalion,6
230,5,5a,control,15
231,5,5a,control,9
232,5,5a,control,38
233,5,5a,control,37
234,5,5a,control,8
235,5,5a,control,11
236,5,5a,control,12
237,5,5a,control,23
238,5,5a,control,19
239,5,5a,control,21
240,5,5a,control,12
241,5,5a,control,18
242,5,5a,control,47
243,5,5a,control,15
244,5,5a,control,-6
245,5,5a,control,24
246,5,5a,pygmalion,11
247,5,5a,pygmalion,19
248,5,5a,pygmalion,51
249,5,5a,pygmalion,19
250,5,5a,pygmalion,-8
251,5,5b,control,11
252,5,5b,control,22
253,5,5b,control,18
254,5,5b,control,-3
255,5,5b,control,3
256,5,5b,control,34
257,5,5b,control,30
258,5,5b,control,15
259,5,5b,control,23
260,5,5b,control,-3
261,5,5b,pygmalion,2
262,5,5b,pygmalion,30
263,5,5b,pygmalion,11
264,5,5b,pygmalion,22
265,6,6a,control,-8
266,6,6a,control,31
267,6,6a,control,-7
268,6,6a,control,20
269,6,6a,control,18
270,6,6a,control,22
271,6,6a,control,17
272,6,6a,control,13
273,6,6a,control,8
274,6,6a,control,25
275,6,6a,control,15
276,6,6a,control,7
277,6,6a,control,22
278,6,6a,control,4
279,6,6a,control,25
280,6,6a,control,17
281,6,6a,control,30
282,6,6a,control,18
283,6,6a,control,-4
284,6,6a,control,19
285,6,6a,pygmalion,18
286,6,6a,pygmalion,11
287,6,6a,pygmalion,10
288,6,6a,pygmalion,14
289,6,6b,control,-2
290,6,6b,control,10
291,6,6b,control,7
292,6,6b,control,1
293,6,6b,control,3
294,6,6b,control,16
295,6,6b,control,7
296,6,6b,control,5
297,6,6b,control,13
298,6,6b,control,27
299,6,6b,control,0
300,6,6b,control,9
301,6,6b,control,12
302,6,6b,pygmalion,6
303,6,6b,pygmalion,0
304,6,6b,pygmalion,10
305,6,6b,pygmalion,21
306,6,6c,control,22
307,6,6c,control,3
308,6,6c,control,9
309,6,6c,control,3
310,6,6c,control,1
311,6,6c,control,-3
312,6,6c,control,4
313,6,6c,control,13
314,6,6c,control,12
315,6,6c,control,8
316,6,6c,control,3
317,6,6c,control,8
318,6,6c,pygmalion,7
319,6,6c,pygmalion,7
320,6,6c,pygmalion,4
