Student,PriorExp,Block,Treatment,Day1,Day2,Day3,Day4,Day5,Relax,Success,Slope
1,-7,1,dull,10,13,12,12,9,3,0.22,-0.006
2,-6,1,bright,18,20,21,23,30,9,0.45,0.054
3,-5,2,bright,16,14,20,20,20,5,0.36,0.028
4,1,2,dull,11,20,27,17,16,6,0.36,0.014
5,2,3,bright,27,24,26,28,27,10,0.53,0.008
6,2,3,dull,16,14,14,13,15,4,0.29,-0.006
7,3,4,dull,8,10,21,10,20,5,0.28,0.048
8,3,4,bright,13,20,18,20,22,7,0.37,0.036
9,3,5,bright,24,23,27,29,27,10,0.52,0.024
10,7,5,dull,13,12,23,17,16,6,0.32,0.022
11,9,6,dull,9,15,24,12,11,5,0.28,0.002
12,10,6,bright,19,17,23,33,29,10,0.48,0.072
