Year,Sunspots
1700,5
1701,11
1702,16
1703,23
1704,36
1705,58
1706,29
1707,20
1708,10
1709,8
1710,3
1711,0
1712,0
1713,2
1714,11
1715,27
1716,47
1717,63
1718,60
1719,39
1720,28
1721,26
1722,22
1723,11
1724,21
1725,40
1726,78
1727,122
1728,103
1729,73
1730,47
1731,35
1732,11
1733,5
1734,16
1735,34
1736,70
1737,81
1738,111
1739,101
1740,73
1741,40
1742,20
1743,16
1744,5
1745,11
1746,22
1747,40
1748,60
1749,81
1750,83
1751,48
1752,48
1753,31
1754,12
1755,10
1756,10
1757,32
1758,48
1759,54
1760,63
1761,86
1762,61
1763,45
1764,36
1765,21
1766,11
1767,38
1768,70
1769,106
1770,101
1771,82
1772,67
1773,35
1774,31
1775,7
1776,20
1777,93
1778,154
1779,126
1780,85
1781,68
1782,39
1783,23
1784,10
1785,24
1786,83
1787,132
1788,131
1789,118
1790,90
1791,67
1792,60
1793,47
1794,41
1795,21
1796,16
1797,6
1798,4
1799,7
1800,15
1801,34
1802,45
1803,43
1804,48
1805,42
1806,28
1807,10
1808,8
1809,3
1810,0
1811,1
1812,5
1813,12
1814,14
1815,35
1816,46
1817,41
1818,30
1819,24
1820,16
1821,7
1822,4
1823,2
1824,9
1825,17
1826,36
1827,50
1828,64
1829,67
1830,71
1831,48
1832,28
1833,9
1834,13
1835,57
1836,122
1837,138
1838,103
1839,86
1840,65
1841,37
1842,24
1843,11
1844,15
1845,40
1846,62
1847,99
1848,125
1849,96
1850,67
1851,65
1852,54
1853,39
1854,21
1855,7
1856,4
1857,23
1858,55
1859,94
1860,96
1861,77
1862,59
1863,44
1864,47
1865,31
1866,16
1867,7
1868,38
1869,74
1870,139
1871,111
1872,102
1873,66
1874,45
1875,17
1876,11
1877,12
1878,3
1879,6
1880,32
1881,54
1882,60
1883,64
1884,64
1885,52
1886,25
1887,13
1888,7
1889,6
1890,7
1891,36
1892,73
1893,85
1894,78
1895,64
1896,42
1897,26
1898,27
1899,12
1900,10
1901,3
1902,5
1903,24
1904,42
1905,64
1906,54
1907,62
1908,49
1909,44
1910,19
1911,6
1912,4
1913,1
1914,10
1915,47
1916,57
1917,104
1918,81
1919,64
1920,38
1921,26
1922,14
1923,6
1924,17
1925,44
1926,64
1927,69
1928,78
1929,65
1930,36
1931,21
1932,11
1933,6
1934,9
1935,36
1936,80
1937,114
1938,110
1939,89
1940,68
1941,48
1942,31
1943,16
1944,10
1945,33
1946,93
1947,152
1948,136
1949,135
1950,84
1951,69
1952,32
1953,14
1954,4
1955,38
1956,142
1957,190
1958,185
1959,159
1960,112
1961,54
1962,38
1963,28
1964,10
1965,15
1966,47
1967,94
1968,106
1969,106
1970,105
1971,67
1972,69
1973,38
1974,35
1975,16
1976,13
1977,28
1978,93
1979,155
1980,155
1981,141
1982,116
1983,67
1984,46
1985,18
1986,13
1987,29
1988,100
1989,158
1990,143
1991,146
1992,94
1993,55
1994,30
1995,18
1996,9
1997,22
1998,64
1999,93
2000,120
2001,111
2002,104
2003,64
2004,40
2005,30
2006,15
2007,8
2008,3
2009,3
2010,17
