Year,S&P500Return
1871,1.00
1872,1.11
1873,1.04
1874,1.15
1875,1.19
1876,1.04
1877,1.00
1878,1.11
1879,1.63
1880,2.04
1881,2.19
1882,2.26
1883,2.19
1884,1.89
1885,2.37
1886,2.67
1887,2.59
1888,2.67
1889,2.85
1890,2.56
1891,3.15
1892,3.33
1893,2.81
1894,2.85
1895,3.00
1896,3.04
1897,3.56
1898,4.41
1899,4.81
1900,5.74
1901,6.85
1902,7.19
1903,6.15
1904,8.04
1905,9.63
1906,10.26
1907,7.22
1908,10.44
1909,12.44
1910,11.44
1911,12.11
1912,13.07
1913,11.81
1914,11.37
1915,15.41
1916,16.78
1917,12.52
1918,15.70
1919,18.78
1920,15.22
1921,17.48
1922,22.19
1923,22.81
1924,28.74
1925,37.04
1926,42.11
1927,57.19
1928,83.00
1929,75.63
1930,56.56
1931,31.81
1932,29.15
1933,44.63
1934,43.56
1935,64.00
1936,84.70
1937,54.48
1938,72.07
1939,70.96
1940,63.48
1941,55.78
1942,67.48
1943,84.70
1944,101.19
1945,137.96
1946,126.26
1947,132.52
1948,139.07
1949,163.74
1950,212.93
1951,263.78
1952,312.41
1953,308.93
1954,470.93
1955,619.96
1956,662.74
1957,592.96
1958,852.26
1959,954.67
1960,958.96
1961,1216.89
1962,1109.93
1963,1362.15
1964,1585.96
1965,1782.22
1966,1602.19
1967,1987.30
1968,2206.59
1969,2019.78
1970,2100.59
1971,2402.07
1972,2858.37
1973,2433.93
1974,1787.00
1975,2455.74
1976,3039.15
1977,2814.74
1978,2998.81
1979,3556.30
1980,4716.00
1981,4481.52
1982,5452.52
1983,6683.33
1984,7097.30
1985,9357.78
1986,11106.11
1987,11686.04
1988,13623.89
1989,17949.04
1990,17387.30
1991,22695.96
1992,24426.48
1993,26887.22
1994,27228.26
1995,37521.11
1996,46052.33
1997,61445.63
1998,78730.63
1999,95290.74
