Year,Cases,Vaccine
1950,319124,no
1951,530118,no
1952,683077,no
1953,449146,no
1954,682720,no
1955,555156,no
1956,611936,no
1957,486799,no
1958,763094,no
1959,406162,no
1960,441703,no
1961,423919,no
1962,481530,no
1963,385156,yes
1964,458053,yes
1965,261904,yes
1966,204136,yes
1967,62705,yes
1968,22231,yes
1969,25826,yes
1970,47351,yes
1971,75290,yes
1972,32275,yes
1973,26690,yes
1974,22094,yes
1975,24371,yes
1976,41126,yes
1977,57345,yes
1978,26871,yes
1979,13597,yes
1980,13506,yes
1981,3124,yes
1982,1714,yes
1983,1497,yes
1984,2587,yes
1985,2822,yes
1986,6282,yes
1987,3655,yes
1988,3396,yes
1989,18193,yes
1990,27786,yes
1991,9643,yes
1992,2237,yes
1993,312,yes
1994,963,yes
1995,309,yes
1996,508,yes
1997,138,yes
1998,100,yes
1999,100,yes
2000,86,yes
2001,116,yes
2002,44,yes
2003,56,yes
2004,37,yes
2005,66,yes
2006,55,yes
2007,43,yes
2008,132,yes
