Year,Month,SOI,SST
1950,1,5.5,23.49
1950,2,8.2,24.56
1950,3,7.2,25.59
1950,4,4.3,23.84
1950,5,2.6,23.41
1950,6,4.5,21.70
1950,7,4.2,20.74
1950,8,3.6,20.52
1950,9,3.5,19.82
1950,10,5.7,20.19
1950,11,4.8,20.46
1950,12,8.0,21.92
1951,1,7.2,25.13
1951,2,5.9,25.44
1951,3,3.0,25.90
1951,4,1.4,25.29
1951,5,0.0,24.90
1951,6,1.0,24.56
1951,7,-1.1,24.04
1951,8,0.8,22.43
1951,9,0.4,21.52
1951,10,0.9,22.20
1951,11,1.6,22.90
1951,12,2.1,23.01
1952,1,2.7,24.47
1952,2,3.1,26.42
1952,3,4.2,26.51
1952,4,1.5,24.54
1952,5,2.6,23.69
1952,6,2.1,22.35
1952,7,1.7,20.74
1952,8,1.3,19.95
1952,9,2.0,20.12
1952,10,3.4,20.45
1952,11,3.0,20.72
1952,12,1.2,22.53
1953,1,4.9,24.19
1953,2,3.3,26.33
1953,3,2.9,27.21
1953,4,2.3,26.85
1953,5,-1.9,25.24
1953,6,0.9,23.74
1953,7,0.8,22.45
1953,8,-1.0,21.68
1953,9,0.1,21.49
1953,10,2.8,21.08
1953,11,2.5,22.07
1953,12,2.6,22.47
1954,1,5.6,23.06
1954,2,3.7,25.22
1954,3,3.7,25.83
1954,4,3.1,23.05
1954,5,2.1,21.79
1954,6,0.9,21.01
1954,7,1.5,19.89
1954,8,3.2,19.78
1954,9,2.7,19.23
1954,10,3.2,19.20
1954,11,3.3,20.47
1954,12,6.0,21.25
1955,1,3.4,23.70
1955,2,7.7,24.64
1955,3,4.4,25.51
1955,4,1.7,24.34
1955,5,3.1,22.53
1955,6,3.1,21.12
1955,7,3.7,20.56
1955,8,3.9,19.75
1955,9,4.8,19.47
1955,10,5.5,19.35
1955,11,5.3,20.00
1955,12,5.3,21.10
1956,1,6.8,23.67
1956,2,7.2,24.78
1956,3,5.7,25.76
1956,4,3.6,25.06
1956,5,3.8,23.30
1956,6,2.7,22.29
1956,7,2.8,21.62
1956,8,3.4,20.66
1956,9,2.5,19.98
1956,10,6.0,19.84
1956,11,3.3,20.86
1956,12,5.4,21.60
1957,1,5.5,23.25
1957,2,4.1,26.32
1957,3,3.6,27.47
1957,4,2.4,26.86
1957,5,0.0,26.29
1957,6,1.0,24.92
1957,7,1.2,23.82
1957,8,0.3,22.33
1957,9,0.7,21.88
1957,10,2.8,21.76
1957,11,1.2,22.40
1957,12,2.9,23.75
1958,1,0.9,24.96
1958,2,3.3,26.74
1958,3,3.7,27.07
1958,4,2.6,26.45
1958,5,0.3,25.08
1958,6,1.2,23.04
1958,7,1.5,22.38
1958,8,2.9,20.56
1958,9,1.8,20.72
1958,10,2.8,20.96
1958,11,2.2,21.64
1958,12,2.3,22.47
1959,1,2.7,24.09
1959,2,1.7,25.68
1959,3,5.6,27.07
1959,4,2.7,25.89
1959,5,2.1,24.26
1959,6,0.5,22.63
1959,7,0.3,21.45
1959,8,1.0,20.34
1959,9,2.4,20.41
1959,10,3.6,20.91
1959,11,4.7,21.99
1959,12,5.1,22.69
1960,1,4.6,24.57
1960,2,4.4,25.72
1960,3,5.1,26.15
1960,4,3.4,24.72
1960,5,2.2,23.76
1960,6,0.9,22.15
1960,7,1.7,21.01
1960,8,2.7,20.37
1960,9,3.6,20.54
1960,10,2.9,20.22
1960,11,4.0,20.91
1960,12,4.9,22.74
1961,1,3.9,24.45
1961,2,5.9,26.55
1961,3,-0.1,25.91
1961,4,3.4,24.97
1961,5,1.8,23.71
1961,6,0.9,22.39
1961,7,1.2,20.55
1961,8,1.5,19.96
1961,9,2.5,19.75
1961,10,2.1,20.00
1961,11,4.0,21.07
1961,12,6.2,22.06
1962,1,8.0,24.11
1962,2,3.7,25.55
1962,3,3.5,24.63
1962,4,2.3,23.57
1962,5,3.2,23.48
1962,6,2.0,21.85
1962,7,0.9,20.57
1962,8,2.4,20.37
1962,9,3.2,20.16
1962,10,4.5,19.92
1962,11,3.6,20.88
1962,12,3.8,21.83
1963,1,6.3,24.11
1963,2,5.3,25.36
1963,3,5.3,25.88
1963,4,3.4,24.54
1963,5,1.9,24.17
1963,6,-0.2,22.60
1963,7,0.6,22.01
1963,8,1.2,21.45
1963,9,1.3,21.15
1963,10,0.5,21.00
1963,11,1.5,21.92
1963,12,1.2,22.83
1964,1,3.7,24.17
1964,2,4.3,24.98
1964,3,5.3,25.04
1964,4,4.0,24.53
1964,5,1.6,21.96
1964,6,2.1,21.27
1964,7,1.8,20.43
1964,8,4.0,19.20
1964,9,4.7,19.51
1964,10,5.1,19.96
1964,11,3.3,20.92
1964,12,2.9,21.85
1965,1,3.6,24.19
1965,2,5.0,25.95
1965,3,4.6,26.68
1965,4,1.0,27.10
1965,5,1.5,26.04
1965,6,-0.3,24.57
1965,7,-2.5,23.34
1965,8,0.0,22.02
1965,9,0.0,21.38
1965,10,1.1,21.67
1965,11,0.3,22.30
1965,12,3.8,23.45
1966,1,1.9,25.27
1966,2,3.8,25.92
1966,3,1.5,25.41
1966,4,1.6,24.18
1966,5,0.5,23.07
1966,6,1.3,21.84
1966,7,0.9,20.81
1966,8,2.4,20.27
1966,9,2.0,19.62
1966,10,2.5,20.64
1966,11,3.0,21.07
1966,12,2.8,22.32
1967,1,7.5,23.77
1967,2,7.3,25.64
1967,3,5.5,25.75
1967,4,1.9,25.23
1967,5,1.2,23.89
1967,6,1.9,22.18
1967,7,1.1,20.99
1967,8,2.6,19.73
1967,9,3.3,19.18
1967,10,2.8,19.41
1967,11,2.2,20.21
1967,12,2.4,21.30
1968,1,5.3,23.17
1968,2,6.6,24.79
1968,3,3.4,25.17
1968,4,2.0,24.09
1968,5,3.5,22.54
1968,6,2.7,21.60
1968,7,2.0,21.13
1968,8,1.7,20.73
1968,9,1.9,20.86
1968,10,2.6,21.16
1968,11,2.4,21.35
1968,12,3.8,22.99
1969,1,1.6,24.76
1969,2,3.2,25.55
1969,3,4.0,26.88
1969,4,1.3,26.42
1969,5,0.8,25.97
1969,6,1.1,24.30
1969,7,-0.1,22.24
1969,8,1.0,21.01
1969,9,0.6,20.68
1969,10,1.0,21.80
1969,11,2.9,22.33
1969,12,4.2,23.45
1970,1,2.3,24.92
1970,2,2.3,25.63
1970,3,4.3,25.57
1970,4,1.8,24.48
1970,5,1.9,23.13
1970,6,2.5,21.33
1970,7,0.1,19.70
1970,8,2.2,19.30
1970,9,4.5,19.49
1970,10,4.6,20.29
1970,11,5.9,20.32
1970,12,7.0,21.79
1971,1,5.0,23.32
1971,2,7.9,24.66
1971,3,7.5,24.91
1971,4,5.1,25.10
1971,5,2.8,22.93
1971,6,1.5,21.86
1971,7,1.2,21.26
1971,8,4.0,19.86
1971,9,5.0,19.79
1971,10,5.8,20.07
1971,11,4.0,21.13
1971,12,3.9,21.96
1972,1,5.2,24.62
1972,2,6.2,26.81
1972,3,4.4,27.31
1972,4,1.7,26.35
1972,5,-1.7,25.51
1972,6,-0.3,24.86
1972,7,-1.9,24.07
1972,8,0.3,23.27
1972,9,-0.1,22.12
1972,10,1.1,22.56
1972,11,2.4,23.40
1972,12,1.1,24.69
1973,1,3.8,26.33
1973,2,1.7,26.50
1973,3,4.5,26.15
1973,4,2.1,24.52
1973,5,2.0,23.47
1973,6,2.7,21.51
1973,7,1.9,20.75
1973,8,3.6,19.47
1973,9,4.6,19.24
1973,10,4.1,19.68
1973,11,7.8,20.71
1973,12,6.8,21.61
1974,1,8.8,23.32
1974,2,8.0,24.92
1974,3,7.7,26.04
1974,4,3.7,25.29
1974,5,3.0,24.42
1974,6,1.5,22.68
1974,7,2.9,21.60
1974,8,2.7,20.47
1974,9,4.4,19.91
1974,10,4.4,20.02
1974,11,2.8,20.95
1974,12,3.8,21.41
1975,1,3.4,23.67
1975,2,5.7,24.90
1975,3,6.1,26.17
1975,4,4.1,25.44
1975,5,2.4,23.36
1975,6,3.1,21.71
1975,7,4.3,20.98
1975,8,4.9,20.05
1975,9,6.2,18.80
1975,10,5.8,19.13
1975,11,5.2,19.61
1975,12,7.3,20.94
1976,1,6.9,23.73
1976,2,7.3,25.63
1976,3,6.4,26.21
1976,4,2.5,25.78
1976,5,1.9,25.33
1976,6,1.2,24.40
1976,7,-0.8,23.46
1976,8,-0.2,22.19
1976,9,0.3,21.67
1976,10,3.5,21.52
1976,11,4.3,22.00
1976,12,2.8,23.69
1977,1,3.6,25.31
1977,2,6.5,25.97
1977,3,2.2,26.35
1977,4,1.2,25.25
1977,5,0.3,23.95
1977,6,-1.0,22.82
1977,7,-1.3,21.75
1977,8,-0.2,20.28
1977,9,0.9,19.85
1977,10,0.8,20.98
1977,11,0.7,21.65
1977,12,1.5,22.49
1978,1,3.8,24.33
1978,2,-0.7,25.99
1978,3,2.9,25.54
1978,4,1.4,25.03
1978,5,3.7,23.47
1978,6,1.9,22.09
1978,7,1.8,21.11
1978,8,2.0,20.03
1978,9,2.5,19.86
1978,10,2.0,20.35
1978,11,3.0,21.99
1978,12,3.3,23.30
1979,1,3.6,24.77
1979,2,6.0,25.70
1979,3,3.4,26.26
1979,4,1.7,25.39
1979,5,2.1,24.13
1979,6,1.9,23.29
1979,7,3.2,22.18
1979,8,0.9,21.20
1979,9,2.6,21.30
1979,10,2.5,21.61
1979,11,2.2,22.20
1979,12,2.1,23.25
1980,1,5.1,24.77
1980,2,4.8,25.77
1980,3,2.4,26.61
1980,4,0.8,25.80
1980,5,1.2,24.54
1980,6,0.7,23.27
1980,7,0.7,21.52
1980,8,1.9,20.77
1980,9,1.5,20.66
1980,10,2.7,20.36
1980,11,2.4,21.56
1980,12,3.3,22.54
1981,1,5.0,23.48
1981,2,3.9,25.21
1981,3,0.9,26.31
1981,4,1.7,25.03
