Country,PctCatholic,PriestParishRatio,PctIndigenous
Argentina,95.8,2.0,59
Bolivia,93.2,1.8,30
Brazil,90.2,1.5,58
Chile,84.3,3.0,45
Ecuador,96.7,2.7,76
El Salvador,96.8,1.1,61
Guatemala,95.0,1.2,13
Honduras,96.3,0.9,21
Nicaragua,95.5,1.4,
Uruguay,61.0,3.8,64
Australia,28.6,10.8,90
France,80.3,2.0,94
Great Britain,13.0,10.5,90
India,1.2,11.9,88
Poland,82.1,6.7,100
South Korea,3.6,8.0,71
Spain,97.6,4.4,99
Sweden,1.2,10.4,
Switzerland,49.6,8.3,90
United States,28.1,9.8,95
West Germany,48.5,4.9,96
,,,
,,,
