Specimen,Species,Jnt1,Jnt2
1,conc,191,131
2,conc,185,134
3,conc,200,137
4,conc,173,127
5,conc,171,118
6,conc,160,118
7,conc,188,134
8,conc,186,129
9,conc,174,131
10,conc,163,115
11,conc,190,143
12,conc,174,131
13,conc,201,130
14,conc,190,133
15,conc,182,130
16,conc,184,131
17,conc,177,127
18,conc,178,126
19,heik,186,107
20,heik,211,122
21,heik,201,114
22,heik,242,131
23,heik,184,108
24,heik,211,118
25,heik,217,122
26,heik,223,127
27,heik,208,125
28,heik,199,124
29,heik,211,129
30,heik,218,126
31,heik,203,122
32,heik,192,116
33,heik,195,123
34,heik,211,122
35,heik,187,123
36,heik,192,109
