Gene,GeneName,pValue
1,AT1G01880,1
2,AT1G02210,0.003926161
3,AT1G02510,0.003926161
4,AT1G03103,0.003926161
5,AT1G03320,0.377724156
6,AT1G03840,0.409748158
7,AT1G04180,0.377724156
8,AT1G04370,0.377724156
9,AT1G05800,0.67585379
10,AT1G06080,0.377724156
11,AT1G06360,0.409724655
12,AT1G06660,1
13,AT1G07119,0.409744225
14,AT1G07120,0.377724156
15,AT1G08670,0.003926161
16,AT1G09480,0.030356687
17,AT1G10790,0.496794953
18,AT1G11160,0.190163803
19,AT1G11340,0.190163803
20,AT1G11915,1
21,AT1G12300,0.114275753
22,AT1G13830,0.087982859
23,AT1G14220,0.003926161
24,AT1G14950,0.003926161
25,AT1G15760,0.67585379
26,AT1G16160,0.003926161
27,AT1G17000,0.003926161
28,AT1G17990,1
29,AT1G20480,0.40973865
30,AT1G20570,0.049785075
31,AT1G21110,0.022988249
32,AT1G21970,0.67585379
33,AT1G23350,0.003926161
34,AT1G23600,0.67585379
35,AT1G24320,0.030356687
36,AT1G24620,0.190163803
37,AT1G26558,0.049785075
38,AT1G26790,0.003926161
39,AT1G26799,0.003926161
40,AT1G29510,0.049785075
41,AT1G29680,0.377724156
42,AT1G30170,0.190163803
43,AT1G30560,0.377724156
44,AT1G30795,0.003926161
45,AT1G30980,0.190163803
46,AT1G31250,0.496794953
47,AT1G31670,0.67585379
48,AT1G32049,0.030356687
49,AT1G32970,0.010276772
50,AT1G33475,0.087982859
51,AT1G33750,0.003926161
52,AT1G33770,0.190163803
53,AT1G34500,0.377724156
54,AT1G34520,0.003926161
55,AT1G35490,0.003926161
56,AT1G35890,0.049785075
57,AT1G36105,0.67585379
58,AT1G36250,0.003926161
59,AT1G36445,0.003926161
60,AT1G36500,0.003926161
61,AT1G37275,0.67585379
62,AT1G38430,0.377724156
63,AT1G41740,1
64,AT1G42690,0.003926161
65,AT1G43200,0.003926161
66,AT1G43444,0.022988249
67,AT1G43630,0.377724156
68,AT1G43723,0.377724156
69,AT1G43980,1
70,AT1G44020,0.003926161
71,AT1G44414,0.377724156
72,AT1G47816,0.003926161
73,AT1G48400,1
74,AT1G48510,0.67585379
75,AT1G48820,0.67585379
76,AT1G48910,0.049785075
77,AT1G49100,0.377724156
78,AT1G49550,0.003926161
79,AT1G50790,0.563340379
80,AT1G50810,0.003926161
81,AT1G52430,0.049785075
82,AT1G52940,0.003926161
83,AT1G53163,0.67585379
84,AT1G53690,0.030356687
85,AT1G54660,0.67585379
86,AT1G54840,0.003926161
87,AT1G55525,0.377724156
88,AT1G55740,0.377724156
89,AT1G56360,0.003926161
90,AT1G56620,0.003926161
91,AT1G58170,0.087984059
92,AT1G58808,0.190163803
93,AT1G59780,0.003926161
94,AT1G61200,0.003926161
95,AT1G61275,0.67585379
96,AT1G61410,0.409724654
97,AT1G61450,0.409744225
98,AT1G61470,0.003926208
99,AT1G61760,0.114275753
100,AT1G61830,0.377724156
101,AT1G62421,1
102,AT1G63560,0.114275753
103,AT1G66420,0.67585379
104,AT1G66620,0.190163803
105,AT1G66860,0.377724156
106,AT1G67365,0.087982859
107,AT1G67650,0.087982859
108,AT1G68230,0.40973865
109,AT1G68700,0.377724156
110,AT1G69940,0.67585379
111,AT1G70010,1
112,AT1G72080,0.377724156
113,AT1G72110,0.67585379
114,AT1G72200,0.67585379
115,AT1G72260,0.003926161
116,AT1G73610,0.67585379
117,AT1G73640,0.190163803
118,AT1G74660,0.377724156
119,AT1G75060,0.377724156
120,AT1G76540,1
121,AT1G77131,0.190163803
122,AT1G77200,0.190163803
123,AT1G77700,0.999997364
124,AT1G78270,0.004941422
125,AT1G78710,0.377724156
126,AT1G80340,0.114275753
127,AT2G01810,0.563340379
128,AT2G01840,0.049785075
129,AT2G02000,0.003926161
130,AT2G02520,0.003926161
131,AT2G02840,0.67585379
132,AT2G03380,0.409748158
133,AT2G03540,0.190163803
134,AT2G04580,1
135,AT2G04760,0.003926161
136,AT2G06020,0.67585379
137,AT2G06170,0.67585379
138,AT2G06830,0.003926161
139,AT2G06930,0.003926161
140,AT2G07669,1
141,AT2G07714,0.377724156
142,AT2G07770,0.377724156
143,AT2G09820,0.67585379
144,AT2G09850,0.003926161
145,AT2G10130,0.003926161
146,AT2G10430,0.377724156
147,AT2G10640,0.003926161
148,AT2G11120,0.67585379
149,AT2G11165,0.003926161
150,AT2G11380,0.003926161
151,AT2G11405,0.377724156
152,AT2G11502,0.377724156
153,AT2G11700,1
154,AT2G12390,0.409744225
155,AT2G12610,0.67585379
156,AT2G12640,0.003926161
157,AT2G12780,0.67585379
158,AT2G13118,0.003926161
159,AT2G14040,0.003926161
160,AT2G14210,0.67585379
161,AT2G15017,0.003926161
162,AT2G15030,0.049785075
163,AT2G15045,0.377724156
164,AT2G15420,0.003926161
165,AT2G15520,0.003926161
166,AT2G15800,0.003926161
167,AT2G16015,0.049785075
168,AT2G16060,0.377724156
169,AT2G16550,0.049785075
170,AT2G17723,0.003926161
171,AT2G18180,0.003926161
172,AT2G18380,0.087982859
173,AT2G18450,0.003926161
174,AT2G18721,0.003926161
175,AT2G19550,0.409744225
176,AT2G19610,0.049785075
177,AT2G19960,1
178,AT2G21020,0.67585379
179,AT2G21200,0.67585379
180,AT2G21420,0.67585379
181,AT2G21727,0.003926161
182,AT2G22180,0.67585379
183,AT2G23260,0.67585379
184,AT2G24300,0.409748158
185,AT2G24450,0.049785075
186,AT2G25410,1
187,AT2G25820,0.67585379
188,AT2G26215,0.087984059
189,AT2G27300,0.409748158
190,AT2G27970,0.67585379
191,AT2G29330,0.003926161
192,AT2G29452,1
193,AT2G31250,0.004941422
194,AT2G31425,0.049785075
195,AT2G31862,0.67585379
196,AT2G31985,1
197,AT2G32315,0.377724156
198,AT2G32670,0.409744225
199,AT2G34825,0.003926161
200,AT2G35460,0.496794953
201,AT2G35570,0.67585379
202,AT2G37010,0.67585379
203,AT2G37100,1
204,AT2G38060,0.003926161
205,AT2G38160,1
206,AT2G39490,0.496794953
207,AT2G39640,1
208,AT2G40470,1
209,AT2G41342,0.496794953
210,AT2G42180,1
211,AT2G43255,0.377724156
212,AT2G43700,0.114275753
213,AT2G44190,1
214,AT2G44745,1
215,AT2G45040,0.190163803
216,AT2G45230,0.003926161
217,AT2G45280,1
218,AT2G46850,0.190163803
219,AT2G47540,0.377724156
220,AT2G47670,0.409724655
221,AT3G02370,0.67585379
222,AT3G03620,0.67585379
223,AT3G03800,0.377724156
224,AT3G04050,0.190163803
225,AT3G04950,0.087984059
226,AT3G05190,0.190163803
227,AT3G05720,0.377724156
228,AT3G05950,0.003926161
229,AT3G06868,0.409744225
230,AT3G07820,0.003926161
231,AT3G10570,0.377724156
232,AT3G11640,0.049785075
233,AT3G11773,0.049785075
234,AT3G11870,0.003926161
235,AT3G12230,0.496794953
236,AT3G12720,0.003926161
237,AT3G13175,0.377724156
238,AT3G13420,0.563340379
239,AT3G13890,0.003926161
240,AT3G14170,0.563340379
241,AT3G14480,0.409744225
242,AT3G14760,0.40973865
243,AT3G14780,0.190163803
244,AT3G16070,0.049785075
245,AT3G16610,0.049785075
246,AT3G17060,0.022988249
247,AT3G18300,0.409744225
248,AT3G18450,0.010276772
249,AT3G18530,0.67585379
250,AT3G18955,0.003926161
251,AT3G19090,0.496794953
252,AT3G19500,0.40973865
253,AT3G20087,0.190163803
254,AT3G20110,0.114275753
255,AT3G21530,0.496794953
256,AT3G21910,0.67585379
257,AT3G22640,0.190163803
258,AT3G22830,0.003926161
259,AT3G22955,1
260,AT3G23167,0.003926161
261,AT3G24780,0.496794953
262,AT3G25450,0.003926161
263,AT3G27840,0.003926161
264,AT3G28945,1
265,AT3G29040,0.003926161
266,AT3G29190,0.003926161
267,AT3G29787,0.67585379
268,AT3G29791,1
269,AT3G30838,0.003926161
270,AT3G31406,0.030356687
271,AT3G32135,0.67585379
272,AT3G32360,0.003926161
273,AT3G32383,0.563340379
274,AT3G32980,0.409744225
275,AT3G42258,0.003926161
276,AT3G42305,0.377724156
277,AT3G42340,0.003926161
278,AT3G42356,0.003926161
279,AT3G42645,0.377724156
280,AT3G42850,0.377724156
