Months,Group,Survived,Died
3,radiation,11,2
3,no,16,1
7,radiation,11,0
7,no,15,1
9,radiation,11,0
9,no,13,2
10,radiation,10,1
10,no,13,0
11,radiation,9,1
11,no,13,0
12,radiation,8,1
12,no,13,0
16,radiation,8,0
16,no,12,1
18,radiation,7,1
18,no,10,0
21,radiation,6,1
21,no,9,0
22,radiation,5,1
22,no,9,0
23,radiation,4,1
23,no,9,0
24,radiation,4,0
24,no,8,1
32,radiation,4,0
32,no,5,1
33,radiation,3,1
33,no,5,0
36,radiation,2,1
36,no,5,0
41,radiation,2,0
41,no,3,1
48,radiation,1,1
48,no,3,0
