Order,N,n
Anseriformes,150,5
Apodiformes,424,3
Caprimulgiformes,118,8
Casuariiformes,4,2
Charadriiformes,343,62
Ciconiiformes,114,14
Coliiformes,6,1
Columbiformes,309,2
Coraciiformes,213,8
Cuculiformes,159,3
Falconiformes,308,31
Galbuliformes,54,2
Galliformes,281,24
Gruiformes,204,21
Musophagiformes,23,1
Opisthodomiformes,1,0
Passeriformes,"5,920",179
Pelecaniformes,65,6
Phoenicopteriformes,5,1
Piciformes,344,2
Podicipediformes,22,1
Procellariiformes,108,5
Psittaciformes,353,1
Pterocliformes,16,3
Sphenisciformes,17,1
Strigiformes,209,2
Struthioniformes,10,5
Tinamiformes,47,19
Trogoniformes,39,2
