Site,PctRing1,PctRing2,PctRing3,PctRing4,PctRing5,PctRing6,PctRing7
Random,26.0,33.3,25.6,19.1,31.4,24.8,17.9
Random,100.0,92.7,90.1,72.8,51.9,50.6,41.5
Random,32.0,22.2,38.3,39.9,22.1,20.2,38.2
Random,43.0,79.9,61.4,81.2,47.7,69.6,54.8
Random,74.0,61.8,48.3,67.4,74.9,66.0,55.8
Random,63.0,85.0,85.8,84.9,78.0,78.0,53.6
Random,60.0,72.2,58.1,54.1,55.6,53.5,67.2
Random,46.0,68.0,68.8,67.9,71.9,69.5,66.0
Random,80.0,62.9,42.0,59.6,68.4,59.7,60.0
Random,76.0,63.8,60.7,59.1,44.2,53.4,29.5
Random,73.0,60.8,64.6,58.1,59.6,57.5,24.3
Random,50.0,54.9,65.8,51.6,49.6,54.0,41.8
Random,77.0,74.6,69.1,74.0,63.1,61.2,56.8
Random,68.0,63.1,55.7,63.0,79.3,81.1,83.2
Random,66.0,66.0,62.6,60.6,20.4,66.8,46.7
Random,88.0,92.9,83.1,88.0,82.6,84.8,63.6
Random,90.0,94.9,81.7,75.7,80.6,67.7,56.6
Random,50.0,52.4,61.3,45.1,52.0,62.8,69.2
Random,70.0,72.4,67.6,74.4,65.6,76.5,77.1
Random,15.0,39.4,52.6,59.7,49.9,49.6,51.1
Random,82.0,74.7,65.2,61.7,55.7,58.2,49.7
Random,68.0,55.8,56.1,56.6,49.1,58.0,43.7
Random,47.0,44.6,52.9,21.3,52.9,50.5,32.7
Random,75.0,75.0,78.4,80.4,55.2,49.3,62.0
Random,62.0,49.8,50.1,37.2,51.0,64.0,59.0
Random,74.0,42.2,47.2,57.0,62.4,62.3,60.0
Random,29.0,51.0,48.3,49.9,43.0,38.7,41.0
Random,73.0,65.7,73.4,79.9,78.4,71.8,73.0
Random,81.0,76.1,68.7,53.8,60.1,60.4,60.9
Random,57.0,69.2,65.4,76.3,76.9,74.5,75.1
Nest,81.0,83.4,88.9,92.9,80.6,72.0,44.4
Nest,80.0,87.3,93.3,81.6,85.0,82.8,63.6
Nest,96.0,74.0,76.7,66.2,69.1,84.5,52.5
Nest,82.0,79.6,91.3,70.7,75.6,73.5,66.8
Nest,83.0,80.6,88.9,79.6,55.8,62.9,52.7
Nest,80.0,80.0,59.3,65.1,61.1,72.2,48.6
Nest,100.0,100.0,89.7,97.0,97.0,90.5,45.1
Nest,67.0,67.0,91.1,87.3,87.9,74.7,66.8
Nest,81.0,71.2,70.1,75.0,75.0,75.0,46.5
Nest,89.0,67.0,86.9,64.2,72.6,83.5,55.6
Nest,72.0,79.3,71.6,82.9,70.6,64.2,47.6
Nest,81.0,56.6,74.4,67.6,65.6,63.5,46.6
Nest,77.0,89.2,82.0,77.6,81.0,70.2,59.7
Nest,100.0,85.3,83.7,82.1,89.0,71.7,60.6
Nest,83.0,68.3,77.0,77.0,82.4,75.8,62.7
Nest,78.0,75.6,66.7,56.2,80.9,67.7,63.9
Nest,58.0,80.0,84.2,80.9,84.9,71.7,65.9
Nest,58.0,38.4,50.0,58.9,62.9,62.6,43.7
Nest,89.0,93.9,91.0,86.6,79.1,72.9,62.7
Nest,81.0,71.2,77.0,68.1,58.7,67.7,65.9
Nest,68.0,53.3,62.0,66.4,63.0,63.0,65.0
Nest,86.0,78.7,79.6,73.1,80.0,69.2,40.4
Nest,51.0,43.7,44.6,38.1,28.7,48.5,34.8
Nest,86.0,90.9,74.2,84.0,78.6,83.0,74.9
Nest,72.0,74.4,93.7,49.0,79.0,74.7,58.7
Nest,73.0,70.6,68.6,79.9,78.4,82.6,71.9
Nest,76.0,76.0,72.6,70.6,74.0,76.2,68.9
Nest,70.0,62.7,63.6,48.2,56.6,56.7,36.6
Nest,87.0,82.1,85.0,71.7,82.0,86.3,57.5
Nest,62.0,47.3,66.3,54.6,52.6,52.7,53.0
