Status,AG,TL,AE,WT,BH,HL,FL,TT,SK,KL
Survived,1,154,241,24.5,31.2,0.69,0.67,1.02,0.59,0.83
Survived,1,160,252,26.9,30.8,0.74,0.71,1.18,0.60,0.84
Survived,1,155,243,26.9,30.6,0.73,0.70,1.15,0.60,0.85
Survived,1,154,245,24.3,31.7,0.74,0.69,1.15,0.58,0.84
Survived,1,156,247,24.1,31.5,0.71,0.71,1.13,0.57,0.82
Survived,1,161,253,26.5,31.8,0.78,0.74,1.14,0.61,0.89
Survived,1,157,251,24.6,31.1,0.74,0.74,1.15,0.61,0.86
Survived,1,159,247,24.2,31.4,0.73,0.72,1.13,0.61,0.79
Survived,1,158,247,23.6,29.8,0.70,0.67,1.08,0.60,0.82
Survived,1,158,252,26.2,32.0,0.75,0.74,1.15,0.61,0.86
Survived,1,160,252,26.2,32.0,0.74,0.72,1.13,0.62,0.89
Survived,1,162,253,24.8,32.3,0.77,0.75,1.13,0.63,0.92
Survived,1,161,243,25.4,31.8,0.72,0.72,1.13,0.60,0.89
Survived,1,160,250,23.7,29.8,0.73,0.70,1.10,0.59,0.82
Survived,1,159,247,25.7,31.4,0.73,0.72,1.14,0.59,0.93
Survived,1,158,253,25.7,31.9,0.74,0.70,1.15,0.60,0.86
Survived,1,159,247,26.5,31.6,0.73,0.71,1.15,0.61,0.92
Survived,1,166,253,26.7,32.5,0.77,0.76,1.23,0.60,0.88
Survived,1,159,247,23.9,31.4,0.75,0.72,1.11,0.60,0.82
Survived,1,160,248,24.7,31.3,0.75,0.74,1.18,0.60,0.80
Survived,1,161,252,28.0,31.8,0.77,0.73,1.19,0.59,0.88
Survived,1,163,251,27.9,31.9,0.77,0.75,1.17,0.62,0.86
Survived,1,156,242,25.9,32.0,0.72,0.71,1.12,0.61,0.89
Survived,1,165,251,25.7,32.2,0.75,0.74,1.16,0.61,0.87
Survived,1,160,247,26.6,32.4,0.73,0.71,1.11,0.59,0.84
Survived,1,158,244,23.2,31.6,0.73,0.71,1.14,0.58,0.89
Survived,1,160,242,25.7,31.6,0.71,0.70,1.12,0.62,0.79
Survived,1,157,245,26.3,32.2,0.74,0.73,1.14,0.60,0.85
Survived,1,159,244,24.3,31.5,0.72,0.70,1.11,0.62,0.85
Survived,1,160,253,26.7,32.1,0.74,0.71,1.12,0.59,0.86
Survived,1,158,245,24.9,31.4,0.73,0.70,1.12,0.58,0.85
Survived,1,161,247,23.8,31.4,0.74,0.69,1.10,0.60,0.78
Survived,1,160,247,25.6,32.3,0.76,0.75,1.13,0.61,0.90
Survived,1,160,247,27.0,32.0,0.75,0.74,1.17,0.63,0.87
Survived,1,153,241,24.7,32.2,0.73,0.68,1.09,0.59,0.88
Perished,1,165,249,26.5,31.0,0.74,0.70,1.10,0.61,0.85
Perished,1,160,245,26.1,32.0,0.74,0.71,1.11,0.61,0.84
Perished,1,161,249,25.6,32.3,0.74,0.72,1.13,0.60,0.83
Perished,1,162,246,25.9,32.3,0.74,0.71,1.13,0.61,0.87
Perished,1,163,250,25.5,32.5,0.75,0.73,1.20,0.62,0.89
Perished,1,162,247,27.6,31.8,0.73,0.72,1.11,0.60,0.87
Perished,1,163,246,25.8,31.4,0.69,0.66,1.07,0.60,0.84
Perished,1,161,246,24.9,30.5,0.74,0.73,1.14,0.58,0.80
Perished,1,160,242,26.0,31.0,0.75,0.71,1.11,0.60,0.80
Perished,1,162,246,26.5,31.5,0.72,0.70,1.09,0.61,0.81
Perished,1,160,249,26.0,31.4,0.73,0.69,1.10,0.60,0.85
Perished,1,161,250,27.1,31.6,0.74,0.71,1.12,0.63,0.85
Perished,1,162,248,25.1,31.9,0.74,0.72,1.15,0.59,0.84
Perished,1,165,252,26.0,32.3,0.73,0.71,1.14,0.61,0.89
Perished,1,161,243,25.6,32.5,0.71,0.71,1.12,0.61,0.83
Perished,1,161,244,25.0,31.3,0.70,0.69,1.08,0.60,0.87
Perished,1,162,248,24.6,31.0,0.71,0.70,1.09,0.59,0.84
Perished,1,164,244,25.0,31.2,0.70,0.69,1.07,0.61,0.80
Perished,1,158,247,26.0,32.0,0.73,0.71,1.14,0.61,0.80
Perished,1,162,253,28.3,31.8,0.75,0.72,1.15,0.60,0.86
Perished,1,156,239,24.6,30.5,0.66,0.66,1.04,0.57,0.81
Perished,1,166,251,27.5,31.5,0.72,0.69,1.12,0.61,0.85
Perished,1,165,253,31.0,32.4,0.76,0.75,1.18,0.61,0.90
Perished,1,166,250,28.3,32.4,0.75,0.72,1.18,0.61,0.92
Survived,2,156,246,24.6,32.0,0.74,0.74,1.17,0.59,0.85
Survived,2,156,245,25.5,32.1,0.76,0.72,1.15,0.62,0.82
Survived,2,163,248,24.8,32.2,0.74,0.73,1.16,0.61,0.85
Survived,2,163,248,26.3,33.0,0.74,0.70,1.15,0.61,0.84
Survived,2,160,250,24.4,31.5,0.75,0.71,1.17,0.60,0.89
Survived,2,156,237,23.3,30.6,0.69,0.66,1.01,0.59,0.77
Survived,2,162,253,26.7,32.0,0.76,0.73,1.20,0.63,0.88
Survived,2,163,254,26.4,32.0,0.77,0.75,1.16,0.61,0.89
Survived,2,164,251,26.9,32.0,0.75,0.74,1.17,0.62,0.89
Survived,2,163,244,24.3,31.3,0.72,0.68,1.08,0.61,0.89
Survived,2,160,247,27.0,31.5,0.76,0.73,1.18,0.62,0.85
Survived,2,160,250,26.8,32.5,0.76,0.73,1.12,0.63,0.84
Survived,2,158,247,24.9,32.4,0.75,0.72,1.14,0.59,0.87
Survived,2,158,249,26.1,32.2,0.74,0.74,1.15,0.60,0.82
Survived,2,158,243,26.6,32.4,0.75,0.71,1.16,0.61,0.89
Survived,2,155,237,23.3,30.2,0.69,0.65,1.01,0.59,0.79
Perished,2,160,249,24.0,30.4,0.74,0.72,1.13,0.62,0.84
Perished,2,156,236,26.8,30.2,0.69,0.67,1.07,0.56,0.83
Perished,2,158,240,23.5,31.0,0.71,0.70,1.11,0.60,0.81
Perished,2,166,245,26.9,31.7,0.71,0.69,1.11,0.60,0.85
Perished,2,165,255,28.6,31.5,0.77,0.74,1.17,0.61,0.85
Perished,2,157,238,24.7,31.2,0.68,0.68,1.16,0.60,0.77
Perished,2,164,250,27.3,31.8,0.76,0.73,1.17,0.59,0.86
Perished,2,166,256,25.7,31.7,0.75,0.75,1.19,0.60,0.86
Perished,2,167,255,29.0,32.2,0.76,0.75,1.20,0.64,0.86
Perished,2,161,246,25.0,31.5,0.74,0.71,1.12,0.59,0.85
Perished,2,166,254,27.5,31.4,0.76,0.74,1.12,0.60,0.91
Perished,2,161,251,26.0,31.5,0.73,0.71,1.12,0.59,0.83
