Make,VehicleAge,Passengers,Cause
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,3,NotTire
Other,1,0,NotTire
Other,1,2,NotTire
Other,1,0,NotTire
Other,1,2,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,1,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,1,NotTire
Other,1,3,NotTire
Other,1,2,NotTire
Other,1,0,NotTire
Other,1,3,NotTire
Other,1,0,NotTire
Other,1,2,NotTire
Other,1,0,NotTire
Other,1,1,NotTire
Other,1,1,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,1,NotTire
Other,1,1,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,1,NotTire
Other,1,3,NotTire
Other,1,6,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,1,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,1,NotTire
Other,1,0,NotTire
Other,1,1,NotTire
Other,1,5,NotTire
Other,1,1,NotTire
Other,1,3,NotTire
Other,1,0,NotTire
Other,1,3,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,1,NotTire
Other,1,0,NotTire
Other,1,1,NotTire
Other,1,1,NotTire
Other,1,1,NotTire
Other,1,0,NotTire
Other,1,2,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,2,NotTire
Other,1,2,NotTire
Other,1,0,NotTire
Other,1,2,NotTire
Other,1,0,NotTire
Other,1,1,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,1,NotTire
Other,1,3,NotTire
Other,1,1,NotTire
Other,1,1,NotTire
Other,1,1,NotTire
Other,1,1,NotTire
Other,1,0,NotTire
Other,1,3,NotTire
Other,1,1,NotTire
Other,1,1,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,2,NotTire
Other,1,4,NotTire
Other,1,1,NotTire
Other,1,1,NotTire
Other,1,2,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,2,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,4,NotTire
Other,1,1,NotTire
Other,1,4,NotTire
Other,1,4,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,0,NotTire
Other,1,2,NotTire
Other,1,1,NotTire
Other,1,1,NotTire
Other,1,0,NotTire
Ford,1,3,NotTire
Ford,1,3,NotTire
Ford,1,4,NotTire
Ford,1,0,NotTire
Ford,1,0,NotTire
Ford,1,3,NotTire
Ford,1,0,NotTire
Ford,1,0,NotTire
Ford,1,6,NotTire
Ford,1,0,NotTire
Ford,1,1,NotTire
Ford,1,0,NotTire
Ford,1,0,NotTire
Ford,1,5,NotTire
Ford,1,3,NotTire
Ford,1,0,NotTire
Ford,1,0,NotTire
Ford,1,1,NotTire
Ford,1,1,NotTire
Ford,1,0,NotTire
Ford,1,0,NotTire
Ford,1,0,NotTire
Ford,1,0,NotTire
Ford,1,2,NotTire
Ford,1,1,NotTire
Ford,1,2,NotTire
Ford,1,1,NotTire
