Student,PriorExp,Treatment,Day,Success
1,-7,dull,1,10
1,-7,dull,2,13
1,-7,dull,3,12
1,-7,dull,4,12
1,-7,dull,5,9
2,-6,bright,1,18
2,-6,bright,2,20
2,-6,bright,3,21
2,-6,bright,4,23
2,-6,bright,5,30
3,-5,bright,1,16
3,-5,bright,2,14
3,-5,bright,3,20
3,-5,bright,4,20
3,-5,bright,5,20
4,1,dull,1,11
4,1,dull,2,20
4,1,dull,3,27
4,1,dull,4,17
4,1,dull,5,16
5,2,bright,1,27
5,2,bright,2,24
5,2,bright,3,26
5,2,bright,4,28
5,2,bright,5,27
6,2,dull,1,16
6,2,dull,2,14
6,2,dull,3,14
6,2,dull,4,13
6,2,dull,5,15
7,3,dull,1,8
7,3,dull,2,10
7,3,dull,3,21
7,3,dull,4,10
7,3,dull,5,20
8,3,bright,1,13
8,3,bright,2,20
8,3,bright,3,18
8,3,bright,4,20
8,3,bright,5,22
9,3,bright,1,24
9,3,bright,2,23
9,3,bright,3,27
9,3,bright,4,29
9,3,bright,5,27
10,7,dull,1,13
10,7,dull,2,12
10,7,dull,3,23
10,7,dull,4,17
10,7,dull,5,16
11,9,dull,1,9
11,9,dull,2,15
11,9,dull,3,24
11,9,dull,4,12
11,9,dull,5,11
12,10,bright,1,19
12,10,bright,2,17
12,10,bright,3,23
12,10,bright,4,33
12,10,bright,5,29
