Exposure,YearsAfter,AtRisk,Deaths
0,0to7,262,10
0,8to11,243,12
0,12to15,240,19
0,16to19,237,31
0,20to23,233,35
0,24to27,227,48
0,28to31,220,73
25,0to7,313,17
25,8to11,290,17
25,12to15,285,17
25,16to19,280,47
25,20to23,275,50
25,24to27,269,65
25,28to31,262,71
75,0to7,38,0
75,8to11,36,2
75,12to15,35,1
75,16to19,34,5
75,20to23,34,8
75,24to27,33,7
75,28to31,32,12
150,0to7,28,1
150,8to11,26,0
150,12to15,25,4
150,16to19,25,1
150,20to23,24,6
150,24to27,24,12
150,28to31,23,11
250,0to7,13,1
250,8to11,12,1
250,12to15,12,0
250,16to19,12,4
250,20to23,11,3
250,24to27,11,7
250,28to31,10,13
400,0to7,15,0
400,8to11,14,2
400,12to15,14,5
400,16to19,14,3
400,20to23,13,2
400,24to27,13,3
400,28to31,13,5
