Percent,Treatment,Location,Photolyase
6.0,NoFilter,ThreeCreeks,7.5
4.7,NoFilter,ThreeCreeks,7.5
0.7,NoFilter,ThreeCreeks,7.5
1.5,NoFilter,SparksLake,7.5
0.8,NoFilter,SparksLake,7.5
2.9,NoFilter,SparksLake,7.5
3.9,NoFilter,SparksLake,7.5
38.7,NoFilter,ThreeCreeks,2.4
44.0,NoFilter,ThreeCreeks,2.4
30.0,NoFilter,ThreeCreeks,2.4
38.7,NoFilter,ThreeCreeks,2.4
36.7,NoFilter,SmallLake,2.4
69.6,NoFilter,SmallLake,2.4
39.3,NoFilter,SmallLake,2.4
34.0,NoFilter,SmallLake,2.4
42.0,NoFilter,ThreeCreeks,1.3
50.7,NoFilter,ThreeCreeks,1.3
32.7,NoFilter,ThreeCreeks,1.3
44.0,NoFilter,ThreeCreeks,1.3
54.0,NoFilter,LostLake,1.3
54.7,NoFilter,LostLake,1.3
48.0,NoFilter,LostLake,1.3
36.7,NoFilter,LostLake,1.3
0.9,UV-BTransmitting,ThreeCreeks,7.5
6.7,UV-BTransmitting,ThreeCreeks,7.5
2.7,UV-BTransmitting,ThreeCreeks,7.5
0.7,UV-BTransmitting,ThreeCreeks,7.5
0.7,UV-BTransmitting,SparksLake,7.5
2.1,UV-BTransmitting,SparksLake,7.5
0.0,UV-BTransmitting,SparksLake,7.5
1.4,UV-BTransmitting,SparksLake,7.5
28.7,UV-BTransmitting,ThreeCreeks,2.4
32.7,UV-BTransmitting,ThreeCreeks,2.4
36.0,UV-BTransmitting,ThreeCreeks,2.4
40.7,UV-BTransmitting,ThreeCreeks,2.4
70.0,UV-BTransmitting,SmallLake,2.4
54.0,UV-BTransmitting,SmallLake,2.4
48.7,UV-BTransmitting,SmallLake,2.4
51.3,UV-BTransmitting,SmallLake,2.4
47.3,UV-BTransmitting,ThreeCreeks,1.3
22.0,UV-BTransmitting,ThreeCreeks,1.3
37.3,UV-BTransmitting,ThreeCreeks,1.3
43.3,UV-BTransmitting,ThreeCreeks,1.3
46.0,UV-BTransmitting,LostLake,1.3
46.7,UV-BTransmitting,LostLake,1.3
36.0,UV-BTransmitting,LostLake,1.3
35.3,UV-BTransmitting,LostLake,1.3
4.7,UV-BBlocking,ThreeCreeks,7.5
0.7,UV-BBlocking,ThreeCreeks,7.5
4.7,UV-BBlocking,ThreeCreeks,7.5
0.7,UV-BBlocking,ThreeCreeks,7.5
4.5,UV-BBlocking,SparksLake,7.5
0.0,UV-BBlocking,SparksLake,7.5
0.0,UV-BBlocking,SparksLake,7.5
0.0,UV-BBlocking,SparksLake,7.5
25.3,UV-BBlocking,ThreeCreeks,2.4
18.7,UV-BBlocking,ThreeCreeks,2.4
21.3,UV-BBlocking,ThreeCreeks,2.4
16.7,UV-BBlocking,ThreeCreeks,2.4
24.7,UV-BBlocking,SmallLake,2.4
25.3,UV-BBlocking,SmallLake,2.4
39.3,UV-BBlocking,SmallLake,2.4
32.7,UV-BBlocking,SmallLake,2.4
18.7,UV-BBlocking,ThreeCreeks,1.3
17.3,UV-BBlocking,ThreeCreeks,1.3
16.0,UV-BBlocking,ThreeCreeks,1.3
4.7,UV-BBlocking,ThreeCreeks,1.3
12.7,UV-BBlocking,LostLake,1.3
17.3,UV-BBlocking,LostLake,1.3
31.3,UV-BBlocking,LostLake,1.3
17.3,UV-BBlocking,LostLake,1.3
