GolferID,Date,Course,Tee,Score
3161,2013-02-14,Wilson,Black,89
2174,2013-03-26,Encino,Blue,93
2101,2013-07-08,Rancho,Blue,86
8994,2014-11-04,Wilson,White,84
8994,2013-01-04,Harding,White,84
4649,2014-10-31,Harding,Yellow,75
5201,2013-02-11,Harding,Black,92
9672,2013-04-28,Encino,Yellow,82
6418,2012-03-29,Encino,Black,87
9466,2013-02-24,Encino,Blue,90
6503,2013-12-09,Harding,Blue,91
6503,2014-04-16,Encino,Black,98
8909,2012-01-06,Harding,Yellow,81
4622,2014-12-21,Rancho,Blue,85
9352,2012-12-16,Wilson,Yellow,92
2454,2012-06-30,Harding,Yellow,79
9466,2013-09-17,Harding,Yellow,90
4622,2014-10-08,Harding,Black,90
4185,2013-07-15,Rancho,Yellow,74
4891,2012-11-16,Rancho,White,92
4122,2012-02-25,Rancho,Blue,85
4649,2012-02-09,Harding,Blue,85
9352,2014-09-14,Harding,White,89
9352,2012-04-28,Rancho,Black,97
3161,2012-10-02,Encino,White,85
6418,2012-04-27,Harding,White,91
2174,2012-09-20,Wilson,White,92
5008,2013-05-01,Harding,Black,86
8994,2014-01-14,Harding,Black,87
3161,2014-06-09,Harding,Blue,81
8909,2014-06-24,Harding,Blue,82
2101,2012-04-14,Encino,Yellow,80
2101,2012-03-07,Harding,Blue,89
4649,2013-12-16,Wilson,Black,84
4185,2014-04-18,Wilson,White,80
4108,2014-09-14,Encino,Yellow,81
4891,2012-02-02,Harding,Black,92
5201,2013-12-04,Harding,White,87
6503,2012-12-24,Encino,Black,94
6418,2012-05-16,Encino,Blue,88
9672,2013-02-16,Encino,Black,86
7451,2012-09-24,Encino,Black,89
9466,2012-03-16,Wilson,Black,101
4649,2013-03-30,Harding,White,85
6418,2013-01-26,Harding,White,91
2101,2013-08-05,Encino,Yellow,80
9672,2013-07-07,Rancho,White,83
1317,2013-10-11,Rancho,White,95
9672,2012-05-08,Rancho,White,87
7451,2013-08-29,Harding,White,90
4649,2012-12-20,Harding,White,81
4108,2013-09-21,Encino,White,86
5201,2012-10-14,Rancho,Yellow,81
6418,2014-02-06,Wilson,Black,92
5008,2012-01-04,Encino,Black,88
5008,2012-04-29,Wilson,White,86
3161,2012-04-28,Encino,White,81
1317,2013-06-22,Encino,Blue,96
1588,2014-10-20,Rancho,Yellow,85
8909,2014-05-23,Wilson,Yellow,82
2174,2012-06-15,Wilson,Black,98
4891,2012-04-12,Rancho,Blue,92
4185,2013-02-23,Rancho,White,75
1588,2014-01-19,Harding,Blue,87
7451,2013-11-19,Wilson,White,87
