"Course","Name","CourseRating","SlopeRating","Yardage"
"Rancho","Black","72.5","129","6839"
"Rancho","Blue","70.7","124","6419"
"Rancho","White","68.8","120","6036"
"Rancho","Yellow","66.7","114","5644"
"Wilson","Black","73.0","125","6947"
"Wilson","Blue","71.8","122","6685"
"Wilson","White","70.6","119","6442"
"Wilson","Yellow","66.2","110","5525"
"Harding","Black","71.3","121","6679"
"Harding","Blue","70.2","118","6450"
"Harding","White","69.2","116","6256"
"Harding","Yellow","66.2","111","5658"
"Encino","Black","71.9","118","6933"
"Encino","Blue","70.1","114","6554"
"Encino","White","68.5","110","6208"
"Encino","Yellow","65.7","103","5642"
