"Sample.Depth" "Sources" "Station" "Latitude" "Longitude"
"1" 517 28.73 1 50.1508 -14.4792
"2" 582 27.9 1 50.1508 -14.4792
"3" 547 23.44 1 50.1508 -14.4792
"4" 614 18.33 1 50.1508 -14.4792
"5" 1068 12.38 1 50.1508 -14.4792
"6" 1005 11.23 1 50.1508 -14.4792
"7" 1036 11.06 1 50.1508 -14.4792
"8" 1100 10.57 1 50.1508 -14.4792
"9" 1490 8.92 1 50.1508 -14.4792
"10" 1520 7.26 1 50.1508 -14.4792
"11" 1550 6.6 1 50.1508 -14.4792
"12" 1587 6.44 1 50.1508 -14.4792
"13" 1972 4.29 1 50.1508 -14.4792
"14" 2003 3.8 1 50.1508 -14.4792
"15" 2034 3.63 1 50.1508 -14.4792
"16" 2068 2.81 1 50.1508 -14.4792
"17" 2444 2.48 1 50.1508 -14.4792
"18" 2504 1.98 1 50.1508 -14.4792
"19" 2477 1.32 1 50.1508 -14.4792
"20" 2536 1.32 1 50.1508 -14.4792
"21" 3722 0.83 1 50.1508 -14.4792
"22" 3446 0.66 1 50.1508 -14.4792
"23" 3630 0.66 1 50.1508 -14.4792
"24" 3660 0.66 1 50.1508 -14.4792
"25" 3939 0.66 1 50.1508 -14.4792
"26" 3414 0.5 1 50.1508 -14.4792
"27" 3505 0.5 1 50.1508 -14.4792
"28" 3534 0.5 1 50.1508 -14.4792
"29" 3912 0.5 1 50.1508 -14.4792
"30" 3568 0.33 1 50.1508 -14.4792
"31" 3600 0.33 1 50.1508 -14.4792
"32" 3697 0.33 1 50.1508 -14.4792
"33" 3853 0.33 1 50.1508 -14.4792
"34" 3880 0.33 1 50.1508 -14.4792
"35" 3474 0.17 1 50.1508 -14.4792
"36" 3789 0.17 1 50.1508 -14.4792
"37" 3758 0 1 50.1508 -14.4792
"38" 3818 0 1 50.1508 -14.4792
"39" 501 21.53 2 50.091 -14.4665
"40" 927 12.88 2 50.091 -14.4665
"41" 865 12.53 2 50.091 -14.4665
"42" 898 11.64 2 50.091 -14.4665
"43" 955 11.47 2 50.091 -14.4665
"44" 1319 10.23 2 50.091 -14.4665
"45" 1380 9.17 2 50.091 -14.4665
"46" 1412 8.82 2 50.091 -14.4665
"47" 1352 7.94 2 50.091 -14.4665
"48" 1799 6 2 50.091 -14.4665
"49" 1767 4.59 2 50.091 -14.4665
"50" 1828 3.88 2 50.091 -14.4665
"51" 2300 3.71 2 50.091 -14.4665
"52" 1857 3.18 2 50.091 -14.4665
"53" 2243 2.47 2 50.091 -14.4665
"54" 2212 2.29 2 50.091 -14.4665
"55" 2267 2.29 2 50.091 -14.4665
"56" 3333 1.41 2 50.091 -14.4665
"57" 3277 1.06 2 50.091 -14.4665
"58" 3394 1.06 2 50.091 -14.4665
"59" 3362 0.88 2 50.091 -14.4665
"60" 3164 0.71 2 50.091 -14.4665
"61" 3187 0.71 2 50.091 -14.4665
"62" 3249 0.71 2 50.091 -14.4665
"63" 3541 0.71 2 50.091 -14.4665
"64" 3423 0.53 2 50.091 -14.4665
"65" 3623 0.53 2 50.091 -14.4665
"66" 3857 0.53 2 50.091 -14.4665
"67" 3888 0.53 2 50.091 -14.4665
"68" 3448 0.35 2 50.091 -14.4665
"69" 3480 0.35 2 50.091 -14.4665
"70" 3509 0.35 2 50.091 -14.4665
"71" 3658 0.35 2 50.091 -14.4665
"72" 3716 0.35 2 50.091 -14.4665
"73" 3743 0.35 2 50.091 -14.4665
"74" 3771 0.35 2 50.091 -14.4665
"75" 3916 0.35 2 50.091 -14.4665
"76" 3219 0.18 2 50.091 -14.4665
"77" 3303 0.18 2 50.091 -14.4665
"78" 3565 0.18 2 50.091 -14.4665
"79" 3686 0.18 2 50.091 -14.4665
"80" 3798 0.18 2 50.091 -14.4665
"81" 3832 0.18 2 50.091 -14.4665
"82" 3595 0 2 50.091 -14.4665
"83" 516 24.43 3 50.1337 -14.4992
"84" 550 22.41 3 50.1337 -14.4992
"85" 591 20.07 3 50.1337 -14.4992
"86" 1053 12.14 3 50.1337 -14.4992
"87" 1020 11.05 3 50.1337 -14.4992
"88" 1090 10.74 3 50.1337 -14.4992
"89" 1125 9.65 3 50.1337 -14.4992
"90" 1555 8.25 3 50.1337 -14.4992
"91" 1588 7 3 50.1337 -14.4992
"92" 1626 6.85 3 50.1337 -14.4992
"93" 1662 4.82 3 50.1337 -14.4992
"94" 2131 2.49 3 50.1337 -14.4992
"95" 2169 2.49 3 50.1337 -14.4992
"96" 2202 2.49 3 50.1337 -14.4992
"97" 2097 1.87 3 50.1337 -14.4992
"98" 2625 1.87 3 50.1337 -14.4992
"99" 2656 1.71 3 50.1337 -14.4992
"100" 2726 1.09 3 50.1337 -14.4992
"101" 3965 1.09 3 50.1337 -14.4992
"102" 3750 0.62 3 50.1337 -14.4992
"103" 3790 0.62 3 50.1337 -14.4992
"104" 3927 0.62 3 50.1337 -14.4992
"105" 2692 0.47 3 50.1337 -14.4992
"106" 3890 0.47 3 50.1337 -14.4992
"107" 3856 0.31 3 50.1337 -14.4992
"108" 3716 0.16 3 50.1337 -14.4992
"109" 3824 0.16 3 50.1337 -14.4992
"110" 559 27.56 4 49.8358 -11.4977
"111" 634 27.56 4 49.8358 -11.4977
"112" 522 26.45 4 49.8358 -11.4977
"113" 596 24.52 4 49.8358 -11.4977
"114" 670 17.73 4 49.8358 -11.4977
"115" 526 26.83 5 49.8842 -11.633
"116" 561 25.66 5 49.8842 -11.633
"117" 633 23.01715291 5 49.8842 -11.633
"118" 596 20.67 5 49.8842 -11.633
"119" 671 20.08503152 5 49.8842 -11.633
"120" 708 19.64521331 5 49.8842 -11.633
"121" 742 16.12666764 5 49.8842 -11.633
"122" 773 14.36739481 5 49.8842 -11.633
"123" 811 12.46151591 5 49.8842 -11.633
"124" 845 12.31490984 5 49.8842 -11.633
"125" 882 12.0216977 5 49.8842 -11.633
"126" 919 11.87509163 5 49.8842 -11.633
"127" 1305 33.91 6 49.2672 -13.4825
"128" 1355 33.59 6 49.2672 -13.4825
"129" 1257 32.3 6 49.2672 -13.4825
"130" 1208 29.71 6 49.2672 -13.4825
"131" 1750 20.02 6 49.2672 -13.4825
"132" 718 19.49 6 49.2672 -13.4825
"133" 818 18.41 6 49.2672 -13.4825
"134" 1796 16.79 6 49.2672 -13.4825
"135" 768 16.47 6 49.2672 -13.4825
"136" 668 16.26 6 49.2672 -13.4825
"137" 1847 12.92 6 49.2672 -13.4825
"138" 1899 9.15 6 49.2672 -13.4825
"139" 2386 2.15 6 49.2672 -13.4825
"140" 2289 1.94 6 49.2672 -13.4825
"141" 2335 1.83 6 49.2672 -13.4825
"142" 2435 1.61 6 49.2672 -13.4825
"143" 2828 1.4 6 49.2672 -13.4825
"144" 2875 0.75 6 49.2672 -13.4825
"145" 2975 0.75 6 49.2672 -13.4825
