SampleNames,treatments,hour,batch,Type
5445316054_A,siNS,0h,8.25.10A,siNS_0h
5445316054_B,sip300,0h,8.25.10B,sip300_0h
5445316054_C,siNS,0h,8.20.10,siNS_0h
5445316054_D,siCBP,16h,8.25.10B,siCBP_16h
5445316054_E,siCBP,0h,8.18.10,siCBP_0h
5445316054_F,siNS,16h,8.25.10B,siNS_16h
5445316054_G,sip300,16h,8.25.10A,sip300_16h
5445316054_H,siNS,16h,8.18.10,siNS_16h
5445316054_I,sip300,0h,8.20.10,sip300_0h
5445316054_J,siCBP,16h,8.18.10,siCBP_16h
5445316054_K,siCBP,0h,8.25.10A,siCBP_0h
5445316054_L,sip300,16h,8.18.10,sip300_16h
5491021084_A,sip300,0h,8.25.10A,sip300_0h
5491021084_B,siCBP,16h,8.20.10,siCBP_16h
5491021084_C,sip300,16h,8.25.10B,sip300_16h
5491021084_D,siNS,16h,8.25.10A,siNS_16h
5491021084_E,sip300,16h,8.20.10,sip300_16h
5491021084_F,siCBP,0h,8.25.10B,siCBP_0h
5491021084_G,siCBP,16h,8.25.10A,siCBP_16h
5491021084_H,siCBP,0h,8.20.10,siCBP_0h
5491021084_I,siNS,0h,8.18.10,siNS_0h
5491021084_J,sip300,0h,8.18.10,sip300_0h
5491021084_K,siNS,16h,8.20.10,siNS_16h
5491021084_L,siNS,0h,8.25.10B,siNS_0h
