TargetID	ProbeID	5445316054_A.AVG_Signal	5445316054_A.Detection Pval	5445316054_A.BEAD_STDERR	5445316054_A.Avg_NBEADS	5445316054_B.AVG_Signal	5445316054_B.Detection Pval	5445316054_B.BEAD_STDERR	5445316054_B.Avg_NBEADS	5445316054_C.AVG_Signal	5445316054_C.Detection Pval	5445316054_C.BEAD_STDERR	5445316054_C.Avg_NBEADS	5445316054_D.AVG_Signal	5445316054_D.Detection Pval	5445316054_D.BEAD_STDERR	5445316054_D.Avg_NBEADS	5445316054_E.AVG_Signal	5445316054_E.Detection Pval	5445316054_E.BEAD_STDERR	5445316054_E.Avg_NBEADS	5445316054_F.AVG_Signal	5445316054_F.Detection Pval	5445316054_F.BEAD_STDERR	5445316054_F.Avg_NBEADS	5445316054_G.AVG_Signal	5445316054_G.Detection Pval	5445316054_G.BEAD_STDERR	5445316054_G.Avg_NBEADS	5445316054_H.AVG_Signal	5445316054_H.Detection Pval	5445316054_H.BEAD_STDERR	5445316054_H.Avg_NBEADS	5445316054_I.AVG_Signal	5445316054_I.Detection Pval	5445316054_I.BEAD_STDERR	5445316054_I.Avg_NBEADS	5445316054_J.AVG_Signal	5445316054_J.Detection Pval	5445316054_J.BEAD_STDERR	5445316054_J.Avg_NBEADS	5445316054_K.AVG_Signal	5445316054_K.Detection Pval	5445316054_K.BEAD_STDERR	5445316054_K.Avg_NBEADS	5445316054_L.AVG_Signal	5445316054_L.Detection Pval	5445316054_L.BEAD_STDERR	5445316054_L.Avg_NBEADS	5491021084_A.AVG_Signal	5491021084_A.Detection Pval	5491021084_A.BEAD_STDERR	5491021084_A.Avg_NBEADS	5491021084_B.AVG_Signal	5491021084_B.Detection Pval	5491021084_B.BEAD_STDERR	5491021084_B.Avg_NBEADS	5491021084_C.AVG_Signal	5491021084_C.Detection Pval	5491021084_C.BEAD_STDERR	5491021084_C.Avg_NBEADS	5491021084_D.AVG_Signal	5491021084_D.Detection Pval	5491021084_D.BEAD_STDERR	5491021084_D.Avg_NBEADS	5491021084_E.AVG_Signal	5491021084_E.Detection Pval	5491021084_E.BEAD_STDERR	5491021084_E.Avg_NBEADS	5491021084_F.AVG_Signal	5491021084_F.Detection Pval	5491021084_F.BEAD_STDERR	5491021084_F.Avg_NBEADS	5491021084_G.AVG_Signal	5491021084_G.Detection Pval	5491021084_G.BEAD_STDERR	5491021084_G.Avg_NBEADS	5491021084_H.AVG_Signal	5491021084_H.Detection Pval	5491021084_H.BEAD_STDERR	5491021084_H.Avg_NBEADS	5491021084_I.AVG_Signal	5491021084_I.Detection Pval	5491021084_I.BEAD_STDERR	5491021084_I.Avg_NBEADS	5491021084_J.AVG_Signal	5491021084_J.Detection Pval	5491021084_J.BEAD_STDERR	5491021084_J.Avg_NBEADS	5491021084_K.AVG_Signal	5491021084_K.Detection Pval	5491021084_K.BEAD_STDERR	5491021084_K.Avg_NBEADS	5491021084_L.AVG_Signal	5491021084_L.Detection Pval	5491021084_L.BEAD_STDERR	5491021084_L.Avg_NBEADS
BIOTIN	5090180	19195.7	0.00	763.1769	21	22493.93	0.00	866.1316	26	19004.89	0.00	1541.937	16	20912.19	0.00	672.945	19	19003.52	0.00	748.6287	15	19891.21	0.00	1794.848	13	22532.5	0.00	962.6381	29	21161.25	0.00	905.3438	20	22483.85	0.00	1448.911	24	23681.41	0.00	1494.964	18	22421.39	0.00	1332.289	20	26115.7	0.00	1401.224	17	16027.21	0.00	524.8544	23	13782.37	0.00	714.6973	31	16081.61	0.00	956.2944	18	16567.75	0.00	843.3475	21	12344.96	0.00	871.4146	13	19370.54	0.00	789.4322	23	19160.63	0.00	1228.665	23	19657.23	0.00	1419.498	14	20815.27	0.00	911.6899	23	19209.77	0.00	1320.753	20	21798.43	0.00	809.4749	20	19955.35	0.00	1122.935	31
BIOTIN	6510136	19729.36	0.00	1351.036	15	19711.21	0.00	773.3749	19	18237.71	0.00	1396.692	12	19925.95	0.00	643.749	15	21477.68	0.00	928.3743	21	20024.86	0.00	689.4664	21	23923.64	0.00	1351.954	16	21178.87	0.00	1089.362	15	22885.83	0.00	1577.887	20	25845.28	0.00	950.3368	11	22584.83	0.00	1476.215	15	20512.88	0.00	939.0399	24	18396.54	0.00	1119.735	18	13048.5	0.00	469.6508	23	17845.84	0.00	938.3144	22	17240.55	0.00	1351.272	19	16614.42	0.00	882.9775	21	16739.57	0.00	822.1143	31	17077.09	0.00	1008.007	25	18122.46	0.00	1082.672	20	20540.63	0.00	688.7328	23	19296.48	0.00	1075.396	32	21220.06	0.00	720.8054	22	21010.79	0.00	1188.768	26
CY3_HYB	1110170	23273.53	0.00	1016.503	28	21268.83	0.00	1081.609	20	22526.97	0.00	684.4966	24	24850.75	0.00	894.91	29	24092.8	0.00	906.5573	27	24309.83	0.00	1428.279	13	26509.54	0.00	1404.581	12	24185.35	0.00	1846.487	20	27136.98	0.00	1201.511	17	29357.48	0.00	1778.185	14	26288.24	0.00	1041.804	28	26811.48	0.00	1009.879	17	17736.89	0.00	944.8446	20	16803.98	0.00	843.825	29	19115.16	0.00	615.7402	24	18733.18	0.00	977.5092	20	15808.73	0.00	723.9144	22	21467.96	0.00	695.2742	20	20088.91	0.00	1227.276	18	21427.78	0.00	909.4276	32	24279.97	0.00	790.0109	20	23141.63	0.00	1847.016	18	23290.55	0.00	884.0925	28	24738.67	0.00	1470.184	18
CY3_HYB	1450438	593.7636	0.00	31.3842	28	606.9156	0.00	30.62974	22	530.7266	0.00	21.03339	25	575.9086	0.00	27.48966	18	600.7901	0.00	27.19444	23	539.6681	0.00	25.61327	20	535.2745	0.00	22.64331	22	617.1105	0.00	31.56796	15	545.561	0.00	15.01981	29	628.0216	0.00	27.56361	21	587.3171	0.00	22.16665	24	613.1411	0.00	29.27636	25	471.2161	0.00	21.56941	16	427.7474	0.00	15.3789	20	486.7638	0.00	20.21683	21	469.3755	0.00	14.96203	24	451.1191	0.00	27.35835	18	461.4789	0.00	13.17845	21	451.6436	0.00	18.77611	23	468.5665	0.00	14.87688	15	481.573	0.00	27.32521	17	489.8601	0.00	18.35484	26	529.4619	0.00	21.95445	27	491.3181	0.00	22.31781	19
CY3_HYB	2510500	4807.62	0.00	204.176	21	4185.925	0.00	130.1971	32	4074.141	0.00	103.6177	31	4864.507	0.00	101.3426	32	4488.007	0.00	201.3167	22	4688.054	0.00	232.8035	21	4423.057	0.00	168.4444	29	4451.471	0.00	188.7339	26	4642.786	0.00	104.8732	23	5277.248	0.00	147.1718	27	4803.973	0.00	124.2381	25	4666.551	0.00	160.0963	20	3533.717	0.00	87.31534	23	3247.885	0.00	89.68649	33	3599.934	0.00	140.0206	28	3530.407	0.00	122.9515	25	2985.019	0.00	90.87921	27	3387.217	0.00	119.6537	25	3666.535	0.00	137.7999	22	3587.523	0.00	108.6983	30	3837.307	0.00	116.8295	28	3926.598	0.00	151.2827	26	3982.559	0.00	156.0289	20	3639.675	0.00	116.5056	25
CY3_HYB	4010327	17998.47	0.00	711.4786	19	17018.84	0.00	521.9052	32	17602.17	0.00	613.6271	26	17918.81	0.00	322.4136	25	18577.1	0.00	650.2858	23	19261.33	0.00	944.1121	25	20354.24	0.00	633.8736	24	19836.61	0.00	1042.603	26	19629.55	0.00	803.4918	21	21078.93	0.00	1009.978	21	19056.64	0.00	693.6989	18	19407.4	0.00	792.2303	22	15777.39	0.00	514.2844	23	14271.36	0.00	495.8503	22	15926.19	0.00	488.4752	27	14864.64	0.00	491.7837	33	14735.85	0.00	720.664	20	15959.57	0.00	455.4073	36	16892.93	0.00	659.8961	25	16697.88	0.00	645.9688	25	17000.65	0.00	431.2007	27	16279.24	0.00	814.5693	24	19203.29	0.00	512.7999	29	17738.8	0.00	723.6325	20
CY3_HYB	4610291	3377.709	0.00	95.5495	25	3131.094	0.00	59.45316	32	3182.439	0.00	96.72207	20	3344.128	0.00	99.70863	20	3561.366	0.00	124.0235	21	3265.478	0.00	110.7742	22	3461.152	0.00	129.017	20	3503.008	0.00	115.3577	21	3886.235	0.00	104.911	27	3842.856	0.00	91.62906	24	3778.348	0.00	99.28001	24	3572.328	0.00	110.5421	28	3216.893	0.00	118.2719	17	2820.992	0.00	109.4367	27	2803.667	0.00	63.76101	25	2912.508	0.00	85.75314	26	2723.711	0.00	163.5568	15	2861.161	0.00	83.1705	21	2855.14	0.00	86.39138	17	2985.866	0.00	120.1722	27	3070.856	0.00	77.28734	25	2933.783	0.00	80.32483	18	3407.289	0.00	121.3872	29	3259.399	0.00	102.2244	15
CY3_HYB	7560739	399.8697	0.00	17.41706	28	415.9304	0.00	20.06459	19	386.251	0.00	16.96149	17	415.8724	0.00	11.10426	30	429.7567	0.00	24.23967	16	398.2414	0.00	21.65033	20	391.7874	0.00	10.80013	21	426.4808	0.00	14.46831	21	430.3372	0.00	19.76891	29	452.7099	0.00	14.55717	22	475.8477	0.00	21.18314	28	453.5995	0.00	18.36827	23	335.2155	0.00	10.87113	17	347.3393	0.00	15.99163	23	408.6013	0.00	16.23376	29	360.5301	0.00	9.329915	26	319.9415	0.00	8.93735	29	350.3237	0.00	11.6536	23	358.5701	0.00	13.06835	24	332.0144	0.00	9.447827	18	383.7567	0.00	13.25161	29	362.3689	0.00	17.11451	20	377.5048	0.00	10.89933	22	368.8781	0.00	14.77299	27
ERCC-00002-02	430220	128.4838	0.8753247	9.603413	23	107.4492	0.9896104	4.141205	23	118.4026	0.9363636	7.464524	19	109.2148	0.9974026	4.678169	15	127.5475	0.9610389	5.615446	20	148.5507	0.5181818	11.93753	16	128.6538	0.8883117	8.498947	24	117.9061	0.9688312	6.590544	15	140.1395	0.8012987	6.510688	27	148.5294	0.7272727	9.297629	21	125.2372	0.8532467	8.61931	24	122.0327	0.9545454	5.45647	22	121.1911	0.7883117	7.028341	28	90.35448	0.9935065	3.758739	18	101.5763	0.9649351	4.906366	29	97.78071	0.9844156	5.146426	18	93.10361	0.9792208	5.362098	20	98.46124	0.9688312	5.6778	20	112.8775	0.8142857	6.681192	23	104.9013	0.9233766	4.978439	23	124.4674	0.787013	8.22221	24	102.807	0.9363636	4.522113	17	111.7112	0.9298701	5.389219	31	94.20486	0.9961039	3.282937	20
ERCC-00003-01	6370471	144.0118	0.7168831	6.337683	34	129.1932	0.8246753	6.326467	26	122.3885	0.9038961	7.223139	26	136.4979	0.8454546	7.817912	30	121.1766	0.9831169	5.233153	25	116.5199	0.9623377	5.841116	23	131.541	0.851948	4.961232	27	126.5851	0.8896104	9.550115	16	129.1372	0.9220779	6.687422	16	142.283	0.8012987	8.769072	34	129.333	0.8077922	9.377954	28	118.2436	0.9727273	6.938328	17	112.5493	0.8805195	6.511745	19	97.42846	0.9532468	3.569923	33	98.12606	0.9883117	4.405295	21	111.7894	0.8727273	5.740502	23	106.243	0.851948	4.630743	29	118.5341	0.774026	6.395663	27	101.2929	0.9350649	3.279446	33	116.9553	0.8142857	6.874405	25	112.2984	0.9103896	6.263372	21	114.0641	0.8142857	5.717761	26	115.0374	0.8909091	7.172068	26	103.1617	0.9376624	3.64486	39
