TargetID	ProbeID	5445316054_A.AVG_Signal	5445316054_A.Detection Pval	5445316054_B.AVG_Signal	5445316054_B.Detection Pval	5445316054_C.AVG_Signal	5445316054_C.Detection Pval	5445316054_D.AVG_Signal	5445316054_D.Detection Pval	5445316054_E.AVG_Signal	5445316054_E.Detection Pval	5445316054_F.AVG_Signal	5445316054_F.Detection Pval	5445316054_G.AVG_Signal	5445316054_G.Detection Pval	5445316054_H.AVG_Signal	5445316054_H.Detection Pval	5445316054_I.AVG_Signal	5445316054_I.Detection Pval	5445316054_J.AVG_Signal	5445316054_J.Detection Pval	5445316054_K.AVG_Signal	5445316054_K.Detection Pval	5445316054_L.AVG_Signal	5445316054_L.Detection Pval	5491021084_A.AVG_Signal	5491021084_A.Detection Pval	5491021084_B.AVG_Signal	5491021084_B.Detection Pval	5491021084_C.AVG_Signal	5491021084_C.Detection Pval	5491021084_D.AVG_Signal	5491021084_D.Detection Pval	5491021084_E.AVG_Signal	5491021084_E.Detection Pval	5491021084_F.AVG_Signal	5491021084_F.Detection Pval	5491021084_G.AVG_Signal	5491021084_G.Detection Pval	5491021084_H.AVG_Signal	5491021084_H.Detection Pval	5491021084_I.AVG_Signal	5491021084_I.Detection Pval	5491021084_J.AVG_Signal	5491021084_J.Detection Pval	5491021084_K.AVG_Signal	5491021084_K.Detection Pval	5491021084_L.AVG_Signal	5491021084_L.Detection Pval
BIOTIN	5090180	19195.7	0	22493.93	0	19004.89	0	20912.19	0	19003.52	0	19891.21	0	22532.5	0	21161.25	0	22483.85	0	23681.41	0	22421.39	0	26115.7	0	16027.21	0	13782.37	0	16081.61	0	16567.75	0	12344.96	0	19370.54	0	19160.63	0	19657.23	0	20815.27	0	19209.77	0	21798.43	0	19955.35	0
BIOTIN	6510136	19729.36	0	19711.21	0	18237.71	0	19925.95	0	21477.68	0	20024.86	0	23923.64	0	21178.87	0	22885.83	0	25845.28	0	22584.83	0	20512.88	0	18396.54	0	13048.5	0	17845.84	0	17240.55	0	16614.42	0	16739.57	0	17077.09	0	18122.46	0	20540.63	0	19296.48	0	21220.06	0	21010.79	0
CY3_HYB,LOW_STRINGENCY_HYB	1110170	23273.53	0	21268.83	0	22526.97	0	24850.75	0	24092.8	0	24309.83	0	26509.54	0	24185.35	0	27136.98	0	29357.48	0	26288.24	0	26811.48	0	17736.89	0	16803.98	0	19115.16	0	18733.18	0	15808.73	0	21467.96	0	20088.91	0	21427.78	0	24279.97	0	23141.63	0	23290.55	0	24738.67	0
CY3_HYB	1450438	593.7636	0	606.9156	0	530.7266	0	575.9086	0	600.7901	0	539.6681	0	535.2745	0	617.1105	0	545.561	0	628.0216	0	587.3171	0	613.1411	0	471.2161	0	427.7474	0	486.7638	0	469.3755	0	451.1191	0	461.4789	0	451.6436	0	468.5665	0	481.573	0	489.8601	0	529.4619	0	491.3181	0
CY3_HYB,LOW_STRINGENCY_HYB	2510500	4807.62	0	4185.925	0	4074.141	0	4864.507	0	4488.007	0	4688.054	0	4423.057	0	4451.471	0	4642.786	0	5277.248	0	4803.973	0	4666.551	0	3533.717	0	3247.885	0	3599.934	0	3530.407	0	2985.019	0	3387.217	0	3666.535	0	3587.523	0	3837.307	0	3926.598	0	3982.559	0	3639.675	0
CY3_HYB,LOW_STRINGENCY_HYB	4010327	17998.47	0	17018.84	0	17602.17	0	17918.81	0	18577.1	0	19261.33	0	20354.24	0	19836.61	0	19629.55	0	21078.93	0	19056.64	0	19407.4	0	15777.39	0	14271.36	0	15926.19	0	14864.64	0	14735.85	0	15959.57	0	16892.93	0	16697.88	0	17000.65	0	16279.24	0	19203.29	0	17738.8	0
CY3_HYB,LOW_STRINGENCY_HYB	4610291	3377.709	0	3131.094	0	3182.439	0	3344.128	0	3561.366	0	3265.478	0	3461.152	0	3503.008	0	3886.235	0	3842.856	0	3778.348	0	3572.328	0	3216.893	0	2820.992	0	2803.667	0	2912.508	0	2723.711	0	2861.161	0	2855.14	0	2985.866	0	3070.856	0	2933.783	0	3407.289	0	3259.399	0
CY3_HYB	7560739	399.8697	0	415.9304	0	386.251	0	415.8724	0	429.7567	0	398.2414	0	391.7874	0	426.4808	0	430.3372	0	452.7099	0	475.8477	0	453.5995	0	335.2155	0	347.3393	0	408.6013	0	360.5301	0	319.9415	0	350.3237	0	358.5701	0	332.0144	0	383.7567	0	362.3689	0	377.5048	0	368.8781	0
ERCC-00002	430220	128.4838	0.8753247	107.4492	0.9896104	118.4026	0.9363636	109.2148	0.9974026	127.5475	0.9610389	148.5507	0.5181818	128.6538	0.8883117	117.9061	0.9688312	140.1395	0.8012987	148.5294	0.7272727	125.2372	0.8532467	122.0327	0.9545454	121.1911	0.7883117	90.35448	0.9935065	101.5763	0.9649351	97.78071	0.9844156	93.10361	0.9792208	98.46124	0.9688312	112.8775	0.8142857	104.9013	0.9233766	124.4674	0.787013	102.807	0.9363636	111.7112	0.9298701	94.20486	0.9961039
ERCC-00003	6370471	144.0118	0.7168831	129.1932	0.8246753	122.3885	0.9038961	136.4979	0.8454546	121.1766	0.9831169	116.5199	0.9623377	131.541	0.851948	126.5851	0.8896104	129.1372	0.9220779	142.283	0.8012987	129.333	0.8077922	118.2436	0.9727273	112.5493	0.8805195	97.42846	0.9532468	98.12606	0.9883117	111.7894	0.8727273	106.243	0.851948	118.5341	0.774026	101.2929	0.9350649	116.9553	0.8142857	112.2984	0.9103896	114.0641	0.8142857	115.0374	0.8909091	103.1617	0.9376624
