   treatments hour batch
5445316054_A siNS 0h 8.25.10A
5445316054_B sip300 0h 8.25.10B
5445316054_C siNS 0h 8.20.10
5445316054_D siCBP 16h 8.25.10B
5445316054_E siCBP 0h 8.18.10
5445316054_F siNS 16h 8.25.10B
5445316054_G sip300 16h 8.25.10A
5445316054_H siNS 16h 8.18.10
5445316054_I sip300 0h 8.20.10
5445316054_J siCBP 16h 8.18.10
5445316054_K siCBP 0h 8.25.10A
5445316054_L sip300 16h 8.18.10
5491021084_A sip300 0h 8.25.10A
5491021084_B siCBP 16h 8.20.10
5491021084_C sip300 16h 8.25.10B
5491021084_D siNS 16h 8.25.10A
5491021084_E sip300 16h 8.20.10
5491021084_F siCBP 0h 8.25.10B
5491021084_G siCBP 16h 8.25.10A
5491021084_H siCBP 0h 8.20.10
5491021084_I siNS 0h 8.18.10
5491021084_J sip300 0h 8.18.10
5491021084_K siNS 16h 8.20.10
5491021084_L siNS 0h 8.25.10B
